country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
Bolivia,2020-11-30,,estimate based on partial data,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-01,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-02,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-03,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-04,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-05,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-06,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-07,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-08,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-09,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-10,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-11,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-12,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-13,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-12-14,,forecast,0.21,0.41,0.36,0.02,0.03,0.19,0.45,0.77,1.02,,,,,,
Bolivia,2020-11-29,,estimate based on partial data,0.22,0.42,0.36,0.03,0.04,0.19,0.47,0.77,1.01,,,,,,
Bolivia,2020-11-28,,estimate based on partial data,0.22,0.43,0.35,0.05,0.06,0.2,0.48,0.78,1.01,,,,,,
Bolivia,2020-11-27,,estimate based on partial data,0.24,0.44,0.34,0.07,0.09,0.21,0.5,0.78,1.01,,,,,,
Bolivia,2020-11-26,,estimate based on partial data,0.26,0.46,0.33,0.1,0.12,0.23,0.53,0.79,1.01,,,,,,
St. Kitts & Nevis,2020-07-22,,estimate based on partial data,0.3,0.37,0.3,,,,,,,0,0.8,0,0.31,,
St. Kitts & Nevis,2020-07-23,,estimate based on partial data,0.3,0.38,0.31,,,,,,,0,0.81,0.01,0.31,,
St. Kitts & Nevis,2020-07-24,,estimate based on partial data,0.3,0.38,0.32,,,,,,,0,0.81,0,0.3,,
St. Kitts & Nevis,2020-07-25,,estimate based on partial data,0.3,0.38,0.34,,,,,,,0,0.82,0,0.3,,
St. Kitts & Nevis,2020-07-26,,estimate based on partial data,0.3,0.39,0.36,,,,,,,0,0.85,0,0.3,,
St. Kitts & Nevis,2020-07-27,,estimate based on partial data,0.3,0.4,0.38,,,,,,,0,0.85,0,0.3,,
St. Kitts & Nevis,2020-07-28,,estimate based on partial data,0.3,0.4,0.41,,,,,,,0,0.86,0,0.3,,
St. Kitts & Nevis,2020-07-29,,estimate based on partial data,0.3,0.41,0.46,,,,,,,0,0.86,0,0.3,,
St. Kitts & Nevis,2020-07-30,,estimate based on partial data,0.3,0.42,0.52,,,,,,,0,0.88,0,0.3,,
St. Kitts & Nevis,2020-07-31,,estimate based on partial data,0.3,0.43,0.58,,,,,,,0,0.9,0,0.3,,
St. Kitts & Nevis,2020-08-01,,forecast,0.3,0.44,0.66,,,,,,,0,0.9,0,0.3,,
St. Kitts & Nevis,2020-08-02,,forecast,0.3,0.46,0.75,,,,,,,0,0.91,0,0.31,,
Bolivia,2020-11-25,,estimate based on partial data,0.3,0.48,0.32,0.14,0.16,0.25,0.55,0.8,1.01,,,,,,
St. Kitts & Nevis,2020-07-14,,estimate,0.31,0.37,0.27,,,,,,,0,0.75,0,0.32,,
St. Kitts & Nevis,2020-07-15,,estimate,0.31,0.37,0.27,,,,,,,0,0.76,0,0.32,,
St. Kitts & Nevis,2020-07-17,,estimate,0.31,0.37,0.27,,,,,,,0,0.77,0,0.31,,
St. Kitts & Nevis,2020-07-16,,estimate,0.31,0.37,0.27,,,,,,,0,0.77,0,0.32,,
St. Kitts & Nevis,2020-07-18,,estimate,0.31,0.37,0.28,,,,,,,0,0.78,0,0.31,,
St. Kitts & Nevis,2020-07-19,,estimate based on partial data,0.31,0.37,0.28,,,,,,,0,0.78,0,0.31,,
St. Kitts & Nevis,2020-07-20,,estimate based on partial data,0.31,0.37,0.29,,,,,,,0,0.78,0,0.31,,
St. Kitts & Nevis,2020-07-21,,estimate based on partial data,0.31,0.37,0.29,,,,,,,0,0.79,0,0.31,,
St. Kitts & Nevis,2020-08-03,,forecast,0.31,0.47,0.83,,,,,,,0,0.93,0,0.31,,
St. Kitts & Nevis,2020-08-04,,forecast,0.31,0.48,0.91,,,,,,,0,0.96,0,0.31,,
St. Kitts & Nevis,2020-08-05,,forecast,0.31,0.5,1.01,,,,,,,0,0.97,0,0.31,,
St. Kitts & Nevis,2020-08-06,,forecast,0.31,0.51,1.12,,,,,,,0,1,0,0.31,,
