region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
United States,63725,42121,87693,53104,69495,58633,64323,New confirmed cases by infection date,Likely increasing
India,52981,34174,70581,45121,58784,49628,54643,New confirmed cases by infection date,Likely decreasing
United Kingdom,30972,12924,48680,23027,36554,27717,32448,New confirmed cases by infection date,Likely increasing
France,30046,6529,60999,14583,34489,20371,27728,New confirmed cases by infection date,Likely increasing
Russia,20604,13807,27545,17237,22338,19694,21572,New confirmed cases by infection date,Likely increasing
Italy,19388,9036,31537,13971,22293,16764,19835,New confirmed cases by infection date,Increasing
Brazil,18857,12462,24190,16945,21305,18112,19655,New confirmed cases by infection date,Likely decreasing
Poland,16478,5443,32715,9432,18827,11811,15164,New confirmed cases by infection date,Increasing
Argentina,16202,9564,22713,12565,18022,14830,16797,New confirmed cases by infection date,Unsure
Czechia,15793,6495,26560,11133,18807,12851,15584,New confirmed cases by infection date,Likely increasing
Belgium,12489,3358,24240,6643,14781,10177,13145,New confirmed cases by infection date,Unsure
Netherlands,12079,5046,20590,7683,13668,9308,11548,New confirmed cases by infection date,Likely increasing
Spain,11384,7106,16965,8898,12476,10379,11663,New confirmed cases by infection date,Unsure
Germany,10385,5829,16295,7669,11401,8935,10263,New confirmed cases by infection date,Increasing
Colombia,7801,4717,11120,6204,8756,6626,7590,New confirmed cases by infection date,Unsure
Ukraine,7430,2035,14274,4981,9230,6185,7661,New confirmed cases by infection date,Likely increasing
Nepal,5580,3022,8649,4218,6358,4816,5573,New confirmed cases by infection date,Likely increasing
Romania,5145,2625,8711,3467,5621,4163,4940,New confirmed cases by infection date,Likely increasing
Iran,5134,2315,8828,3687,5874,4391,5163,New confirmed cases by infection date,Unsure
Indonesia,4155,2839,5605,3610,4658,3937,4318,New confirmed cases by infection date,Unsure
Morocco,3959,1468,7085,2777,4782,3022,3748,New confirmed cases by infection date,Unsure
Canada,3377,1139,5877,2188,3945,2732,3364,New confirmed cases by infection date,Likely increasing
Jordan,3224,882,5755,1595,3584,2072,2787,New confirmed cases by infection date,Likely increasing
Switzerland,2868,574,11332,937,2988,1369,1982,New confirmed cases by infection date,Increasing
Iraq,2847,1978,3759,2453,3145,2714,2972,New confirmed cases by infection date,Likely decreasing
Slovakia,2716,1449,4287,1988,3004,2285,2666,New confirmed cases by infection date,Increasing
Portugal,2477,1266,4439,1671,2672,1932,2282,New confirmed cases by infection date,Increasing
Tunisia,2455,0,7427,104,2507,679,1487,New confirmed cases by infection date,Unsure
Philippines,2264,537,4510,1335,2625,1707,2175,New confirmed cases by infection date,Unsure
