Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Afghanistan,87 (37 -- 169),Stable,0.86 (0.65 -- 1),-0.038 (-0.1 -- 0.012),-18 (56 -- -6.7)
Albania,824 (424 -- 1812),Likely increasing,1.3 (0.97 -- 1.9),0.078 (-0.009 -- 0.21),8.9 (3.2 -- -77)
Algeria,483 (212 -- 1108),Stable,1 (0.73 -- 1.4),0.012 (-0.079 -- 0.11),59 (6.1 -- -8.8)
Andorra,65 (22 -- 245),Stable,1.1 (0.78 -- 1.6),0.021 (-0.061 -- 0.15),32 (4.6 -- -11)
Angola,100 (46 -- 215),Stable,1 (0.8 -- 1.3),0.012 (-0.058 -- 0.086),58 (8.1 -- -12)
Antigua & Barbuda,0 (0 -- 1),Stable,0.99 (0.75 -- 1.2),-0.0023 (-0.072 -- 0.064),-300 (11 -- -9.6)
Argentina,12793 (9081 -- 18530),Stable,1.2 (1 -- 1.3),0.041 (0.0054 -- 0.082),17 (8.5 -- 130)
Armenia,162 (83 -- 292),Likely decreasing,0.75 (0.54 -- 0.95),-0.073 (-0.14 -- -0.013),-9.5 (-52 -- -5)
Aruba,109 (29 -- 723),Stable,1.4 (0.95 -- 2.7),0.11 (-0.013 -- 0.39),6.1 (1.8 -- -52)
Australia,27 (9 -- 51),Stable,1.1 (0.71 -- 1.2),0.014 (-0.084 -- 0.061),49 (11 -- -8.2)
Austria,3014 (1734 -- 5519),Stable,1.1 (0.9 -- 1.5),0.037 (-0.028 -- 0.12),19 (5.7 -- -25)
Azerbaijan,34 (8 -- 107),,0.3 (0.13 -- 0.55),-0.22 (-0.3 -- -0.13),-3.1 (-5.3 -- -2.3)
Bahamas,13 (4 -- 45),Likely decreasing,1 (0.75 -- 1.5),0.011 (-0.07 -- 0.12),62 (5.8 -- -9.9)
Bahrain,358 (263 -- 484),Stable,1.1 (0.98 -- 1.2),0.028 (-0.0051 -- 0.062),24 (11 -- -140)
