region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-09-29,,estimate,9336,9353,472,8613,9022,9221,9458,9666,10155
Africa,2020-09-30,,estimate,9421,9436,464,8709,9110,9304,9539,9746,10220
Africa,2020-10-01,,estimate,9498,9511,451,8802,9195,9384,9617,9812,10275
Africa,2020-10-02,,estimate,9569,9583,438,8897,9281,9461,9686,9872,10318
Africa,2020-10-03,,estimate,9644,9654,428,8974,9359,9533,9751,9943,10376
Africa,2020-10-04,,estimate,9723,9725,421,9053,9436,9609,9817,10007,10439
Africa,2020-10-05,,estimate,9798,9798,416,9138,9512,9687,9889,10079,10503
Africa,2020-10-06,,estimate,9869,9872,414,9215,9588,9767,9962,10151,10566
Africa,2020-10-07,,estimate,9938,9947,413,9291,9668,9840,10034,10225,10632
Africa,2020-10-08,,estimate,10013,10023,414,9361,9744,9912,10112,10299,10710
Africa,2020-10-09,,estimate,10088,10101,416,9443,9824,9990,10192,10374,10792
Africa,2020-10-10,,estimate,10169,10181,418,9515,9900,10070,10271,10456,10877
Africa,2020-10-11,,estimate,10252,10262,421,9591,9986,10151,10351,10537,10969
Africa,2020-10-12,,estimate,10334,10345,424,9663,10068,10235,10437,10623,11054
Africa,2020-10-13,,estimate,10418,10430,428,9737,10154,10320,10526,10708,11143
Africa,2020-10-14,,estimate,10502,10517,431,9814,10241,10404,10617,10795,11243
Africa,2020-10-15,,estimate,10592,10605,434,9908,10330,10491,10699,10889,11326
Africa,2020-10-16,,estimate,10686,10696,437,9994,10419,10578,10791,10984,11422
Africa,2020-10-17,,estimate,10770,10789,440,10087,10509,10674,10889,11076,11517
Africa,2020-10-18,,estimate,10866,10884,442,10176,10600,10768,10987,11171,11618
Africa,2020-10-19,,estimate,10963,10982,444,10260,10694,10866,11082,11274,11719
Africa,2020-10-20,,estimate,11066,11081,446,10362,10794,10963,11176,11371,11822
Africa,2020-10-21,,estimate,11169,11182,447,10462,10891,11060,11279,11473,11926
Africa,2020-10-22,,estimate,11265,11285,449,10553,10995,11161,11380,11577,12038
Africa,2020-10-23,,estimate,11366,11389,450,10675,11096,11262,11484,11684,12154
Africa,2020-10-24,,estimate,11473,11494,453,10789,11201,11367,11590,11792,12269
Africa,2020-10-25,,estimate,11574,11601,456,10890,11297,11470,11696,11897,12385
Africa,2020-10-26,,estimate,11678,11708,461,10990,11396,11572,11799,12006,12499
Africa,2020-10-27,,estimate,11787,11815,467,11102,11500,11675,11903,12110,12614
Africa,2020-10-28,,estimate,11888,11922,473,11199,11604,11777,12010,12218,12742
Africa,2020-10-29,,estimate,11991,12028,481,11300,11705,11880,12117,12321,12869
Africa,2020-10-30,,estimate,12093,12133,489,11393,11800,11983,12219,12435,12992
Africa,2020-10-31,,estimate,12196,12237,498,11489,11898,12080,12323,12539,13110
Africa,2020-11-01,,estimate,12296,12339,505,11587,11993,12182,12426,12647,13226
Africa,2020-11-02,,estimate,12395,12439,512,11673,12088,12276,12525,12751,13345
Africa,2020-11-03,,estimate,12495,12536,517,11765,12183,12374,12621,12846,13460
Africa,2020-11-04,,estimate,12595,12631,520,11853,12277,12466,12716,12940,13555
Africa,2020-11-05,,estimate,12689,12724,521,11929,12375,12562,12814,13035,13648
Africa,2020-11-06,,estimate,12777,12814,520,12016,12466,12655,12905,13119,13753
Africa,2020-11-07,,estimate,12864,12901,517,12103,12558,12750,12994,13208,13831
Africa,2020-11-08,,estimate,12956,12987,513,12188,12645,12839,13077,13300,13897
Africa,2020-11-09,,estimate,13043,13070,508,12280,12730,12928,13161,13391,13953
Africa,2020-11-10,,estimate,13128,13152,504,12366,12815,13015,13255,13471,14009
