region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-09-28,,estimate,6360,6467,1301,4517,5560,6056,6673,7256,8772
Africa,2020-09-29,,estimate,5955,6029,1198,4168,5214,5657,6249,6756,8104
Africa,2020-09-30,,estimate,6755,6868,1376,4799,5897,6426,7103,7724,9337
Africa,2020-10-01,,estimate,8592,8730,1748,6133,7501,8159,9024,9831,11838
Africa,2020-10-02,,estimate,9094,9205,1833,6477,7912,8642,9560,10339,12448
Africa,2020-10-03,,estimate,8704,8798,1760,6142,7524,8234,9127,9895,11948
Africa,2020-10-04,,estimate,8797,8947,1795,6259,7688,8391,9258,10036,12176
Africa,2020-10-05,,estimate,7869,7971,1584,5585,6880,7481,8263,8948,10825
Africa,2020-10-06,,estimate,7010,7093,1385,4990,6137,6658,7342,7950,9455
Africa,2020-10-07,,estimate,7862,7974,1592,5577,6845,7489,8261,8977,10719
Africa,2020-10-08,,estimate,9787,9928,1959,6979,8522,9291,10298,11197,13279
Africa,2020-10-09,,estimate,10204,10356,2028,7217,8932,9733,10744,11653,13829
Africa,2020-10-10,,estimate,9676,9827,1906,6971,8515,9200,10163,11009,13230
Africa,2020-10-11,,estimate,9756,9902,1943,6958,8518,9270,10290,11140,13276
Africa,2020-10-12,,estimate,8619,8732,1720,6144,7507,8146,9083,9849,11724
Africa,2020-10-13,,estimate,7681,7794,1516,5544,6739,7327,8042,8721,10468
Africa,2020-10-14,,estimate,8573,8668,1669,6089,7487,8171,8987,9689,11571
Africa,2020-10-15,,estimate,10656,10777,2122,7470,9265,10134,11199,12165,14524
Africa,2020-10-16,,estimate,11038,11167,2226,7872,9554,10487,11592,12535,15022
Africa,2020-10-17,,estimate,10412,10588,2106,7439,9097,9907,10949,11894,14390
Africa,2020-10-18,,estimate,10490,10648,2074,7533,9160,10014,11026,11952,14236
Africa,2020-10-19,,estimate,9274,9403,1807,6629,8164,8846,9727,10549,12520
Africa,2020-10-20,,estimate,8258,8365,1647,5867,7193,7890,8672,9369,11211
Africa,2020-10-21,,estimate,9184,9323,1823,6586,8066,8736,9639,10438,12574
Africa,2020-10-22,,estimate,11412,11568,2281,8078,9949,10833,12010,13031,15568
Africa,2020-10-23,,estimate,11718,11878,2328,8372,10222,11099,12288,13374,16004
Africa,2020-10-24,,estimate,11218,11382,2222,8068,9792,10698,11772,12750,15330
Africa,2020-10-25,,estimate,11164,11352,2210,8023,9780,10628,11731,12796,15284
Africa,2020-10-26,,estimate,9914,10037,1982,7032,8660,9437,10396,11228,13551
Africa,2020-10-27,,estimate,8828,8929,1752,6242,7687,8410,9235,10033,11927
Africa,2020-10-28,,estimate,9774,9939,1962,7017,8588,9301,10244,11130,13506
Africa,2020-10-29,,estimate,12100,12285,2476,8657,10539,11480,12710,13782,16922
Africa,2020-10-30,,estimate,12501,12701,2495,8937,10936,11885,13145,14221,17159
Africa,2020-10-31,,estimate,11907,12039,2298,8435,10418,11340,12488,13494,16028
Africa,2020-11-01,,estimate,11968,12098,2376,8509,10402,11402,12559,13554,16271
Africa,2020-11-02,,estimate,10498,10670,2093,7537,9228,10018,11027,11986,14298
Africa,2020-11-03,,estimate,9378,9502,1839,6737,8204,8952,9827,10671,12682
Africa,2020-11-04,,estimate,10466,10585,2051,7495,9177,9958,10965,11855,14134
Africa,2020-11-05,,estimate,12834,13018,2542,9230,11212,12210,13543,14597,17457
Africa,2020-11-06,,estimate,13353,13528,2636,9548,11662,12736,14016,15183,18106
Africa,2020-11-07,,estimate,12602,12784,2524,9001,11015,11984,13172,14352,17177
Africa,2020-11-08,,estimate,12654,12788,2489,8946,11042,12024,13262,14371,17202
