region,date,confirm
Asia,2020-09-04,111483
Europe,2020-09-04,38354
Africa,2020-09-04,7716
Americas,2020-09-04,122248
Oceania,2020-09-04,249
Global,2020-09-04,280050
Asia,2020-09-05,109357
Europe,2020-09-05,31001
Africa,2020-09-05,8359
Americas,2020-09-05,146019
Oceania,2020-09-05,182
Global,2020-09-05,294918
Asia,2020-09-06,121844
Europe,2020-09-06,28748
Africa,2020-09-06,7206
Americas,2020-09-06,115479
Oceania,2020-09-06,159
Global,2020-09-06,273436
Asia,2020-09-07,115298
Europe,2020-09-07,52513
Africa,2020-09-07,8030
Americas,2020-09-07,78376
Oceania,2020-09-07,85
Global,2020-09-07,254302
Asia,2020-09-08,102969
Europe,2020-09-08,34475
Africa,2020-09-08,7217
Americas,2020-09-08,64223
Oceania,2020-09-08,119
Global,2020-09-08,209003
Asia,2020-09-09,118440
Europe,2020-09-09,39775
Africa,2020-09-09,7253
Americas,2020-09-09,80162
Oceania,2020-09-09,106
Global,2020-09-09,245736
Asia,2020-09-10,125283
Europe,2020-09-10,44137
Africa,2020-09-10,8516
Americas,2020-09-10,111001
Oceania,2020-09-10,226
Global,2020-09-10,289163
Asia,2020-09-11,128369
Europe,2020-09-11,47374
Africa,2020-09-11,7969
Americas,2020-09-11,121846
Oceania,2020-09-11,140
Global,2020-09-11,305698
Asia,2020-09-12,127169
Europe,2020-09-12,34374
Africa,2020-09-12,8708
Americas,2020-09-12,134262
Oceania,2020-09-12,167
Global,2020-09-12,304680
Asia,2020-09-13,126013
Europe,2020-09-13,35926
Africa,2020-09-13,7547
Americas,2020-09-13,114625
Oceania,2020-09-13,76
Global,2020-09-13,284187
Asia,2020-09-14,121302
Europe,2020-09-14,56613
Africa,2020-09-14,6674
Americas,2020-09-14,85283
Oceania,2020-09-14,46
Global,2020-09-14,269918
Asia,2020-09-15,114264
Europe,2020-09-15,39235
Africa,2020-09-15,6339
Americas,2020-09-15,85454
Oceania,2020-09-15,227
Global,2020-09-15,245519
Asia,2020-09-16,124544
Europe,2020-09-16,49908
Africa,2020-09-16,6518
Americas,2020-09-16,122491
Oceania,2020-09-16,119
Global,2020-09-16,303580
Asia,2020-09-17,131433
Europe,2020-09-17,49028
Africa,2020-09-17,7490
Americas,2020-09-17,101577
Oceania,2020-09-17,118
Global,2020-09-17,289646
Asia,2020-09-18,129631
Europe,2020-09-18,58389
Africa,2020-09-18,8751
Americas,2020-09-18,121251
Oceania,2020-09-18,169
Global,2020-09-18,318191
Asia,2020-09-19,123220
Europe,2020-09-19,46573
Africa,2020-09-19,8116
Americas,2020-09-19,134017
Oceania,2020-09-19,69
Global,2020-09-19,311995
Asia,2020-09-20,125108
Europe,2020-09-20,43746
Africa,2020-09-20,9368
Americas,2020-09-20,115082
Oceania,2020-09-20,168
Global,2020-09-20,293472
Asia,2020-09-21,118889
Europe,2020-09-21,69352
Africa,2020-09-21,7831
Americas,2020-09-21,88209
Oceania,2020-09-21,62
Global,2020-09-21,284343
Asia,2020-09-22,106880
Europe,2020-09-22,46446
Africa,2020-09-22,6156
Americas,2020-09-22,109384
Oceania,2020-09-22,67
Global,2020-09-22,268933
Asia,2020-09-23,112068
Europe,2020-09-23,53785
Africa,2020-09-23,6779
Americas,2020-09-23,110004
Oceania,2020-09-23,78
Global,2020-09-23,282714
Asia,2020-09-24,128089
Europe,2020-09-24,61056
Africa,2020-09-24,8536
Americas,2020-09-24,113718
Oceania,2020-09-24,83
Global,2020-09-24,311482
Asia,2020-09-25,124779
Europe,2020-09-25,67047
Africa,2020-09-25,8275
Americas,2020-09-25,120766
Oceania,2020-09-25,12
Global,2020-09-25,320879
Asia,2020-09-26,115025
Europe,2020-09-26,57172
Africa,2020-09-26,7946
Americas,2020-09-26,131386
Oceania,2020-09-26,72
Global,2020-09-26,311601
Asia,2020-09-27,128297
Europe,2020-09-27,51502
Africa,2020-09-27,7322
Americas,2020-09-27,112081
Oceania,2020-09-27,86
Global,2020-09-27,299288
Asia,2020-09-28,113884
Europe,2020-09-28,75814
Africa,2020-09-28,7582
Americas,2020-09-28,82579
Oceania,2020-09-28,25
Global,2020-09-28,279884
Asia,2020-09-29,100427
Europe,2020-09-29,48237
Africa,2020-09-29,5848
Americas,2020-09-29,83566
Oceania,2020-09-29,376
Global,2020-09-29,238454
Asia,2020-09-30,112654
Europe,2020-09-30,59709
Africa,2020-09-30,7437
Americas,2020-09-30,114059
Oceania,2020-09-30,75
Global,2020-09-30,293934
Asia,2020-10-01,125195
Europe,2020-10-01,67054
Africa,2020-10-01,8390
Americas,2020-10-01,115386
Oceania,2020-10-01,0
Global,2020-10-01,316025
Asia,2020-10-02,122719
Europe,2020-10-02,72081
Africa,2020-10-02,7098
Americas,2020-10-02,120998
Oceania,2020-10-02,284
Global,2020-10-02,323180
Asia,2020-10-03,113145
Europe,2020-10-03,68699
Africa,2020-10-03,8852
Americas,2020-10-03,127924
Oceania,2020-10-03,192
Global,2020-10-03,318812
Asia,2020-10-04,111105
Europe,2020-10-04,70542
Africa,2020-10-04,8964
Americas,2020-10-04,111204
Oceania,2020-10-04,163
Global,2020-10-04,301978
Asia,2020-10-05,107849
Europe,2020-10-05,90699
Africa,2020-10-05,9281
Americas,2020-10-05,73231
Oceania,2020-10-05,16
Global,2020-10-05,281076
Asia,2020-10-06,95817
Europe,2020-10-06,80309
Africa,2020-10-06,4578
Americas,2020-10-06,89235
Oceania,2020-10-06,337
Global,2020-10-06,270276
Asia,2020-10-07,108512
Europe,2020-10-07,84827
Africa,2020-10-07,6729
Americas,2020-10-07,126616
Oceania,2020-10-07,93
Global,2020-10-07,326777
Asia,2020-10-08,117544
Europe,2020-10-08,102796
Africa,2020-10-08,10504
Americas,2020-10-08,122709
Oceania,2020-10-08,73
Global,2020-10-08,353626
Asia,2020-10-09,110063
Europe,2020-10-09,114233
Africa,2020-10-09,9758
Americas,2020-10-09,128852
Oceania,2020-10-09,150
Global,2020-10-09,363056
Asia,2020-10-10,105642
Europe,2020-10-10,101244
Africa,2020-10-10,11220
Americas,2020-10-10,130668
Oceania,2020-10-10,484
Global,2020-10-10,349258
Asia,2020-10-11,109155
Europe,2020-10-11,111782
Africa,2020-10-11,11839
Americas,2020-10-11,116543
Oceania,2020-10-11,107
Global,2020-10-11,349426
Asia,2020-10-12,96992
Europe,2020-10-12,112715
Africa,2020-10-12,7776
Americas,2020-10-12,86549
Oceania,2020-10-12,25
Global,2020-10-12,304057
Asia,2020-10-13,93703
Europe,2020-10-13,97891
Africa,2020-10-13,6333
Americas,2020-10-13,86517
Oceania,2020-10-13,623
Global,2020-10-13,285067
Asia,2020-10-14,100286
Europe,2020-10-14,121127
Africa,2020-10-14,9107
Americas,2020-10-14,100068
Oceania,2020-10-14,139
Global,2020-10-14,330727
Asia,2020-10-15,103513
Europe,2020-10-15,147730
Africa,2020-10-15,11383
Americas,2020-10-15,125343
Oceania,2020-10-15,426
Global,2020-10-15,388395
Asia,2020-10-16,101553
Europe,2020-10-16,160456
Africa,2020-10-16,8693
Americas,2020-10-16,131739
Oceania,2020-10-16,178
Global,2020-10-16,402619
Asia,2020-10-17,100748
Europe,2020-10-17,146600
Africa,2020-10-17,9586
Americas,2020-10-17,140135
Oceania,2020-10-17,366
Global,2020-10-17,397435
Asia,2020-10-18,96955
Europe,2020-10-18,141750
Africa,2020-10-18,14155
Americas,2020-10-18,117538
Oceania,2020-10-18,86
Global,2020-10-18,370484
Asia,2020-10-19,92055
Europe,2020-10-19,171014
Africa,2020-10-19,8295
Americas,2020-10-19,90581
Oceania,2020-10-19,65
Global,2020-10-19,362010
Asia,2020-10-20,81199
Europe,2020-10-20,146751
Africa,2020-10-20,9618
Americas,2020-10-20,111039
Oceania,2020-10-20,93
Global,2020-10-20,348700
Asia,2020-10-21,92299
Europe,2020-10-21,165994
Africa,2020-10-21,9724
Americas,2020-10-21,126033
Oceania,2020-10-21,938
Global,2020-10-21,394988
Asia,2020-10-22,98369
Europe,2020-10-22,208675
Africa,2020-10-22,10534
Americas,2020-10-22,134502
Oceania,2020-10-22,162
Global,2020-10-22,452242
Asia,2020-10-23,97469
Europe,2020-10-23,221118
Africa,2020-10-23,10961
Americas,2020-10-23,142348
Oceania,2020-10-23,608
Global,2020-10-23,472504
Asia,2020-10-24,96971
Europe,2020-10-24,217483
Africa,2020-10-24,10409
Americas,2020-10-24,163098
Oceania,2020-10-24,812
Global,2020-10-24,488773
Asia,2020-10-25,93601
Europe,2020-10-25,202623
Africa,2020-10-25,11864
Americas,2020-10-25,151430
Oceania,2020-10-25,92
