region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Africa,2020-09-06,estimate,0.99,0.99,0.02,0.99,1,0.98,1,0.96,1.02
Africa,2020-09-07,estimate,0.99,0.99,0.02,0.99,1,0.98,1,0.96,1.02
Africa,2020-09-08,estimate,0.99,0.99,0.02,0.99,1,0.99,1.01,0.96,1.02
Africa,2020-09-09,estimate,0.99,0.99,0.02,0.99,1,0.99,1.01,0.96,1.02
Africa,2020-09-10,estimate,1,0.99,0.02,0.99,1,0.99,1.01,0.96,1.02
Africa,2020-09-11,estimate,1,0.99,0.02,1,1,0.99,1.01,0.96,1.02
Africa,2020-09-12,estimate,1,1,0.02,1,1.01,0.99,1.01,0.96,1.02
Africa,2020-09-13,estimate,1,1,0.02,1,1.01,0.99,1.01,0.97,1.03
Africa,2020-09-14,estimate,1,1,0.02,1,1.01,0.99,1.01,0.97,1.03
Africa,2020-09-15,estimate,1,1,0.02,1,1.01,0.99,1.02,0.97,1.03
Africa,2020-09-16,estimate,1,1,0.02,1,1.01,1,1.02,0.97,1.03
Africa,2020-09-17,estimate,1.01,1.01,0.02,1,1.01,1,1.02,0.97,1.03
Africa,2020-09-18,estimate,1.01,1.01,0.02,1.01,1.02,1,1.02,0.98,1.04
Africa,2020-09-19,estimate,1.01,1.01,0.02,1.01,1.02,1,1.02,0.98,1.04
Africa,2020-09-20,estimate,1.01,1.01,0.02,1.01,1.02,1.01,1.03,0.98,1.04
Africa,2020-09-21,estimate,1.02,1.02,0.02,1.01,1.02,1.01,1.03,0.99,1.04
Africa,2020-09-22,estimate,1.02,1.02,0.02,1.02,1.02,1.01,1.03,0.99,1.05
Africa,2020-09-23,estimate,1.02,1.02,0.02,1.02,1.02,1.01,1.03,0.99,1.05
Africa,2020-09-24,estimate,1.02,1.02,0.02,1.02,1.03,1.01,1.03,1,1.05
Africa,2020-09-25,estimate,1.03,1.03,0.02,1.02,1.03,1.01,1.03,1,1.05
Africa,2020-09-26,estimate,1.03,1.03,0.02,1.02,1.03,1.02,1.04,1,1.06
