region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Global,216772 (74052 -- 387862),216772,222068,93694,74052,154020,193501,241780,282138,387862,New confirmed cases by infection date,Unsure
Americas,108841 (39770 -- 200834),108841,112883,49014,39770,77879,96805,120247,141878,200834,New confirmed cases by infection date,Unsure
Europe,42193 (18122 -- 78372),42193,44327,18610,18122,31084,37582,46717,55160,78372,New confirmed cases by infection date,Unsure
Asia,40567 (27852 -- 54938),40567,40862,8339,27852,35139,38540,42609,46224,54938,New confirmed cases by infection date,Unsure
Africa,27109 (21160 -- 34534),27109,27332,4151,21160,24553,26203,28037,29775,34534,New confirmed cases by infection date,Likely increasing
Oceania,86 (40 -- 229),86,105,75,40,63,76,97,123,229,New confirmed cases by infection date,Unsure
Africa,1.1 (0.98 -- 1.2),1.1,1.1,0.065,0.98,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing
Oceania,0.92 (0.73 -- 1.3),0.92,0.95,0.17,0.73,0.85,0.9,0.95,1,1.3,Effective reproduction no.,Unsure
Asia,0.74 (0.57 -- 0.88),0.74,0.73,0.093,0.57,0.67,0.71,0.76,0.79,0.88,Effective reproduction no.,Unsure
Americas,0.63 (0.33 -- 0.86),0.63,0.61,0.16,0.33,0.51,0.58,0.66,0.72,0.86,Effective reproduction no.,Unsure
Global,0.6 (0.29 -- 0.82),0.6,0.58,0.16,0.29,0.48,0.56,0.64,0.69,0.82,Effective reproduction no.,Unsure
Europe,0.44 (0.24 -- 0.65),0.44,0.44,0.12,0.24,0.36,0.41,0.47,0.52,0.65,Effective reproduction no.,Unsure
