region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-09-23,,estimate,216,217,16,191,205,212,220,228,245
Africa,2020-09-24,,estimate,218,219,16,193,207,214,222,229,246
Africa,2020-09-25,,estimate,220,221,15,196,210,216,224,231,246
Africa,2020-09-26,,estimate,222,223,15,199,212,219,226,233,248
Africa,2020-09-27,,estimate,224,225,15,201,215,221,228,234,249
Africa,2020-09-28,,estimate,227,227,14,204,217,223,230,236,251
Africa,2020-09-29,,estimate,229,229,14,206,220,226,232,238,253
Africa,2020-09-30,,estimate,232,232,14,209,222,228,235,241,255
Africa,2020-10-01,,estimate,234,234,14,211,224,230,237,243,258
Africa,2020-10-02,,estimate,236,236,15,213,227,233,240,245,261
Africa,2020-10-03,,estimate,239,239,15,215,229,235,242,248,263
Africa,2020-10-04,,estimate,241,241,15,217,231,237,245,251,266
Africa,2020-10-05,,estimate,243,244,15,220,234,240,247,253,269
Africa,2020-10-06,,estimate,246,246,15,222,236,242,250,256,271
Africa,2020-10-07,,estimate,248,249,15,224,239,245,252,259,274
Africa,2020-10-08,,estimate,251,251,16,227,241,247,254,261,277
Africa,2020-10-09,,estimate,253,254,16,229,244,250,257,263,280
Africa,2020-10-10,,estimate,256,256,16,231,246,252,260,266,283
Africa,2020-10-11,,estimate,258,259,16,233,249,255,262,269,285
Africa,2020-10-12,,estimate,261,262,16,236,251,257,265,272,288
Africa,2020-10-13,,estimate,263,264,16,238,254,260,267,274,292
Africa,2020-10-14,,estimate,266,267,16,241,256,262,270,277,294
Africa,2020-10-15,,estimate,268,269,17,243,259,264,272,280,297
Africa,2020-10-16,,estimate,271,272,17,246,261,267,275,282,300
Africa,2020-10-17,,estimate,273,274,17,248,263,269,277,285,303
Africa,2020-10-18,,estimate,276,277,17,250,265,272,280,287,306
Africa,2020-10-19,,estimate,278,279,17,252,267,274,282,290,309
Africa,2020-10-20,,estimate,280,281,17,254,269,276,284,292,312
Africa,2020-10-21,,estimate,282,284,18,256,272,278,286,294,315
Africa,2020-10-22,,estimate,284,286,18,258,274,280,289,297,317
Africa,2020-10-23,,estimate,286,288,18,260,275,282,291,299,320
Africa,2020-10-24,,estimate,288,290,18,262,277,283,293,301,322
Africa,2020-10-25,,estimate,290,291,18,264,279,285,294,302,324
Africa,2020-10-26,,estimate,291,293,18,266,280,287,296,304,327
Africa,2020-10-27,,estimate,293,295,19,267,282,288,298,306,328
Africa,2020-10-28,,estimate,294,296,19,269,283,290,299,307,329
Africa,2020-10-29,,estimate,295,297,19,270,284,291,300,308,330
Africa,2020-10-30,,estimate,297,298,19,270,285,292,301,310,332
Africa,2020-10-31,,estimate,298,299,19,271,286,293,302,311,332
Africa,2020-11-01,,estimate,299,300,18,273,287,294,303,311,333
Africa,2020-11-02,,estimate,300,301,18,273,288,295,304,312,333
Africa,2020-11-03,,estimate,300,301,18,274,289,296,305,313,333
Africa,2020-11-04,,estimate,301,302,18,275,290,297,305,313,333
Africa,2020-11-05,,estimate,301,303,18,275,291,297,306,314,334
Africa,2020-11-06,,estimate,302,303,18,276,291,298,306,314,334
Africa,2020-11-07,,estimate,303,304,18,276,292,299,307,315,334
Africa,2020-11-08,,estimate,304,304,18,277,292,299,308,315,335
Africa,2020-11-09,,estimate,304,305,18,278,293,300,309,316,335
Africa,2020-11-10,,estimate,305,306,18,278,294,301,310,317,336
Africa,2020-11-11,,estimate,306,307,18,278,294,302,311,318,337
Africa,2020-11-12,,estimate,307,307,18,278,295,303,312,320,338
Africa,2020-11-13,,estimate,308,309,18,278,297,304,313,321,339
Africa,2020-11-14,,estimate,310,310,19,278,298,305,314,323,341
Africa,2020-11-15,,estimate,311,312,19,279,299,307,316,325,343
Africa,2020-11-16,,estimate,313,313,20,280,301,308,318,327,345
Africa,2020-11-17,,estimate,316,315,20,282,302,310,321,329,348
Africa,2020-11-18,,estimate,318,318,21,283,305,313,324,332,351
Africa,2020-11-19,,estimate,321,321,21,285,307,316,327,335,355
Africa,2020-11-20,,estimate,324,324,22,288,309,319,330,339,359
Africa,2020-11-21,,estimate,328,327,22,291,313,322,333,342,363
Africa,2020-11-22,,estimate,332,331,23,295,316,326,337,347,368
Africa,2020-11-23,,estimate,336,336,23,298,321,330,341,351,373
Africa,2020-11-24,,estimate,341,340,23,302,325,334,346,356,379
Africa,2020-11-25,,estimate,346,346,24,307,330,340,352,362,385
Africa,2020-11-26,,estimate,352,351,24,312,336,345,358,367,390
Africa,2020-11-27,,estimate,358,358,24,318,342,351,364,374,398
Africa,2020-11-28,,estimate,364,365,24,324,348,358,371,381,405
Africa,2020-11-29,,estimate,372,372,25,331,356,366,378,389,413
Africa,2020-11-30,,estimate,380,380,25,339,363,373,386,396,421
Africa,2020-12-01,,estimate,388,388,25,347,372,382,395,405,430
Africa,2020-12-02,,estimate,397,398,26,357,380,391,404,415,440
Africa,2020-12-03,,estimate,407,407,26,366,390,400,414,424,450
Africa,2020-12-04,,estimate,417,418,26,376,399,410,424,435,462
Africa,2020-12-05,,estimate,428,429,27,386,410,421,435,446,474
Africa,2020-12-06,,estimate,440,440,28,397,422,432,447,458,487
Africa,2020-12-07,,estimate,452,453,28,408,433,444,459,470,501
Africa,2020-12-08,,estimate,465,465,29,420,446,457,472,484,515
Africa,2020-12-09,,estimate,478,479,30,432,459,470,485,498,530
Africa,2020-12-10,,estimate,492,493,31,445,473,484,499,512,546
Africa,2020-12-11,,estimate,507,508,32,458,487,499,514,528,562
Africa,2020-12-12,,estimate,522,524,33,473,501,514,530,544,579
Africa,2020-12-13,,estimate,538,540,34,488,516,529,546,561,597
Africa,2020-12-14,,estimate,554,556,35,503,532,546,563,578,616
Africa,2020-12-15,,estimate,571,574,36,520,548,563,580,597,636
Africa,2020-12-16,,estimate,589,592,38,536,566,580,599,616,657
Africa,2020-12-17,,estimate,607,611,39,552,583,598,618,635,677
Africa,2020-12-18,,estimate,626,630,41,569,601,617,637,655,699
Africa,2020-12-19,,estimate,647,650,42,587,620,636,658,677,723
Africa,2020-12-20,,estimate,668,671,44,605,640,656,678,699,747
Africa,2020-12-21,,estimate,688,692,46,623,659,677,700,721,770
Africa,2020-12-22,,estimate,710,714,48,643,680,698,723,744,796
Africa,2020-12-23,,estimate,733,736,50,661,701,720,745,767,823
Africa,2020-12-24,,estimate,757,759,53,679,721,743,769,793,851
Africa,2020-12-25,,estimate,780,783,57,696,743,766,794,819,881
Africa,2020-12-26,,estimate,805,807,61,713,765,790,820,847,914
Africa,2020-12-27,,estimate based on partial data,829,833,67,729,785,814,847,875,948
Africa,2020-12-28,,estimate based on partial data,855,858,73,745,806,837,873,905,986
Africa,2020-12-29,,estimate based on partial data,881,885,82,759,828,860,902,937,1028
Africa,2020-12-30,,estimate based on partial data,907,912,91,772,849,884,931,970,1070
Africa,2020-12-31,,estimate based on partial data,936,940,102,781,869,909,962,1006,1117
Africa,2021-01-01,,estimate based on partial data,963,970,115,788,890,934,993,1043,1169
Africa,2021-01-02,,estimate based on partial data,991,1000,130,794,910,960,1026,1081,1226
Africa,2021-01-03,,estimate based on partial data,1022,1031,147,802,930,984,1060,1124,1289
Africa,2021-01-04,,estimate based on partial data,1051,1064,167,805,949,1010,1095,1166,1357
Africa,2021-01-05,,estimate based on partial data,1082,1097,188,808,969,1037,1131,1211,1430
Africa,2021-01-06,,estimate based on partial data,1115,1133,212,808,987,1065,1167,1260,1508
Africa,2021-01-07,,estimate based on partial data,1147,1170,239,810,1008,1091,1205,1312,1590
Africa,2021-01-08,,estimate based on partial data,1180,1208,269,808,1026,1121,1246,1366,1681
Africa,2021-01-09,,estimate based on partial data,1214,1249,303,807,1047,1149,1288,1421,1778
Africa,2021-01-10,,estimate based on partial data,1251,1292,340,806,1065,1177,1333,1480,1892
Africa,2021-01-11,,estimate based on partial data,1286,1337,381,804,1085,1208,1380,1540,2013
Africa,2021-01-12,,estimate based on partial data,1324,1384,427,794,1103,1238,1427,1604,2140
Africa,2021-01-13,,estimate based on partial data,1364,1435,479,790,1119,1271,1477,1672,2274
Africa,2021-01-14,,forecast,1404,1487,532,783,1140,1302,1526,1743,2422
Africa,2021-01-15,,forecast,1444,1543,591,778,1163,1334,1583,1815,2574
Africa,2021-01-16,,forecast,1487,1601,656,770,1181,1367,1637,1888,2731
Africa,2021-01-17,,forecast,1532,1663,726,764,1200,1402,1693,1967,2920
Africa,2021-01-18,,forecast,1579,1728,804,755,1221,1438,1752,2051,3097
Africa,2021-01-19,,forecast,1626,1796,889,749,1242,1474,1812,2136,3305
Africa,2021-01-20,,forecast,1676,1868,983,747,1265,1508,1875,2227,3537
Africa,2021-01-21,,forecast,1727,1945,1086,741,1286,1542,1939,2323,3776
Africa,2021-01-22,,forecast,1780,2025,1200,731,1310,1579,2008,2424,4013
Africa,2021-01-23,,forecast,1835,2110,1325,726,1332,1619,2078,2535,4270
Africa,2021-01-24,,forecast,1890,2200,1465,720,1356,1659,2147,2646,4560
Africa,2021-01-25,,forecast,1946,2296,1619,709,1377,1702,2219,2764,4868
Africa,2021-01-26,,forecast,2005,2397,1791,704,1400,1746,2301,2879,5177
Africa,2021-01-27,,forecast,2069,2504,1981,697,1425,1790,2373,2999,5521
Americas,2020-09-23,,estimate,2812,2820,147,2590,2722,2778,2849,2914,3076
Americas,2020-09-24,,estimate,2761,2766,140,2551,2671,2725,2793,2855,3006
Americas,2020-09-25,,estimate,2709,2713,134,2502,2625,2676,2741,2798,2940
Americas,2020-09-26,,estimate,2658,2663,130,2452,2578,2627,2693,2746,2882
Americas,2020-09-27,,estimate,2611,2616,128,2407,2534,2583,2645,2698,2829
Americas,2020-09-28,,estimate,2572,2573,127,2365,2493,2540,2603,2655,2785
Americas,2020-09-29,,estimate,2535,2533,127,2325,2454,2504,2565,2614,2743
Americas,2020-09-30,,estimate,2500,2497,126,2286,2419,2470,2531,2578,2706
Americas,2020-10-01,,estimate,2469,2465,125,2251,2386,2440,2498,2545,2670
Americas,2020-10-02,,estimate,2442,2437,124,2223,2359,2413,2471,2516,2639
Americas,2020-10-03,,estimate,2418,2413,123,2202,2337,2387,2446,2492,2611
Americas,2020-10-04,,estimate,2397,2392,121,2184,2316,2366,2425,2471,2592
Americas,2020-10-05,,estimate,2378,2374,119,2171,2298,2348,2407,2453,2568
Americas,2020-10-06,,estimate,2363,2361,117,2164,2284,2334,2392,2439,2551
Americas,2020-10-07,,estimate,2351,2350,115,2158,2275,2323,2381,2429,2538
Americas,2020-10-08,,estimate,2345,2343,113,2157,2268,2316,2374,2420,2526
Americas,2020-10-09,,estimate,2341,2339,111,2159,2264,2311,2369,2415,2519
Americas,2020-10-10,,estimate,2339,2339,109,2163,2264,2310,2367,2412,2515
Americas,2020-10-11,,estimate,2341,2341,107,2167,2267,2312,2369,2412,2520
Americas,2020-10-12,,estimate,2344,2345,106,2175,2274,2316,2371,2416,2522
Americas,2020-10-13,,estimate,2350,2353,105,2185,2282,2322,2376,2423,2526
Americas,2020-10-14,,estimate,2359,2363,105,2195,2292,2332,2386,2432,2537
Americas,2020-10-15,,estimate,2371,2375,105,2208,2302,2345,2398,2443,2549
Americas,2020-10-16,,estimate,2386,2389,105,2222,2317,2358,2412,2456,2570
Americas,2020-10-17,,estimate,2403,2405,106,2239,2333,2375,2429,2472,2583
Americas,2020-10-18,,estimate,2421,2424,107,2258,2350,2393,2447,2491,2603
Americas,2020-10-19,,estimate,2440,2444,108,2278,2369,2412,2467,2512,2625
Americas,2020-10-20,,estimate,2461,2466,109,2300,2391,2433,2489,2535,2645
Americas,2020-10-21,,estimate,2483,2490,110,2322,2415,2457,2510,2559,2670
Americas,2020-10-22,,estimate,2509,2515,111,2347,2441,2484,2536,2585,2698
Americas,2020-10-23,,estimate,2537,2543,112,2370,2469,2513,2565,2611,2728
Americas,2020-10-24,,estimate,2566,2572,113,2397,2497,2540,2594,2641,2761
Americas,2020-10-25,,estimate,2597,2602,114,2428,2528,2570,2624,2673,2793
Americas,2020-10-26,,estimate,2630,2635,114,2457,2560,2601,2658,2707,2827
Americas,2020-10-27,,estimate,2664,2669,115,2489,2593,2635,2692,2742,2862
Americas,2020-10-28,,estimate,2699,2704,115,2525,2628,2671,2729,2779,2897
Americas,2020-10-29,,estimate,2736,2741,116,2557,2664,2708,2766,2817,2936
Americas,2020-10-30,,estimate,2776,2780,117,2593,2702,2746,2804,2855,2975
Americas,2020-10-31,,estimate,2816,2819,119,2631,2740,2788,2844,2894,3017
Americas,2020-11-01,,estimate,2858,2860,120,2670,2782,2829,2885,2935,3058
Americas,2020-11-02,,estimate,2900,2903,122,2712,2823,2873,2929,2978,3101
Americas,2020-11-03,,estimate,2946,2947,124,2752,2865,2916,2975,3025,3149
Americas,2020-11-04,,estimate,2991,2992,126,2793,2908,2961,3021,3073,3196
Americas,2020-11-05,,estimate,3037,3038,128,2836,2951,3007,3068,3119,3246
Americas,2020-11-06,,estimate,3086,3086,130,2874,3000,3054,3117,3169,3300
Americas,2020-11-07,,estimate,3134,3135,133,2919,3047,3103,3168,3222,3351
Americas,2020-11-08,,estimate,3186,3186,136,2963,3097,3154,3218,3275,3408
Americas,2020-11-09,,estimate,3240,3238,139,3006,3148,3205,3273,3329,3467
Americas,2020-11-10,,estimate,3295,3292,142,3049,3199,3260,3330,3385,3526
Americas,2020-11-11,,estimate,3351,3348,146,3101,3253,3315,3387,3443,3589
Americas,2020-11-12,,estimate,3410,3406,150,3155,3309,3372,3446,3501,3655
Americas,2020-11-13,,estimate,3468,3465,153,3211,3366,3428,3506,3564,3722
Americas,2020-11-14,,estimate,3530,3527,156,3264,3426,3490,3567,3628,3782
Americas,2020-11-15,,estimate,3595,3590,159,3323,3488,3552,3630,3696,3846
Americas,2020-11-16,,estimate,3656,3655,162,3386,3551,3616,3695,3764,3916
Americas,2020-11-17,,estimate,3722,3721,164,3451,3616,3682,3762,3830,3986
Americas,2020-11-18,,estimate,3788,3789,166,3519,3681,3748,3828,3898,4058
Americas,2020-11-19,,estimate,3855,3857,168,3586,3745,3817,3898,3966,4132
Americas,2020-11-20,,estimate,3923,3926,171,3655,3812,3882,3966,4036,4211
Americas,2020-11-21,,estimate,3991,3994,174,3720,3879,3949,4035,4109,4291
Americas,2020-11-22,,estimate,4059,4062,178,3785,3941,4012,4101,4181,4361
Americas,2020-11-23,,estimate,4121,4129,183,3846,4002,4076,4167,4248,4435
Americas,2020-11-24,,estimate,4182,4193,189,3909,4060,4134,4232,4312,4513
Americas,2020-11-25,,estimate,4241,4255,196,3959,4118,4192,4292,4377,4590
Americas,2020-11-26,,estimate,4297,4312,203,4010,4171,4246,4349,4439,4667
Americas,2020-11-27,,estimate,4347,4366,211,4052,4218,4297,4402,4494,4739
Americas,2020-11-28,,estimate,4395,4414,218,4093,4262,4339,4454,4544,4799
Americas,2020-11-29,,estimate,4434,4457,224,4133,4299,4380,4494,4590,4850
Americas,2020-11-30,,estimate,4472,4494,229,4164,4333,4415,4530,4627,4908
Americas,2020-12-01,,estimate,4500,4525,231,4192,4361,4446,4558,4658,4948
Americas,2020-12-02,,estimate,4524,4550,231,4218,4387,4471,4582,4688,4969
Americas,2020-12-03,,estimate,4544,4569,229,4237,4408,4491,4600,4705,4982
Americas,2020-12-04,,estimate,4558,4582,226,4252,4425,4507,4616,4711,4983
Americas,2020-12-05,,estimate,4572,4591,221,4268,4437,4518,4627,4721,4983
Americas,2020-12-06,,estimate,4578,4595,215,4277,4444,4527,4632,4723,4977
Americas,2020-12-07,,estimate,4583,4596,210,4279,4452,4532,4634,4725,4962
Americas,2020-12-08,,estimate,4588,4595,207,4274,4452,4536,4634,4724,4945
Americas,2020-12-09,,estimate,4585,4593,206,4267,4454,4536,4636,4722,4936
Americas,2020-12-10,,estimate,4585,4591,208,4254,4452,4535,4638,4723,4937
Americas,2020-12-11,,estimate,4587,4590,214,4239,4444,4534,4640,4731,4941
Americas,2020-12-12,,estimate,4589,4592,223,4229,4442,4534,4644,4743,4961
Americas,2020-12-13,,estimate,4597,4598,235,4217,4441,4538,4652,4756,4983
Americas,2020-12-14,,estimate,4606,4609,248,4203,4446,4544,4670,4779,5009
Americas,2020-12-15,,estimate,4624,4626,262,4194,4451,4559,4692,4806,5045
Americas,2020-12-16,,estimate,4652,4651,275,4193,4465,4584,4719,4841,5088
Americas,2020-12-17,,estimate,4688,4684,288,4203,4490,4615,4756,4882,5141
Americas,2020-12-18,,estimate,4733,4726,298,4229,4524,4656,4805,4930,5199
