region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Africa,2020-09-27,,estimate,142,145,39,87,117,132,151,169,213
Africa,2020-09-28,,estimate,139,143,39,86,115,130,149,166,213
Africa,2020-09-29,,estimate,172,175,47,107,142,160,183,204,257
Africa,2020-09-30,,estimate,188,192,51,116,156,175,201,223,286
Africa,2020-10-01,,estimate,191,196,52,120,159,179,203,229,290
Africa,2020-10-02,,estimate,215,221,59,136,180,200,230,257,326
Africa,2020-10-03,,estimate,202,208,56,126,169,189,217,242,307
Africa,2020-10-04,,estimate,177,182,48,111,148,166,189,211,264
Africa,2020-10-05,,estimate,170,174,48,104,141,158,182,201,258
Africa,2020-10-06,,estimate,204,209,55,127,170,191,219,242,306
Africa,2020-10-07,,estimate,221,224,59,137,182,205,234,260,326
Africa,2020-10-08,,estimate,224,229,62,136,186,210,239,266,334
Africa,2020-10-09,,estimate,244,250,68,150,203,227,261,291,373
Africa,2020-10-10,,estimate,230,235,63,143,192,214,245,273,349
Africa,2020-10-11,,estimate,199,205,55,125,166,186,212,238,304
Africa,2020-10-12,,estimate,188,193,51,118,158,176,199,223,286
Africa,2020-10-13,,estimate,225,231,63,139,186,210,241,269,344
Africa,2020-10-14,,estimate,240,246,66,150,200,224,257,285,361
Africa,2020-10-15,,estimate,243,249,67,151,202,227,259,288,369
Africa,2020-10-16,,estimate,265,272,71,168,221,249,284,315,397
Africa,2020-10-17,,estimate,244,250,66,155,204,227,260,289,364
Africa,2020-10-18,,estimate,213,218,59,130,176,198,227,254,323
Africa,2020-10-19,,estimate,198,202,55,121,165,184,211,236,302
Africa,2020-10-20,,estimate,239,245,65,150,200,224,255,285,358
Africa,2020-10-21,,estimate,253,259,68,161,211,237,270,301,378
Africa,2020-10-22,,estimate,255,261,68,160,213,240,272,302,384
Africa,2020-10-23,,estimate,277,286,74,177,234,260,298,331,420
Africa,2020-10-24,,estimate,258,265,69,164,217,243,276,305,389
Africa,2020-10-25,,estimate,225,230,60,139,188,211,240,266,337
Africa,2020-10-26,,estimate,211,216,57,133,176,198,225,250,317
Africa,2020-10-27,,estimate,253,259,70,156,209,235,270,302,379
Africa,2020-10-28,,estimate,268,274,72,169,223,251,285,317,409
Africa,2020-10-29,,estimate,269,276,73,169,224,251,286,320,407
Africa,2020-10-30,,estimate,297,304,81,185,246,277,319,354,451
Africa,2020-10-31,,estimate,274,280,73,172,230,257,292,324,409
Africa,2020-11-01,,estimate,238,243,64,148,198,223,253,281,355
Africa,2020-11-02,,estimate,223,229,60,139,188,210,239,266,335
Africa,2020-11-03,,estimate,270,274,72,167,224,252,286,319,401
Africa,2020-11-04,,estimate,285,293,78,181,238,267,304,340,437
Africa,2020-11-05,,estimate,283,290,77,176,236,266,303,339,427
Africa,2020-11-06,,estimate,312,320,85,196,260,291,335,372,470
Africa,2020-11-07,,estimate,291,298,79,183,242,270,312,346,443
Africa,2020-11-08,,estimate,253,258,69,157,208,236,270,300,380
Africa,2020-11-09,,estimate,236,241,63,150,197,220,252,280,351
Africa,2020-11-10,,estimate,281,288,77,175,233,262,301,334,427
Africa,2020-11-11,,estimate,299,308,81,191,251,281,318,355,455
Africa,2020-11-12,,estimate,300,306,81,186,249,279,320,355,449
Africa,2020-11-13,,estimate,326,335,88,207,274,305,348,387,490
Africa,2020-11-14,,estimate,306,312,81,191,255,286,325,361,457
Africa,2020-11-15,,estimate,262,269,70,168,219,246,280,310,392
Africa,2020-11-16,,estimate,246,250,66,151,204,230,262,291,365
Africa,2020-11-17,,estimate,293,299,78,184,243,274,312,347,441
Africa,2020-11-18,,estimate,311,318,82,196,260,290,332,368,466
Africa,2020-11-19,,estimate,306,314,80,194,258,288,328,363,456
Africa,2020-11-20,,estimate,342,350,90,217,288,321,364,405,510
Africa,2020-11-21,,estimate,312,320,83,199,264,293,333,369,469
Africa,2020-11-22,,estimate,271,278,73,171,227,253,290,320,410
Africa,2020-11-23,,estimate,254,259,68,160,212,238,271,300,381
Africa,2020-11-24,,estimate,300,307,81,188,251,280,319,355,452
