region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Oceania,2020-09-01,,estimate,-0.088,-0.09,0.045,-0.167,-0.118,-0.1,-0.078,-0.061,-0.02
Oceania,2020-09-02,,estimate,-0.087,-0.089,0.043,-0.162,-0.116,-0.098,-0.078,-0.061,-0.023
Oceania,2020-09-03,,estimate,-0.086,-0.088,0.04,-0.156,-0.114,-0.097,-0.077,-0.062,-0.027
Oceania,2020-09-04,,estimate,-0.086,-0.087,0.037,-0.151,-0.111,-0.095,-0.077,-0.062,-0.029
Oceania,2020-09-05,,estimate,-0.085,-0.086,0.035,-0.146,-0.109,-0.093,-0.076,-0.063,-0.03
Oceania,2020-09-06,,estimate,-0.083,-0.085,0.033,-0.14,-0.106,-0.091,-0.076,-0.063,-0.033
Oceania,2020-09-07,,estimate,-0.082,-0.083,0.031,-0.135,-0.104,-0.089,-0.075,-0.062,-0.035
Oceania,2020-09-08,,estimate,-0.08,-0.081,0.029,-0.129,-0.101,-0.087,-0.074,-0.061,-0.035
Oceania,2020-09-09,,estimate,-0.078,-0.079,0.027,-0.125,-0.097,-0.085,-0.072,-0.061,-0.035
Oceania,2020-09-10,,estimate,-0.076,-0.077,0.026,-0.12,-0.094,-0.083,-0.07,-0.06,-0.035
Oceania,2020-09-11,,estimate,-0.074,-0.075,0.025,-0.117,-0.091,-0.08,-0.068,-0.058,-0.035
Oceania,2020-09-12,,estimate,-0.072,-0.073,0.024,-0.113,-0.088,-0.078,-0.066,-0.056,-0.034
Oceania,2020-09-13,,estimate,-0.07,-0.07,0.024,-0.11,-0.085,-0.075,-0.064,-0.055,-0.033
Oceania,2020-09-14,,estimate,-0.067,-0.068,0.023,-0.107,-0.083,-0.073,-0.062,-0.053,-0.032
Oceania,2020-09-15,,estimate,-0.065,-0.065,0.023,-0.104,-0.08,-0.07,-0.06,-0.051,-0.03
Oceania,2020-09-16,,estimate,-0.062,-0.063,0.023,-0.101,-0.077,-0.068,-0.057,-0.048,-0.028
Oceania,2020-09-17,,estimate,-0.06,-0.06,0.023,-0.098,-0.074,-0.065,-0.055,-0.046,-0.026
Oceania,2020-09-18,,estimate,-0.057,-0.058,0.022,-0.095,-0.071,-0.062,-0.052,-0.044,-0.024
Oceania,2020-09-19,,estimate,-0.055,-0.055,0.022,-0.092,-0.068,-0.06,-0.05,-0.041,-0.021
Oceania,2020-09-20,,estimate,-0.052,-0.053,0.022,-0.089,-0.065,-0.057,-0.047,-0.039,-0.019
Oceania,2020-09-21,,estimate,-0.049,-0.05,0.022,-0.087,-0.062,-0.054,-0.044,-0.037,-0.016
Oceania,2020-09-22,,estimate,-0.047,-0.047,0.022,-0.084,-0.06,-0.051,-0.042,-0.034,-0.014
Oceania,2020-09-23,,estimate,-0.044,-0.044,0.022,-0.082,-0.057,-0.049,-0.039,-0.031,-0.01
Oceania,2020-09-24,,estimate,-0.041,-0.042,0.023,-0.079,-0.054,-0.046,-0.036,-0.028,-0.007
Oceania,2020-09-25,,estimate,-0.038,-0.039,0.023,-0.076,-0.051,-0.043,-0.034,-0.026,-0.004
Oceania,2020-09-26,,estimate,-0.036,-0.036,0.023,-0.073,-0.048,-0.04,-0.031,-0.023,-0.001
Oceania,2020-09-27,,estimate,-0.033,-0.033,0.023,-0.069,-0.045,-0.037,-0.028,-0.02,0.003
Oceania,2020-09-28,,estimate,-0.03,-0.03,0.023,-0.066,-0.042,-0.034,-0.025,-0.017,0.007
Oceania,2020-09-29,,estimate,-0.027,-0.027,0.023,-0.063,-0.039,-0.031,-0.023,-0.015,0.01
Oceania,2020-11-20,,estimate based on partial data,-0.025,-0.031,0.092,-0.188,-0.083,-0.045,-0.008,0.02,0.105
Oceania,2020-11-21,,estimate based on partial data,-0.025,-0.031,0.096,-0.194,-0.085,-0.044,-0.008,0.021,0.111
Oceania,2020-11-22,,estimate based on partial data,-0.025,-0.03,0.1,-0.199,-0.087,-0.045,-0.007,0.022,0.118
Oceania,2020-11-23,,estimate based on partial data,-0.025,-0.03,0.105,-0.202,-0.088,-0.046,-0.007,0.024,0.125
Oceania,2020-11-24,,estimate based on partial data,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-11-25,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-11-26,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-11-27,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-11-28,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-11-29,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-11-30,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-01,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-02,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-03,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-04,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-05,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-06,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-07,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-12-08,,forecast,-0.025,-0.029,0.11,-0.206,-0.09,-0.047,-0.006,0.026,0.133
Oceania,2020-11-18,,estimate based on partial data,-0.024,-0.032,0.084,-0.179,-0.079,-0.043,-0.009,0.017,0.092
Oceania,2020-11-19,,estimate based on partial data,-0.024,-0.032,0.088,-0.183,-0.081,-0.044,-0.008,0.018,0.097
Oceania,2020-11-17,,estimate based on partial data,-0.024,-0.031,0.08,-0.174,-0.077,-0.042,-0.009,0.016,0.087
Oceania,2020-09-30,,estimate,-0.024,-0.024,0.023,-0.059,-0.036,-0.029,-0.02,-0.011,0.014
Oceania,2020-11-16,,estimate based on partial data,-0.023,-0.031,0.076,-0.168,-0.074,-0.04,-0.009,0.015,0.08
Oceania,2020-11-15,,estimate based on partial data,-0.022,-0.031,0.073,-0.164,-0.072,-0.039,-0.009,0.014,0.074
Oceania,2020-10-01,,estimate,-0.022,-0.02,0.023,-0.055,-0.033,-0.026,-0.017,-0.008,0.018
Oceania,2020-11-14,,estimate based on partial data,-0.021,-0.03,0.069,-0.159,-0.068,-0.038,-0.008,0.013,0.069
Oceania,2020-11-13,,estimate based on partial data,-0.02,-0.029,0.066,-0.152,-0.065,-0.036,-0.008,0.013,0.066
Oceania,2020-11-12,,estimate based on partial data,-0.02,-0.028,0.063,-0.146,-0.062,-0.034,-0.008,0.012,0.062
Oceania,2020-11-11,,estimate based on partial data,-0.019,-0.027,0.06,-0.137,-0.058,-0.032,-0.007,0.012,0.058
Oceania,2020-10-02,,estimate,-0.019,-0.017,0.023,-0.052,-0.03,-0.023,-0.014,-0.005,0.021
Oceania,2020-11-10,,estimate based on partial data,-0.018,-0.025,0.056,-0.129,-0.055,-0.03,-0.006,0.012,0.054
Americas,2020-09-01,,estimate,-0.018,-0.023,0.022,-0.067,-0.033,-0.023,-0.014,-0.008,0.003
Americas,2020-09-02,,estimate,-0.018,-0.022,0.02,-0.063,-0.032,-0.022,-0.014,-0.009,0.002
Americas,2020-09-03,,estimate,-0.017,-0.021,0.019,-0.058,-0.03,-0.021,-0.014,-0.009,0.002
Americas,2020-09-04,,estimate,-0.017,-0.02,0.017,-0.053,-0.028,-0.02,-0.013,-0.008,0.001
Oceania,2020-11-09,,estimate based on partial data,-0.016,-0.023,0.053,-0.123,-0.051,-0.028,-0.006,0.012,0.051
Americas,2020-09-05,,estimate,-0.016,-0.019,0.015,-0.048,-0.026,-0.019,-0.013,-0.008,0.001
Oceania,2020-10-03,,estimate,-0.016,-0.014,0.023,-0.048,-0.028,-0.02,-0.011,-0.001,0.025
Oceania,2020-11-08,,estimate based on partial data,-0.015,-0.021,0.05,-0.116,-0.048,-0.026,-0.004,0.012,0.049
Americas,2020-09-06,,estimate,-0.015,-0.017,0.014,-0.043,-0.024,-0.018,-0.012,-0.008,0.001
Americas,2020-09-07,,estimate,-0.015,-0.016,0.012,-0.039,-0.022,-0.017,-0.012,-0.008,0
Americas,2020-09-08,,estimate,-0.014,-0.015,0.011,-0.034,-0.021,-0.016,-0.011,-0.007,0.001
Oceania,2020-11-07,,estimate based on partial data,-0.013,-0.019,0.047,-0.108,-0.044,-0.024,-0.004,0.012,0.046
Americas,2020-09-09,,estimate,-0.013,-0.013,0.01,-0.03,-0.019,-0.015,-0.01,-0.007,0.001
Oceania,2020-10-04,,estimate,-0.013,-0.011,0.024,-0.046,-0.025,-0.018,-0.008,0.002,0.029
Oceania,2020-11-06,,estimate,-0.012,-0.017,0.044,-0.099,-0.04,-0.022,-0.003,0.012,0.045
Global,2020-09-01,,estimate,-0.012,-0.016,0.019,-0.053,-0.024,-0.016,-0.009,-0.004,0.008
Americas,2020-09-10,,estimate,-0.012,-0.012,0.009,-0.027,-0.017,-0.014,-0.009,-0.006,0.001
Global,2020-09-02,,estimate,-0.011,-0.015,0.017,-0.048,-0.022,-0.015,-0.008,-0.004,0.007
Global,2020-09-03,,estimate,-0.011,-0.014,0.016,-0.044,-0.021,-0.014,-0.008,-0.003,0.006
Europe,2020-11-22,,estimate based on partial data,-0.011,-0.008,0.036,-0.063,-0.031,-0.018,-0.002,0.012,0.05
Europe,2020-11-23,,estimate based on partial data,-0.011,-0.008,0.038,-0.067,-0.033,-0.019,-0.002,0.013,0.055
Europe,2020-11-24,,estimate based on partial data,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-11-25,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-11-26,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-11-27,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-11-28,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-11-29,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-11-30,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-01,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-02,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-03,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-04,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-05,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-06,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-07,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Europe,2020-12-08,,forecast,-0.011,-0.008,0.041,-0.071,-0.034,-0.02,-0.002,0.014,0.059
Oceania,2020-11-05,,estimate,-0.01,-0.015,0.041,-0.089,-0.037,-0.019,-0.001,0.012,0.043
Global,2020-09-04,,estimate,-0.01,-0.012,0.014,-0.039,-0.019,-0.013,-0.007,-0.003,0.006
Americas,2020-09-11,,estimate,-0.01,-0.011,0.008,-0.024,-0.016,-0.012,-0.009,-0.006,0.002
Americas,2020-09-12,,estimate,-0.01,-0.009,0.008,-0.022,-0.014,-0.011,-0.008,-0.005,0.004
Oceania,2020-10-05,,estimate,-0.01,-0.008,0.024,-0.043,-0.022,-0.015,-0.005,0.006,0.032
Europe,2020-11-21,,estimate based on partial data,-0.01,-0.008,0.033,-0.06,-0.029,-0.017,-0.002,0.011,0.047
Global,2020-09-05,,estimate,-0.009,-0.011,0.012,-0.035,-0.017,-0.012,-0.007,-0.003,0.005
Global,2020-09-06,,estimate,-0.009,-0.01,0.011,-0.03,-0.015,-0.011,-0.006,-0.003,0.005
Asia,2020-09-29,,estimate,-0.009,-0.009,0.003,-0.013,-0.01,-0.009,-0.008,-0.007,-0.005
Asia,2020-09-30,,estimate,-0.009,-0.009,0.003,-0.013,-0.01,-0.009,-0.008,-0.007,-0.005
Americas,2020-09-13,,estimate,-0.009,-0.008,0.008,-0.02,-0.013,-0.011,-0.007,-0.004,0.006
Europe,2020-11-19,,estimate based on partial data,-0.009,-0.008,0.028,-0.052,-0.026,-0.015,-0.002,0.009,0.04
Europe,2020-11-20,,estimate based on partial data,-0.009,-0.008,0.03,-0.056,-0.028,-0.016,-0.003,0.01,0.044
Oceania,2020-11-04,,estimate,-0.008,-0.013,0.039,-0.083,-0.033,-0.017,0,0.013,0.042
Asia,2020-10-02,,estimate,-0.008,-0.009,0.002,-0.013,-0.01,-0.009,-0.008,-0.007,-0.005
Asia,2020-09-28,,estimate,-0.008,-0.009,0.003,-0.013,-0.01,-0.009,-0.008,-0.007,-0.005
Asia,2020-10-01,,estimate,-0.008,-0.009,0.003,-0.013,-0.01,-0.009,-0.008,-0.007,-0.005
Asia,2020-10-03,,estimate,-0.008,-0.008,0.002,-0.013,-0.01,-0.009,-0.008,-0.007,-0.005
Asia,2020-10-04,,estimate,-0.008,-0.008,0.002,-0.012,-0.01,-0.009,-0.007,-0.007,-0.004
Asia,2020-10-05,,estimate,-0.008,-0.008,0.002,-0.012,-0.009,-0.008,-0.007,-0.006,-0.004
Asia,2020-09-27,,estimate,-0.008,-0.008,0.003,-0.013,-0.01,-0.009,-0.008,-0.007,-0.005
Asia,2020-09-26,,estimate,-0.008,-0.008,0.003,-0.012,-0.01,-0.009,-0.008,-0.007,-0.004
Asia,2020-09-25,,estimate,-0.008,-0.008,0.003,-0.012,-0.01,-0.009,-0.007,-0.007,-0.004
