region,date,confirm
Asia,2020-06-09,714
Europe,2020-06-09,443
Africa,2020-06-09,175
Americas,2020-06-09,1882
Oceania,2020-06-09,0
Global,2020-06-09,3214
Asia,2020-06-10,676
Europe,2020-06-10,696
Africa,2020-06-10,171
Americas,2020-06-10,3310
Oceania,2020-06-10,0
Global,2020-06-10,4853
Asia,2020-06-11,774
Europe,2020-06-11,670
Africa,2020-06-11,154
Americas,2020-06-11,3533
Oceania,2020-06-11,0
Global,2020-06-11,5131
Asia,2020-06-12,823
Europe,2020-06-12,464
Africa,2020-06-12,173
Americas,2020-06-12,3236
Oceania,2020-06-12,0
Global,2020-06-12,4696
Asia,2020-06-13,808
Europe,2020-06-13,534
Africa,2020-06-13,256
Americas,2020-06-13,3050
Oceania,2020-06-13,0
Global,2020-06-13,4648
Asia,2020-06-14,733
Europe,2020-06-14,454
Africa,2020-06-14,197
Americas,2020-06-14,2755
Oceania,2020-06-14,0
Global,2020-06-14,4139
Asia,2020-06-15,803
Europe,2020-06-15,310
Africa,2020-06-15,226
Americas,2020-06-15,1818
Oceania,2020-06-15,0
Global,2020-06-15,3157
Asia,2020-06-16,901
Europe,2020-06-16,347
Africa,2020-06-16,237
Americas,2020-06-16,1893
Oceania,2020-06-16,0
Global,2020-06-16,3378
Asia,2020-06-17,2530
Europe,2020-06-17,616
Africa,2020-06-17,238
Americas,2020-06-17,3335
Oceania,2020-06-17,0
Global,2020-06-17,6719
Asia,2020-06-18,872
Europe,2020-06-18,550
Africa,2020-06-18,199
Americas,2020-06-18,3479
Oceania,2020-06-18,0
Global,2020-06-18,5100
Asia,2020-06-19,909
Europe,2020-06-19,1824
Africa,2020-06-19,204
Americas,2020-06-19,3338
Oceania,2020-06-19,0
Global,2020-06-19,6275
Asia,2020-06-20,951
Europe,2020-06-20,458
Africa,2020-06-20,287
Americas,2020-06-20,3335
Oceania,2020-06-20,0
Global,2020-06-20,5031
Asia,2020-06-21,880
Europe,2020-06-21,293
Africa,2020-06-21,232
Americas,2020-06-21,2711
Oceania,2020-06-21,0
Global,2020-06-21,4116
Asia,2020-06-22,947
Europe,2020-06-22,264
Africa,2020-06-22,191
Americas,2020-06-22,2564
Oceania,2020-06-22,0
Global,2020-06-22,3966
Asia,2020-06-23,811
Europe,2020-06-23,269
Africa,2020-06-23,218
Americas,2020-06-23,2098
Oceania,2020-06-23,0
Global,2020-06-23,3396
Asia,2020-06-24,956
Europe,2020-06-24,476
Africa,2020-06-24,284
Americas,2020-06-24,3634
Oceania,2020-06-24,0
Global,2020-06-24,5350
Asia,2020-06-25,1012
Europe,2020-06-25,392
Africa,2020-06-25,235
Americas,2020-06-25,3606
Oceania,2020-06-25,1
Global,2020-06-25,5246
Asia,2020-06-26,959
Europe,2020-06-26,392
Africa,2020-06-26,221
Americas,2020-06-26,5005
Oceania,2020-06-26,1
Global,2020-06-26,6578
Asia,2020-06-27,827
Europe,2020-06-27,431
Africa,2020-06-27,207
Americas,2020-06-27,3096
Oceania,2020-06-27,0
Global,2020-06-27,4561
Asia,2020-06-28,1041
Europe,2020-06-28,349
Africa,2020-06-28,204
Americas,2020-06-28,2997
Oceania,2020-06-28,0
Global,2020-06-28,4591
Asia,2020-06-29,880
Europe,2020-06-29,284
Africa,2020-06-29,180
Americas,2020-06-29,1725
Oceania,2020-06-29,0
Global,2020-06-29,3069
Asia,2020-06-30,1035
Europe,2020-06-30,289
Africa,2020-06-30,218
Americas,2020-06-30,2164
Oceania,2020-06-30,0
Global,2020-06-30,3706
Asia,2020-07-01,1126
Europe,2020-07-01,415
Africa,2020-07-01,269
Americas,2020-07-01,3813
Oceania,2020-07-01,0
Global,2020-07-01,5623
Asia,2020-07-02,1005
Europe,2020-07-02,469
Africa,2020-07-02,253
Americas,2020-07-02,3114
Oceania,2020-07-02,0
Global,2020-07-02,4841
Asia,2020-07-03,971
Europe,2020-07-03,388
Africa,2020-07-03,244
Americas,2020-07-03,3474
Oceania,2020-07-03,0
Global,2020-07-03,5077
Asia,2020-07-04,994
Europe,2020-07-04,400
Africa,2020-07-04,234
Americas,2020-07-04,3384
Oceania,2020-07-04,0
Global,2020-07-04,5012
Asia,2020-07-05,1191
Europe,2020-07-05,340
Africa,2020-07-05,201
Americas,2020-07-05,2608
Oceania,2020-07-05,0
Global,2020-07-05,4340
Asia,2020-07-06,1051
Europe,2020-07-06,278
Africa,2020-07-06,293
Americas,2020-07-06,1759
Oceania,2020-07-06,0
Global,2020-07-06,3381
Asia,2020-07-07,1193
Europe,2020-07-07,301
Africa,2020-07-07,258
Americas,2020-07-07,2088
Oceania,2020-07-07,2
Global,2020-07-07,3842
Asia,2020-07-08,1160
Europe,2020-07-08,460
Africa,2020-07-08,358
Americas,2020-07-08,4018
Oceania,2020-07-08,0
Global,2020-07-08,5996
Asia,2020-07-09,1025
Europe,2020-07-09,415
Africa,2020-07-09,247
Americas,2020-07-09,3590
Oceania,2020-07-09,0
Global,2020-07-09,5277
Asia,2020-07-10,1120
Europe,2020-07-10,367
Africa,2020-07-10,226
Americas,2020-07-10,3670
