region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Global,10562 (5145 -- 16476),10562,10720,3714,5145,8262,9682,11462,12903,16476,New confirmed cases by infection date,Unsure
Europe,4612 (2565 -- 8715),4612,5000,2096,2565,3659,4219,5030,5834,8715,New confirmed cases by infection date,Unsure
Americas,3658 (1846 -- 6231),3658,3837,1407,1846,3027,3407,3931,4451,6231,New confirmed cases by infection date,Unsure
Asia,1943 (1419 -- 2453),1943,1941,325,1419,1755,1872,2005,2125,2453,New confirmed cases by infection date,Unsure
Africa,316 (113 -- 457),316,305,110,113,236,289,340,377,457,New confirmed cases by infection date,Unsure
Africa,1 (0.8 -- 1.1),1,1,0.1,0.8,0.9,1,1,1,1.1,Effective reproduction no.,Unsure
Americas,1 (0.8 -- 1.2),1,1,0.1,0.8,1,1,1,1.1,1.2,Effective reproduction no.,Unsure
Asia,1 (0.9 -- 1.1),1,1,0.1,0.9,1,1,1,1,1.1,Effective reproduction no.,Unsure
Europe,1 (0.8 -- 1.2),1,1,0.1,0.8,0.9,0.9,1,1.1,1.2,Effective reproduction no.,Unsure
Global,1 (0.8 -- 1.1),1,1,0.1,0.8,0.9,1,1,1,1.1,Effective reproduction no.,Unsure
Oceania,1 (0 -- 10),1,3,9,0,0,0,1,2,10,New confirmed cases by infection date,Unsure
Oceania,0.9 (0.3 -- 1.5),0.9,0.9,0.4,0.3,0.7,0.8,0.9,1.1,1.5,Effective reproduction no.,Unsure
