region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Brussels,2020-10-06,,estimate,1474,1482,178,1204,1359,1431,1521,1598,1784
Brussels,2020-10-07,,estimate,1580,1586,182,1301,1462,1532,1626,1702,1899
Brussels,2020-10-08,,estimate,1690,1699,185,1405,1573,1646,1740,1819,2011
Brussels,2020-10-09,,estimate,1813,1820,187,1522,1694,1766,1862,1945,2140
Brussels,2020-10-10,,estimate,1938,1943,190,1637,1810,1892,1989,2065,2262
Brussels,2020-10-11,,estimate,2057,2062,195,1755,1927,2007,2105,2188,2392
Brussels,2020-10-12,,estimate,2159,2168,203,1855,2029,2108,2210,2294,2524
Brussels,2020-10-13,,estimate,2240,2252,215,1927,2104,2187,2293,2381,2631
Brussels,2020-10-14,,estimate,2288,2302,227,1962,2149,2234,2343,2441,2699
Brussels,2020-10-15,,estimate,2298,2310,236,1946,2150,2239,2355,2459,2712
Brussels,2020-10-16,,estimate,2259,2271,238,1901,2108,2196,2319,2422,2675
Brussels,2020-10-17,,estimate,2173,2185,233,1818,2026,2117,2235,2336,2578
Brussels,2020-10-18,,estimate,2045,2057,219,1710,1907,1991,2106,2197,2432
Brussels,2020-10-19,,estimate,1886,1896,199,1586,1758,1837,1937,2020,2235
Brussels,2020-10-20,,estimate,1705,1714,176,1447,1589,1661,1745,1822,2023
Brussels,2020-10-21,,estimate,1511,1523,154,1294,1415,1474,1549,1617,1786
Brussels,2020-10-22,,estimate,1323,1336,134,1138,1242,1292,1360,1420,1571
Brussels,2020-10-23,,estimate,1152,1160,119,978,1078,1122,1183,1234,1364
Brussels,2020-10-24,,estimate,996,1001,108,832,928,970,1023,1070,1184
Brussels,2020-10-25,,estimate,860,862,100,700,793,835,882,927,1028
Brussels,2020-10-26,,estimate,740,742,93,595,680,718,763,803,896
Brussels,2020-10-27,,estimate,639,642,87,504,584,618,662,699,789
Brussels,2020-10-28,,estimate,556,559,80,432,503,537,577,611,695
Brussels,2020-10-29,,estimate,488,491,74,375,441,471,507,539,618
Brussels,2020-10-30,,estimate,433,436,67,331,389,417,450,478,550
Brussels,2020-10-31,,estimate,388,391,60,295,348,373,403,429,494
Brussels,2020-11-01,,estimate,352,354,54,269,316,338,366,390,447
Brussels,2020-11-02,,estimate,323,325,48,249,292,310,335,358,408
Brussels,2020-11-03,,estimate,299,302,43,232,272,289,311,331,375
Brussels,2020-11-04,,estimate,282,283,39,220,256,272,291,309,350
Brussels,2020-11-05,,estimate,267,268,36,211,244,259,276,291,329
Brussels,2020-11-06,,estimate,256,256,33,205,234,248,263,277,312
Brussels,2020-11-07,,estimate,246,247,31,199,226,238,254,267,301
Brussels,2020-11-08,,estimate,237,239,30,193,218,230,245,258,292
Brussels,2020-11-09,,estimate,230,233,29,189,212,223,238,251,283
Brussels,2020-11-10,,estimate,224,227,29,183,207,217,232,245,278
Brussels,2020-11-11,,estimate,219,222,28,178,202,212,226,239,271
Brussels,2020-11-12,,estimate,214,216,28,174,197,207,222,234,266
