region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Brussels,2020-10-04,,estimate,140,143,35,91,118,131,148,164,204
Brussels,2020-10-05,,estimate,1139,1165,264,777,980,1078,1206,1323,1636
Brussels,2020-10-06,,estimate,1294,1319,304,872,1107,1221,1373,1503,1846
Brussels,2020-10-07,,estimate,1073,1099,261,721,919,1015,1135,1253,1559
Brussels,2020-10-08,,estimate,1189,1214,283,807,1014,1118,1264,1381,1718
Brussels,2020-10-09,,estimate,1197,1222,279,806,1027,1132,1270,1394,1708
Brussels,2020-10-10,,estimate,623,640,149,426,537,590,660,726,901
Brussels,2020-10-11,,estimate,212,217,51,143,182,200,225,247,309
Brussels,2020-10-12,,estimate,1733,1766,397,1185,1484,1641,1829,2007,2465
Brussels,2020-10-13,,estimate,1971,1999,445,1334,1683,1858,2081,2270,2768
Brussels,2020-10-14,,estimate,1680,1712,389,1145,1430,1581,1779,1952,2398
Brussels,2020-10-15,,estimate,1868,1907,426,1287,1605,1768,1973,2157,2674
Brussels,2020-10-16,,estimate,1909,1944,435,1302,1636,1804,2029,2207,2709
Brussels,2020-10-17,,estimate,1000,1022,235,678,858,944,1059,1162,1440
Brussels,2020-10-18,,estimate,335,342,80,224,286,316,354,389,484
Brussels,2020-10-19,,estimate,2668,2718,604,1826,2291,2517,2818,3098,3790
Brussels,2020-10-20,,estimate,2885,2951,660,1964,2495,2732,3068,3349,4113
Brussels,2020-10-21,,estimate,2328,2374,536,1577,2002,2214,2464,2710,3333
Brussels,2020-10-22,,estimate,2434,2477,562,1645,2086,2289,2570,2813,3469
Brussels,2020-10-23,,estimate,2278,2314,506,1565,1958,2151,2405,2628,3188
Brussels,2020-10-24,,estimate,1100,1120,258,751,941,1039,1161,1269,1582
Brussels,2020-10-25,,estimate,334,340,79,223,285,314,353,389,479
Brussels,2020-10-26,,estimate,2388,2436,550,1627,2050,2262,2531,2775,3394
Brussels,2020-10-27,,estimate,2373,2412,544,1600,2027,2242,2509,2750,3366
