region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-10-04,,estimate,80,81,14,61,72,77,83,89,105
Acre,2020-10-03,,estimate,80,81,14,61,72,77,83,90,105
Acre,2020-10-05,,estimate,80,81,14,61,72,77,84,90,105
Acre,2020-10-02,,estimate,80,82,14,61,72,77,84,90,105
Acre,2020-10-06,,estimate,80,82,14,61,73,77,84,90,105
Acre,2020-10-07,,estimate,81,82,14,61,73,78,84,90,106
Acre,2020-09-30,,estimate,81,82,14,62,73,78,84,90,106
Acre,2020-10-01,,estimate,81,82,14,62,73,78,84,90,106
Acre,2020-10-08,,estimate,82,83,14,62,73,78,85,91,106
Acre,2020-10-09,,estimate,82,83,14,62,74,79,86,92,107
Acre,2020-09-29,,estimate,82,83,14,63,74,79,85,91,107
Acre,2020-09-28,,estimate,82,84,14,63,74,79,86,92,108
Acre,2020-10-10,,estimate,83,84,14,63,75,80,87,93,108
Acre,2020-09-27,,estimate,83,84,14,64,75,80,86,93,109
Acre,2020-10-11,,estimate,84,85,14,64,75,81,88,94,110
Acre,2020-09-26,,estimate,84,85,14,65,76,81,87,94,110
Acre,2020-09-25,,estimate,85,86,14,66,77,82,88,95,112
Acre,2020-10-12,,estimate,85,86,15,65,76,82,89,95,111
Acre,2020-09-24,,estimate,86,88,14,67,78,83,89,96,113
Acre,2020-10-13,,estimate,87,88,15,66,77,83,90,97,113
Acre,2020-09-23,,estimate,87,89,14,68,79,84,91,97,115
Acre,2020-10-14,,estimate,88,89,15,67,79,84,92,99,115
Alagoas,2020-10-13,,estimate,89,90,14,68,80,86,93,99,115
Alagoas,2020-10-11,,estimate,89,90,15,67,79,86,93,100,116
Alagoas,2020-10-12,,estimate,89,90,15,68,80,86,93,99,116
Acre,2020-09-22,,estimate,89,90,15,69,80,85,92,98,116
Alagoas,2020-10-14,,estimate,90,91,14,69,81,86,93,99,114
Acre,2020-10-15,,estimate,90,91,15,68,80,86,94,101,118
Acre,2020-09-21,,estimate,90,91,15,70,81,86,93,100,118
Alagoas,2020-10-10,,estimate,90,91,16,66,79,86,94,101,118
Alagoas,2020-10-15,,estimate,91,91,14,70,82,87,94,100,115
Alagoas,2020-10-09,,estimate,91,92,16,66,80,87,95,102,120
Acre,2020-09-20,,estimate,91,93,15,71,82,88,95,101,120
Alagoas,2020-10-16,,estimate,92,93,13,72,83,89,95,101,116
Acre,2020-10-16,,estimate,92,93,16,70,82,88,96,103,121
Acre,2020-09-19,,estimate,92,94,15,72,84,89,96,103,122
Alagoas,2020-10-08,,estimate,93,93,17,66,81,88,97,104,122
Alagoas,2020-10-17,,estimate,94,94,13,73,85,90,97,102,117
Sergipe,2020-10-31,,estimate,94,95,15,73,85,90,97,103,120
Sergipe,2020-11-01,,estimate,94,95,15,73,85,90,97,103,121
Acre,2020-09-18,,estimate,94,96,15,74,85,91,98,105,124
Sergipe,2020-10-30,,estimate,94,96,15,74,86,91,98,104,121
Acre,2020-10-17,,estimate,94,96,16,72,84,90,98,106,124
Alagoas,2020-10-07,,estimate,95,95,18,67,83,90,99,107,125
Alagoas,2020-10-18,,estimate,95,96,13,75,87,92,98,104,119
Sergipe,2020-11-02,,estimate,95,96,15,73,85,91,98,104,123
Acre,2020-09-17,,estimate,95,97,16,76,86,92,99,106,126
Sergipe,2020-10-29,,estimate,96,97,15,75,87,92,100,106,123
Sergipe,2020-11-03,,estimate,96,97,16,74,86,92,100,106,125
Alagoas,2020-10-19,,estimate,97,98,14,77,88,94,100,106,121
Acre,2020-10-18,,estimate,97,98,17,74,86,93,101,109,127
Alagoas,2020-10-06,,estimate,97,98,18,69,86,93,102,110,128
Acre,2020-09-16,,estimate,97,99,16,77,88,93,101,108,128
Sergipe,2020-10-28,,estimate,98,99,15,76,89,95,102,109,125
Sergipe,2020-11-04,,estimate,98,99,16,75,88,94,102,109,128
Alagoas,2020-10-20,,estimate,99,100,14,79,90,96,102,108,124
Acre,2020-09-15,,estimate,99,101,16,78,89,95,103,109,131
Acre,2020-10-19,,estimate,100,101,17,76,89,95,104,112,131
Acre,2020-09-14,,estimate,100,102,17,79,91,97,104,111,133
Alagoas,2020-10-05,,estimate,101,101,19,71,88,96,106,113,132
Alagoas,2020-10-21,,estimate,101,102,14,81,92,98,104,110,127
Sergipe,2020-11-05,,estimate,101,102,17,77,90,97,105,112,132
Sergipe,2020-10-27,,estimate,102,102,16,78,91,97,106,113,130
Acre,2020-09-13,,estimate,102,104,17,80,92,98,105,113,135
Alagoas,2020-10-22,,estimate,103,104,15,82,94,100,106,113,131
Acre,2020-10-20,,estimate,103,104,18,78,92,98,107,116,135
Acre,2020-09-12,,estimate,103,105,17,81,94,100,107,115,137
Amapá,2020-09-28,,estimate,104,105,11,88,98,102,107,112,124
Amapá,2020-09-29,,estimate,105,105,11,88,98,102,107,112,123
Amapá,2020-09-27,,estimate,105,105,11,88,98,102,107,112,124
Amapá,2020-09-30,,estimate,105,105,11,88,98,102,107,112,124
Alagoas,2020-10-04,,estimate,105,105,19,74,92,100,110,118,136
Amapá,2020-09-26,,estimate,105,106,11,88,98,102,108,112,125
Amapá,2020-10-01,,estimate,105,106,11,89,99,103,108,113,124
Sergipe,2020-11-06,,estimate,105,106,18,80,94,101,109,117,138
Alagoas,2020-10-23,,estimate,105,107,15,85,96,102,109,116,134
Acre,2020-09-11,,estimate,105,107,17,83,95,101,109,116,139
Amapá,2020-09-25,,estimate,106,106,11,89,99,103,108,113,125
Amapá,2020-10-02,,estimate,106,107,11,89,99,104,109,114,125
Amapá,2020-09-24,,estimate,106,107,11,89,99,104,109,114,126
Sergipe,2020-10-26,,estimate,106,107,17,80,95,101,110,117,136
Acre,2020-10-21,,estimate,106,108,18,81,95,102,111,120,139
Acre,2020-09-10,,estimate,106,109,18,84,97,103,110,118,141
Amapá,2020-10-03,,estimate,107,108,11,90,100,104,110,115,126
Amapá,2020-09-23,,estimate,107,108,11,90,100,105,110,115,127
Amapá,2020-10-04,,estimate,108,109,11,91,101,106,111,116,128
Alagoas,2020-10-24,,estimate,108,109,16,87,99,104,111,118,137
Acre,2020-09-09,,estimate,108,110,18,85,98,104,112,120,142
Amapá,2020-09-22,,estimate,109,109,11,91,101,106,111,116,129
Amapá,2020-10-05,,estimate,110,110,11,93,103,107,113,117,129
Amapá,2020-09-21,,estimate,110,110,12,93,103,107,113,118,130
Alagoas,2020-10-03,,estimate,110,110,19,77,97,104,114,122,141
Sergipe,2020-11-07,,estimate,110,111,19,83,98,105,114,122,144
Alagoas,2020-10-25,,estimate,110,112,16,89,101,106,114,121,141
Acre,2020-09-08,,estimate,110,112,18,86,100,106,114,122,145
Acre,2020-10-22,,estimate,110,112,19,83,98,105,115,124,144
Amapá,2020-09-20,,estimate,111,112,12,94,104,109,114,119,132
Sergipe,2020-10-25,,estimate,111,112,18,83,99,106,116,123,143
Acre,2020-09-07,,estimate,111,113,19,87,101,107,116,124,147
Amapá,2020-10-06,,estimate,112,112,11,94,104,109,115,119,131
Alagoas,2020-10-26,,estimate,112,114,16,91,103,109,117,123,143
Amapá,2020-09-19,,estimate,113,114,12,95,106,110,116,121,134
Acre,2020-09-06,,estimate,113,115,19,88,102,109,117,126,149
Amapá,2020-10-07,,estimate,114,114,12,96,106,111,117,121,133
Acre,2020-10-23,,estimate,114,116,20,86,102,109,119,128,149
Acre,2020-08-20,,estimate,114,117,24,83,100,109,120,132,161
Alagoas,2020-10-02,,estimate,115,115,20,82,102,110,120,128,146
Amapá,2020-09-18,,estimate,115,116,12,97,107,112,118,123,137
Alagoas,2020-10-27,,estimate,115,117,17,93,105,111,119,127,147
Acre,2020-09-05,,estimate,115,117,19,89,104,110,119,128,151
Amapá,2020-10-08,,estimate,116,116,12,98,108,113,119,124,136
Sergipe,2020-11-08,,estimate,116,117,20,88,103,111,120,129,152
Acre,2020-09-04,,estimate,116,118,20,90,105,112,121,130,154
Amapá,2020-09-17,,estimate,117,118,12,99,109,114,120,126,139
Acre,2020-08-21,,estimate,117,119,21,88,104,112,122,131,156
Sergipe,2020-10-24,,estimate,118,118,20,87,104,113,123,131,151
Amapá,2020-10-09,,estimate,118,119,12,100,111,116,121,126,139
Alagoas,2020-10-28,,estimate,118,119,17,95,107,114,122,129,149
Acre,2020-09-03,,estimate,118,120,21,90,106,113,123,132,157
Amapá,2020-09-16,,estimate,119,120,13,101,111,116,122,128,142
Acre,2020-10-24,,estimate,119,120,21,90,106,114,124,133,156
Acre,2020-08-22,,estimate,119,121,19,91,107,114,124,132,155
Alagoas,2020-10-29,,estimate,120,122,17,97,110,116,124,132,152
Acre,2020-09-02,,estimate,120,122,22,90,106,115,125,134,160
Alagoas,2020-10-01,,estimate,121,121,20,88,108,116,126,134,153
Amapá,2020-10-10,,estimate,121,122,12,103,113,118,124,129,142
Acre,2020-08-23,,estimate,121,123,19,94,110,117,126,134,156
Acre,2020-09-01,,estimate,121,123,23,90,107,116,126,136,164
Amapá,2020-09-15,,estimate,122,123,13,103,114,119,125,131,146
Alagoas,2020-10-30,,estimate,122,124,17,98,112,118,127,134,155
Acre,2020-08-31,,estimate,122,124,23,90,107,116,128,138,167
Sergipe,2020-11-09,,estimate,123,124,21,93,110,118,128,137,161
Amapá,2020-10-11,,estimate,124,125,12,105,116,121,127,132,146
Acre,2020-08-24,,estimate,124,125,20,95,111,119,129,137,161
Acre,2020-10-25,,estimate,124,125,21,93,110,119,129,138,163
Alagoas,2020-10-31,,estimate,124,126,18,100,114,120,129,137,158
Sergipe,2020-10-23,,estimate,125,125,21,92,112,120,130,139,161
Amapá,2020-09-14,,estimate,125,126,13,105,116,122,128,134,149
Acre,2020-08-25,,estimate,126,128,23,95,112,121,132,142,168
Amapá,2020-10-12,,estimate,127,128,13,108,120,125,130,136,150
Alagoas,2020-11-01,,estimate,127,128,18,101,115,122,132,139,161
Alagoas,2020-09-30,,estimate,128,128,20,95,114,123,132,141,160
Amapá,2020-09-13,,estimate,128,129,14,108,119,125,131,137,152
Alagoas,2020-11-02,,estimate,129,130,19,103,117,124,134,141,164
Acre,2020-10-26,,estimate,129,131,22,97,115,124,135,144,170
Acre,2020-08-26,,estimate,129,131,27,93,112,122,135,147,179
Alagoas,2020-11-03,,estimate,130,132,19,104,118,126,135,143,166
Amapá,2020-10-13,,estimate,131,132,13,112,123,128,134,140,155
Amapá,2020-09-12,,estimate,131,132,14,110,122,128,135,141,156
Alagoas,2020-11-04,,estimate,132,133,19,105,120,127,137,145,168
Sergipe,2020-11-10,,estimate,132,133,22,100,117,126,137,146,171
Acre,2020-08-27,,estimate,132,134,31,90,111,124,139,153,191
Alagoas,2020-11-05,,estimate,133,135,20,106,121,129,138,147,170
Sergipe,2020-10-22,,estimate,134,134,22,98,120,128,140,149,171
Alagoas,2020-11-06,,estimate,134,136,20,107,122,130,139,148,171
Acre,2020-08-28,,estimate,134,138,37,87,111,125,142,159,205
Alagoas,2020-09-29,,estimate,135,135,20,103,122,130,140,148,169
Amapá,2020-10-14,,estimate,135,136,13,115,127,132,138,144,159
Amapá,2020-09-11,,estimate,135,136,14,113,126,132,139,145,161
Alagoas,2020-11-07,,estimate,135,137,20,107,123,131,141,150,173
Acre,2020-10-27,,estimate,135,137,23,101,120,130,141,151,178
Alagoas,2020-11-08,,estimate,136,138,21,107,124,132,141,151,175
Acre,2020-08-29,,estimate,136,142,44,83,110,127,146,166,222
Alagoas,2020-11-09,,estimate,137,139,21,107,124,133,143,152,177
Amapá,2020-10-15,,estimate,139,140,14,119,131,136,142,148,164
Amapá,2020-09-10,,estimate,139,140,15,117,129,135,143,149,165
Alagoas,2020-11-10,,estimate,139,140,22,107,124,133,144,154,178
Alagoas,2020-11-11,,estimate,139,141,23,107,125,134,145,155,181
Acre,2020-08-30,,estimate,139,146,51,80,109,128,150,174,241
Sergipe,2020-09-14,,estimate,140,141,20,111,127,135,144,153,176
Sergipe,2020-09-13,,estimate,140,141,20,111,127,135,145,153,177
Sergipe,2020-09-12,,estimate,140,142,20,111,128,135,145,154,178
Sergipe,2020-09-15,,estimate,140,142,20,112,128,135,145,154,176
Alagoas,2020-11-12,,estimate,140,142,24,105,125,134,146,157,184
Alagoas,2020-11-13,,estimate based on partial data,140,143,26,103,124,134,147,159,189
Sergipe,2020-09-16,,estimate,141,143,20,113,129,136,146,155,178
Sergipe,2020-09-11,,estimate,141,143,21,112,129,137,146,155,180
Acre,2020-10-28,,estimate,141,143,25,106,126,136,147,158,187
Alagoas,2020-11-14,,estimate based on partial data,141,144,29,101,123,134,148,161,196
Sergipe,2020-11-11,,estimate,142,143,23,108,127,137,148,158,184
Alagoas,2020-11-15,,estimate based on partial data,142,145,33,98,122,134,151,165,205
Sergipe,2020-09-17,,estimate,143,144,20,114,130,138,148,157,179
Alagoas,2020-09-28,,estimate,143,144,21,112,131,139,148,157,179
Sergipe,2020-09-10,,estimate,143,145,21,113,130,138,148,157,182
Alagoas,2020-11-16,,estimate based on partial data,143,147,38,94,120,134,153,169,217
Amapá,2020-09-09,,estimate,144,144,15,120,134,140,147,154,170
Amapá,2020-10-16,,estimate,144,145,14,123,135,140,147,153,170
Alagoas,2020-11-17,,estimate based on partial data,144,150,44,89,118,134,155,175,231
Sergipe,2020-10-21,,estimate,145,145,23,106,129,138,150,160,183
Sergipe,2020-09-09,,estimate,145,147,21,115,132,140,150,159,185
Sergipe,2020-09-18,,estimate,145,147,21,115,132,140,151,160,182
Alagoas,2020-11-18,,estimate based on partial data,145,153,52,82,117,133,157,181,249
Alagoas,2020-11-19,,estimate based on partial data,146,157,63,75,114,133,161,187,274
Sergipe,2020-09-08,,estimate,147,149,22,117,134,143,153,162,188
Alagoas,2020-11-20,,estimate based on partial data,147,162,76,69,111,131,164,196,302
Amapá,2020-10-17,,estimate,148,149,15,127,139,145,152,158,176
Amapá,2020-09-08,,estimate,148,149,16,124,138,145,152,159,176
Sergipe,2020-09-19,,estimate,148,150,21,117,135,143,154,163,186
Acre,2020-10-29,,estimate,148,150,26,112,133,142,155,166,196
Alagoas,2020-11-21,,estimate based on partial data,148,168,96,63,108,131,167,204,334
Maranhão,2020-12-07,,forecast,148,170,96,97,128,140,159,185,307
Alagoas,2020-11-22,,estimate based on partial data,149,177,127,57,105,130,170,214,378
Sergipe,2020-09-07,,estimate,150,152,22,119,137,145,156,166,193
Alagoas,2020-11-23,,estimate based on partial data,150,189,181,51,100,129,175,225,436
Sergipe,2020-09-20,,estimate,151,153,22,120,138,147,158,167,192
Maranhão,2020-12-06,,forecast,151,171,90,100,130,142,161,187,304
Alagoas,2020-11-24,,forecast,151,203,268,47,97,129,178,235,497
Alagoas,2020-11-25,,forecast,151,222,426,43,95,128,182,245,568
