region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Acre,2020-10-19,,estimate,25,33,27,5,14,21,32,45,85
Acre,2020-10-12,,estimate,26,33,26,4,14,21,32,44,83
Acre,2020-10-05,,estimate,27,35,28,5,16,22,34,46,88
Acre,2020-10-26,,estimate,30,38,30,5,17,25,37,51,95
Acre,2020-09-28,,estimate,32,41,33,6,17,26,39,54,102
Acre,2020-09-14,,estimate,34,43,35,6,19,28,42,58,112
Acre,2020-10-11,,estimate,36,46,37,7,20,29,45,60,117
Acre,2020-10-18,,estimate,37,46,36,7,21,29,45,61,116
Acre,2020-09-21,,estimate,37,47,38,6,21,31,46,63,121
Acre,2020-10-04,,estimate,40,50,40,8,22,33,49,67,129
Acre,2020-11-02,,estimate,41,51,41,7,22,33,51,69,126
Acre,2020-12-21,,forecast,42,137,984,5,18,31,58,97,316
Acre,2020-10-25,,estimate,43,53,43,8,23,34,52,71,135
Acre,2020-09-27,,estimate,47,58,47,9,25,37,58,77,147
Alagoas,2020-10-19,,estimate,53,57,27,22,37,47,60,72,109
Acre,2020-09-20,,estimate,53,67,54,11,31,43,65,89,172
Alagoas,2020-10-26,,estimate,54,58,28,21,38,47,61,73,108
Acre,2020-12-14,,forecast,54,87,148,8,27,42,70,104,250
Acre,2020-11-01,,estimate,56,68,52,11,31,45,68,90,171
Acre,2020-11-09,,estimate,57,71,57,10,31,45,69,95,176
Tocantins,2020-11-01,,estimate,58,62,29,24,42,51,64,78,118
Alagoas,2020-11-02,,estimate,59,64,29,23,42,53,66,80,118
Tocantins,2020-10-25,,estimate,59,65,31,25,42,53,67,81,123
Tocantins,2020-11-08,,estimate,61,65,30,24,43,53,68,81,119
Tocantins,2020-10-31,,estimate,62,67,31,25,44,55,70,84,124
Tocantins,2020-11-07,,estimate,63,69,33,25,45,57,72,88,128
Alagoas,2020-10-12,,estimate,63,69,33,26,46,56,71,86,131
Acre,2020-12-20,,forecast,64,151,589,7,27,47,86,144,464
Acre,2020-10-17,,estimate,66,82,65,13,37,53,80,107,204
Acre,2020-10-10,,estimate,66,83,67,12,36,53,80,110,211
Alagoas,2020-11-09,,estimate,67,72,33,27,47,59,75,91,131
Tocantins,2020-10-24,,estimate,67,72,33,27,48,59,75,90,133
Acre,2020-12-07,,estimate based on partial data,67,87,74,12,37,54,83,114,231
Tocantins,2020-10-18,,estimate,68,74,34,28,49,60,76,92,137
Tocantins,2020-11-15,,estimate,69,75,35,28,50,61,78,94,142
Amapá,2020-10-11,,estimate,70,75,33,31,51,62,77,92,136
Amapá,2020-10-04,,estimate,71,75,33,31,52,63,79,94,137
Roraima,2020-11-15,,estimate,71,79,44,24,48,62,81,100,163
Roraima,2020-11-08,,estimate,71,80,44,24,48,62,82,103,163
Roraima,2020-11-22,,estimate,72,80,44,24,48,63,82,102,167
Acre,2020-10-14,,estimate,72,89,69,14,40,59,87,117,221
Tocantins,2020-11-14,,estimate,73,79,37,30,52,65,82,98,149
Roraima,2020-11-01,,estimate,73,81,44,25,50,64,84,104,167
Roraima,2020-10-25,,estimate,74,81,45,24,49,64,84,104,165
Roraima,2020-11-29,,estimate based on partial data,74,82,45,25,50,64,86,106,167
Roraima,2020-10-18,,estimate,74,83,46,25,50,65,85,107,169
Roraima,2020-10-11,,estimate,74,84,47,26,50,64,86,108,173
Acre,2020-10-03,,estimate,74,90,68,15,40,60,90,121,222
Tocantins,2020-10-17,,estimate,75,80,37,30,53,66,84,101,146
Alagoas,2020-11-16,,estimate,75,80,38,31,53,66,84,102,151
Amapá,2020-10-18,,estimate,75,82,36,34,56,67,85,101,146
Roraima,2020-12-06,,estimate based on partial data,75,84,49,23,49,64,87,108,176
Acre,2020-10-13,,estimate,75,92,70,14,43,61,90,124,229
Acre,2020-11-16,,estimate,75,92,73,14,41,61,90,121,237
Acre,2020-10-24,,estimate,75,93,73,16,42,60,91,123,226
Roraima,2020-12-13,,forecast,76,87,56,24,48,64,88,111,188
Roraima,2020-10-04,,estimate,77,85,47,26,51,66,88,109,176
Acre,2020-10-07,,estimate,77,95,72,15,43,62,93,127,236
Acre,2020-10-20,,estimate,77,95,74,14,43,62,95,129,233
Acre,2020-10-21,,estimate,77,96,76,15,44,63,95,127,242
Roraima,2020-09-27,,estimate,78,87,49,26,53,66,90,111,173
Roraima,2020-09-20,,estimate,78,88,50,25,51,66,89,113,181
Roraima,2020-12-20,,forecast,78,93,71,22,49,66,90,116,214
Acre,2020-11-30,,estimate based on partial data,78,95,73,17,44,63,93,126,238
Acre,2020-11-08,,estimate,78,96,74,15,43,63,94,125,243
Acre,2020-10-08,,estimate,78,99,80,16,44,65,96,132,248
Acre,2020-10-15,,estimate,79,95,73,16,44,63,95,127,235
Acre,2020-10-06,,estimate,79,97,76,15,44,65,95,130,242
Amapá,2020-09-27,,estimate,80,85,36,36,59,72,88,104,151
Amapá,2020-10-12,,estimate,80,85,36,37,59,72,90,106,152
Acre,2020-12-13,,forecast,80,122,147,12,41,62,101,152,362
Alagoas,2020-10-25,,estimate,81,87,40,33,58,71,91,109,164
Amapá,2020-10-05,,estimate,82,87,38,36,60,73,91,108,156
Tocantins,2020-10-11,,estimate,82,88,40,34,59,73,91,110,163
Tocantins,2020-11-22,,estimate,82,89,42,34,59,73,92,113,166
Acre,2020-11-23,,estimate,83,102,79,17,44,66,100,136,248
Alagoas,2020-10-18,,estimate,84,91,43,35,61,75,94,113,172
Acre,2020-10-22,,estimate,85,104,79,16,47,69,104,140,255
Maranhão,2020-11-29,,estimate based on partial data,86,91,32,46,68,79,95,110,149
Maranhão,2020-12-06,,estimate based on partial data,86,91,34,45,67,79,95,110,155
Tocantins,2020-11-21,,estimate,86,92,42,35,62,77,95,114,171
Alagoas,2020-10-20,,estimate,86,92,43,37,61,76,95,115,173
