region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Santa Catarina,2020-08-31,,estimate,-0.108,-0.113,0.045,-0.195,-0.141,-0.12,-0.097,-0.08,-0.044
Santa Catarina,2020-09-01,,estimate,-0.105,-0.109,0.043,-0.186,-0.136,-0.116,-0.095,-0.079,-0.045
Santa Catarina,2020-09-02,,estimate,-0.101,-0.105,0.04,-0.178,-0.13,-0.112,-0.092,-0.077,-0.045
Santa Catarina,2020-09-03,,estimate,-0.097,-0.101,0.037,-0.169,-0.124,-0.107,-0.089,-0.075,-0.045
Santa Catarina,2020-09-04,,estimate,-0.093,-0.096,0.035,-0.157,-0.118,-0.102,-0.085,-0.072,-0.044
Santa Catarina,2020-09-05,,estimate,-0.089,-0.091,0.032,-0.147,-0.111,-0.096,-0.081,-0.069,-0.043
Santa Catarina,2020-09-06,,estimate,-0.084,-0.086,0.029,-0.138,-0.104,-0.091,-0.077,-0.065,-0.041
Santa Catarina,2020-09-07,,estimate,-0.078,-0.08,0.027,-0.127,-0.097,-0.084,-0.072,-0.061,-0.04
Sergipe,2020-10-22,,estimate,-0.075,-0.077,0.02,-0.111,-0.088,-0.08,-0.071,-0.063,-0.047
Sergipe,2020-10-21,,estimate,-0.074,-0.077,0.021,-0.114,-0.088,-0.079,-0.07,-0.062,-0.046
Sergipe,2020-10-23,,estimate,-0.074,-0.076,0.019,-0.109,-0.087,-0.079,-0.07,-0.063,-0.047
Sergipe,2020-10-20,,estimate,-0.072,-0.075,0.022,-0.114,-0.087,-0.078,-0.068,-0.06,-0.044
Santa Catarina,2020-09-08,,estimate,-0.072,-0.074,0.025,-0.116,-0.089,-0.078,-0.067,-0.057,-0.037
Sergipe,2020-10-24,,estimate,-0.072,-0.073,0.018,-0.104,-0.084,-0.077,-0.068,-0.061,-0.045
Sergipe,2020-10-19,,estimate,-0.069,-0.072,0.022,-0.111,-0.084,-0.074,-0.064,-0.057,-0.041
Sergipe,2020-10-25,,estimate,-0.069,-0.069,0.017,-0.099,-0.08,-0.073,-0.065,-0.058,-0.042
Santa Catarina,2020-09-09,,estimate,-0.067,-0.068,0.022,-0.106,-0.082,-0.072,-0.061,-0.052,-0.034
Rio Grande do Norte,2020-10-21,,estimate,-0.067,-0.068,0.028,-0.115,-0.085,-0.074,-0.06,-0.049,-0.022
Rio Grande do Norte,2020-10-22,,estimate,-0.066,-0.067,0.028,-0.114,-0.085,-0.073,-0.059,-0.049,-0.022
Rio Grande do Norte,2020-10-20,,estimate,-0.066,-0.067,0.028,-0.114,-0.084,-0.073,-0.059,-0.049,-0.022
Sergipe,2020-10-18,,estimate,-0.065,-0.067,0.022,-0.106,-0.079,-0.07,-0.06,-0.052,-0.037
Sergipe,2020-10-26,,estimate,-0.065,-0.065,0.018,-0.093,-0.076,-0.069,-0.06,-0.053,-0.036
Rio Grande do Norte,2020-10-23,,estimate,-0.065,-0.065,0.028,-0.112,-0.083,-0.072,-0.058,-0.047,-0.02
Rio Grande do Norte,2020-10-19,,estimate,-0.064,-0.066,0.028,-0.112,-0.083,-0.071,-0.058,-0.048,-0.021
Rio Grande do Norte,2020-10-18,,estimate,-0.062,-0.063,0.027,-0.109,-0.079,-0.068,-0.056,-0.045,-0.02
Rio Grande do Norte,2020-10-24,,estimate,-0.062,-0.063,0.028,-0.109,-0.08,-0.069,-0.055,-0.045,-0.018
Alagoas,2020-09-29,,estimate,-0.06,-0.063,0.023,-0.106,-0.077,-0.066,-0.055,-0.047,-0.032
Alagoas,2020-09-30,,estimate,-0.06,-0.063,0.023,-0.106,-0.076,-0.066,-0.055,-0.047,-0.031
Alagoas,2020-09-28,,estimate,-0.06,-0.063,0.023,-0.106,-0.075,-0.065,-0.055,-0.047,-0.031
Santa Catarina,2020-09-10,,estimate,-0.06,-0.062,0.02,-0.097,-0.074,-0.065,-0.056,-0.048,-0.031
