region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
São Paulo,12615 (7982 -- 22081),12615,13616,5417,7982,10485,11787,13539,15392,22081,New confirmed cases by infection date,Likely increasing,0.17
Minas Gerais,11451 (6603 -- 23466),11451,12798,5696,6603,9032,10449,12624,15036,23466,New confirmed cases by infection date,Increasing,0.04
Bahia,6327 (2700 -- 17576),6327,7764,5431,2700,4414,5508,7327,9326,17576,New confirmed cases by infection date,Increasing,0.035
Paraná,5983 (2774 -- 14453),5983,6941,4207,2774,4459,5368,6679,8129,14453,New confirmed cases by infection date,Likely increasing,0.39
Amazonas,4940 (2689 -- 10365),4940,5557,2824,2689,3786,4438,5535,6599,10365,New confirmed cases by infection date,Increasing,0.0082
Santa Catarina,4150 (2278 -- 8401),4150,4623,2115,2278,3210,3742,4597,5477,8401,New confirmed cases by infection date,Likely increasing,0.2
Rio Grande do Sul,3695 (2087 -- 7251),3695,4064,1961,2087,2914,3379,4025,4655,7251,New confirmed cases by infection date,Stable,0.48
Rio de Janeiro,3273 (1917 -- 5842),3273,3534,1370,1917,2723,3059,3534,4022,5842,New confirmed cases by infection date,Likely increasing,0.24
Goiás,2263 (919 -- 11208),2263,3736,4819,919,1420,1841,2851,4185,11208,New confirmed cases by infection date,Likely increasing,0.15
Mato Grosso,1746 (1110 -- 3119),1746,1892,696,1110,1450,1638,1875,2145,3119,New confirmed cases by infection date,Likely increasing,0.058
Espirito Santo,1655 (1115 -- 2627),1655,1726,495,1115,1409,1565,1755,1923,2627,New confirmed cases by infection date,Stable,0.55
Pernambuco,1522 (853 -- 3150),1522,1710,836,853,1196,1394,1671,1983,3150,New confirmed cases by infection date,Likely increasing,0.34
Rondônia,1459 (870 -- 3230),1459,1674,856,870,1144,1319,1607,1920,3230,New confirmed cases by infection date,Increasing,0.025
Ceará,1298 (662 -- 3558),1298,1600,1219,662,1002,1174,1451,1766,3558,New confirmed cases by infection date,Likely increasing,0.37
Pará,1233 (777 -- 2794),1233,1438,853,777,999,1131,1342,1580,2794,New confirmed cases by infection date,Likely increasing,0.14
Sergipe,1143 (341 -- 3482),1143,1450,1267,341,701,957,1355,1802,3482,New confirmed cases by infection date,Stable,0.49
Rio Grande do Norte,1071 (249 -- 5057),1071,1698,2309,249,613,868,1316,1889,5057,New confirmed cases by infection date,Stable,0.44
Mato Grosso do Sul,847 (468 -- 1579),847,920,386,468,664,772,929,1082,1579,New confirmed cases by infection date,Likely decreasing,0.64
Distrito Federal,844 (524 -- 1358),844,886,268,524,708,789,909,1021,1358,New confirmed cases by infection date,Stable,0.41
Piauí,744 (448 -- 1685),744,869,480,448,562,659,825,1012,1685,New confirmed cases by infection date,Likely increasing,0.18
Paraíba,735 (398 -- 1239),735,767,284,398,585,676,793,899,1239,New confirmed cases by infection date,Stable,0.46
