Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Acre,228 (105 -- 627),Likely increasing,1 (0.85 -- 1.4),0.014 (-0.041 -- 0.11),51 (6 -- -17)
Alagoas,508 (261 -- 1154),Likely increasing,1.1 (0.84 -- 1.5),0.022 (-0.045 -- 0.12),32 (5.9 -- -16)
Amapá,426 (245 -- 867),Likely increasing,1.1 (0.93 -- 1.4),0.024 (-0.02 -- 0.098),28 (7.1 -- -35)
Amazonas,3718 (2092 -- 8480),Increasing,1.3 (1.1 -- 1.6),0.071 (0.026 -- 0.16),9.8 (4.4 -- 27)
Bahia,2705 (1299 -- 7250),Likely increasing,1.1 (0.86 -- 1.6),0.031 (-0.041 -- 0.15),22 (4.6 -- -17)
Ceará,1213 (619 -- 2961),Stable,1 (0.86 -- 1.3),0.0035 (-0.039 -- 0.086),200 (8 -- -18)
Distrito Federal,926 (598 -- 1588),Likely increasing,1 (0.9 -- 1.2),0.012 (-0.029 -- 0.065),56 (11 -- -24)
Espirito Santo,1549 (1042 -- 2357),Likely decreasing,0.98 (0.87 -- 1.1),-0.0056 (-0.036 -- 0.033),-120 (21 -- -19)
Goiás,1569 (761 -- 8236),Likely increasing,1.1 (0.91 -- 1.9),0.03 (-0.026 -- 0.23),23 (3 -- -27)
Maranhão,137 (78 -- 452),Stable,1 (0.86 -- 1.6),-1e-04 (-0.038 -- 0.14),-6900 (4.8 -- -18)
Mato Grosso,1624 (1029 -- 2966),Likely increasing,1.1 (0.99 -- 1.4),0.033 (-0.0035 -- 0.093),21 (7.4 -- -200)
Mato Grosso do Sul,851 (455 -- 1625),Likely decreasing,0.96 (0.78 -- 1.2),-0.011 (-0.064 -- 0.051),-65 (14 -- -11)
Minas Gerais,11659 (6564 -- 24772),Increasing,1.3 (1 -- 1.7),0.068 (0.012 -- 0.17),10 (4.2 -- 56)
Paraná,7092 (3356 -- 18597),Likely increasing,1.1 (0.86 -- 1.5),0.022 (-0.04 -- 0.12),32 (5.7 -- -17)
Paraíba,733 (401 -- 1245),Stable,1 (0.85 -- 1.2),0.0013 (-0.042 -- 0.04),520 (17 -- -17)
Pará,1112 (693 -- 2489),Likely increasing,1 (0.95 -- 1.3),0.013 (-0.014 -- 0.082),55 (8.4 -- -51)
Pernambuco,1569 (889 -- 3471),Likely increasing,1 (0.89 -- 1.4),0.013 (-0.029 -- 0.094),52 (7.4 -- -24)
Piauí,827 (449 -- 1983),Likely increasing,1.1 (0.96 -- 1.5),0.037 (-0.0098 -- 0.14),18 (5.1 -- -71)
Rio Grande do Norte,657 (139 -- 2955),Stable,0.92 (0.47 -- 1.6),-0.021 (-0.16 -- 0.16),-33 (4.4 -- -4.4)
Rio Grande do Sul,3504 (1922 -- 6550),Stable,0.99 (0.85 -- 1.2),-0.0022 (-0.042 -- 0.054),-320 (13 -- -16)
Rio de Janeiro,3199 (1846 -- 5793),Likely increasing,1 (0.91 -- 1.2),0.0085 (-0.026 -- 0.046),81 (15 -- -27)
Rondônia,1082 (675 -- 2094),Likely increasing,1.1 (0.99 -- 1.4),0.034 (-0.0033 -- 0.099),21 (7 -- -210)
Roraima,89 (52 -- 167),Likely decreasing,0.95 (0.84 -- 1.2),-0.015 (-0.045 -- 0.042),-48 (16 -- -15)
Santa Catarina,3603 (1950 -- 7523),Likely increasing,1.1 (0.88 -- 1.4),0.025 (-0.033 -- 0.11),27 (6.4 -- -21)
Sergipe,1063 (290 -- 3775),Stable,0.99 (0.56 -- 1.6),-0.002 (-0.13 -- 0.16),-350 (4.3 -- -5.3)
São Paulo,12161 (7682 -- 21373),Likely increasing,1.1 (0.95 -- 1.2),0.016 (-0.014 -- 0.066),45 (10 -- -48)
Tocantins,466 (252 -- 1157),Likely increasing,1.1 (0.91 -- 1.4),0.025 (-0.025 -- 0.12),27 (6 -- -28)
