region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2020-09-22,,estimate,119,132,70,43,81,104,136,169,266
Alberta,2020-09-23,,estimate,101,112,63,35,69,88,115,142,229
Alberta,2020-09-24,,estimate,127,141,77,44,86,110,146,182,286
Alberta,2020-09-25,,estimate,129,144,80,44,86,112,149,183,293
Alberta,2020-09-26,,estimate,125,140,77,43,84,107,144,180,285
Alberta,2020-09-27,,estimate,124,140,80,43,83,107,143,177,290
Alberta,2020-09-28,,estimate,221,248,136,80,153,193,255,315,505
Alberta,2020-09-29,,estimate,170,190,106,60,115,145,194,239,391
Alberta,2020-09-30,,estimate,140,156,86,50,95,121,161,199,323
Alberta,2020-10-01,,estimate,173,194,107,62,117,150,200,248,395
Alberta,2020-10-02,,estimate,179,198,109,61,120,155,204,252,397
Alberta,2020-10-03,,estimate,174,193,104,63,119,151,197,244,399
Alberta,2020-10-04,,estimate,171,189,103,60,114,147,196,243,385
Alberta,2020-10-05,,estimate,315,351,193,111,216,274,361,446,722
Alberta,2020-10-06,,estimate,232,257,140,82,156,201,264,326,516
Alberta,2020-10-07,,estimate,194,215,115,71,133,170,222,276,428
Alberta,2020-10-08,,estimate,238,267,145,88,164,209,273,337,529
Alberta,2020-10-09,,estimate,236,264,140,85,166,209,272,340,524
Alberta,2020-10-10,,estimate,231,258,140,80,157,201,268,334,515
Alberta,2020-10-11,,estimate,234,255,135,84,157,203,263,323,508
Alberta,2020-10-12,,estimate,417,459,239,157,286,365,474,583,907
Alberta,2020-10-13,,estimate,310,346,184,112,218,274,355,445,688
Alberta,2020-10-14,,estimate,261,289,152,93,179,230,303,370,568
Alberta,2020-10-15,,estimate,315,349,184,110,217,277,358,445,698
Alberta,2020-10-16,,estimate,317,351,185,116,218,278,361,448,692
Alberta,2020-10-17,,estimate,307,341,185,110,208,266,351,437,675
Alberta,2020-10-18,,estimate,298,329,176,108,202,260,340,421,663
Alberta,2020-10-19,,estimate,554,607,326,196,374,483,625,770,1217
Alberta,2020-10-20,,estimate,404,444,233,145,278,349,460,567,887
Alberta,2020-10-21,,estimate,333,369,198,119,225,290,384,474,736
Alberta,2020-10-22,,estimate,414,458,248,146,281,357,470,581,937
Alberta,2020-10-23,,estimate,408,449,235,149,277,353,469,580,892
Alberta,2020-10-24,,estimate,387,435,232,143,264,339,448,560,875
Alberta,2020-10-25,,estimate,385,421,226,135,257,330,441,538,837
Alberta,2020-10-26,,estimate,702,779,418,245,481,614,801,997,1559
Alberta,2020-10-27,,estimate,517,573,309,184,350,446,593,733,1163
Alberta,2020-10-28,,estimate,419,470,255,149,286,365,481,599,956
Alberta,2020-10-29,,estimate,514,574,315,183,349,441,587,730,1186
Alberta,2020-10-30,,estimate,526,572,299,185,353,455,593,732,1116
Alberta,2020-10-31,,estimate,498,546,282,184,338,432,569,700,1079
Alberta,2020-11-01,,estimate,486,539,286,178,330,424,549,690,1066
Alberta,2020-11-02,,estimate,867,965,507,319,604,758,991,1234,1940
Alberta,2020-11-03,,estimate,653,720,376,241,451,569,744,914,1423
Alberta,2020-11-04,,estimate,530,592,323,190,361,460,611,754,1202
Alberta,2020-11-05,,estimate,651,724,393,228,442,566,748,927,1464
Alberta,2020-11-06,,estimate,643,714,380,234,443,565,738,911,1426
Alberta,2020-11-07,,estimate,601,678,366,220,418,529,693,868,1384
Alberta,2020-11-08,,estimate,611,670,347,224,421,541,690,849,1332
Alberta,2020-11-09,,estimate,1098,1234,678,414,764,961,1251,1561,2467
Alberta,2020-11-10,,estimate,827,907,478,306,558,720,936,1153,1808
