region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Ontario,3496 (3024 -- 5036),3496,3712,665,3024,3282,3400,3627,3981,5036,New confirmed cases by infection date,Increasing
Quebec,2606 (1475 -- 3796),2606,2622,702,1475,2169,2443,2783,3069,3796,New confirmed cases by infection date,Unsure
British Columbia,729 (354 -- 2299),729,960,821,354,535,648,835,1093,2299,New confirmed cases by infection date,Unsure
Alberta,654 (267 -- 1522),654,750,467,267,463,577,738,915,1522,New confirmed cases by infection date,Unsure
Saskatchewan,253 (131 -- 650),253,302,184,131,189,226,288,357,650,New confirmed cases by infection date,Unsure
New Brunswick,141 (15 -- 1147),141,292,413,15,58,101,197,342,1147,New confirmed cases by infection date,Unsure
Manitoba,115 (57 -- 227),115,126,58,57,88,105,127,151,227,New confirmed cases by infection date,Unsure
Nova Scotia,4 (0 -- 42),4,11,24,0,2,3,6,11,42,New confirmed cases by infection date,Unsure
New Brunswick,3.4 (1.4 -- 7.7),3.4,3.8,1.9,1.4,2.4,3,3.9,4.9,7.7,Effective reproduction no.,Unsure
Yukon,1.3 (0.39 -- 5.6),1.3,2,1.7,0.39,0.86,1.1,1.7,2.6,5.6,Effective reproduction no.,Unsure
British Columbia,1.1 (0.86 -- 1.6),1.1,1.1,0.25,0.86,0.97,1,1.1,1.2,1.6,Effective reproduction no.,Unsure
Nova Scotia,1.1 (0.53 -- 2.5),1.1,1.3,0.66,0.53,0.85,1,1.3,1.6,2.5,Effective reproduction no.,Unsure
Ontario,1.1 (1 -- 1.2),1.1,1.1,0.061,1,1.1,1.1,1.1,1.1,1.2,Effective reproduction no.,Increasing
Saskatchewan,1.1 (0.89 -- 1.6),1.1,1.2,0.24,0.89,1,1.1,1.2,1.3,1.6,Effective reproduction no.,Unsure
Yukon,1 (0 -- 88),1,23,183,0,0,0,2,7,88,New confirmed cases by infection date,Unsure
Quebec,0.97 (0.73 -- 1.1),0.97,0.96,0.13,0.73,0.9,0.95,1,1,1.1,Effective reproduction no.,Unsure
Alberta,0.87 (0.65 -- 1.2),0.87,0.89,0.17,0.65,0.78,0.84,0.9,0.96,1.2,Effective reproduction no.,Unsure
Manitoba,0.87 (0.65 -- 1.1),0.87,0.88,0.14,0.65,0.79,0.84,0.9,0.95,1.1,Effective reproduction no.,Unsure
Newfoundland and Labrador,0.61 (0.18 -- 1.1),0.61,0.63,0.31,0.18,0.43,0.55,0.68,0.79,1.1,Effective reproduction no.,Unsure
Prince Edward Island,0.58 (0.052 -- 1.3),0.58,0.62,0.45,0.052,0.31,0.48,0.69,0.86,1.3,Effective reproduction no.,Unsure
Nunavut,0.09 (0.00015 -- 1.5),0.09,0.35,0.82,0.00015,0.014,0.048,0.15,0.33,1.5,Effective reproduction no.,Unsure
Newfoundland and Labrador,0 (0 -- 1),0,0,0,0,0,0,0,0,1,New confirmed cases by infection date,Unsure
Nunavut,0 (0 -- 0),0,0,1,0,0,0,0,0,0,New confirmed cases by infection date,Unsure
Prince Edward Island,0 (0 -- 0),0,0,1,0,0,0,0,0,0,New confirmed cases by infection date,Unsure
