region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Amazonas,2020-10-12,,estimate,9,9,3,5,7,8,10,11,15
Amazonas,2020-10-13,,estimate,9,10,3,5,7,8,10,11,15
Amazonas,2020-10-14,,estimate,9,10,3,5,7,8,10,11,15
Amazonas,2020-10-15,,estimate,9,10,3,6,7,8,10,11,15
Amazonas,2020-10-16,,estimate,9,10,3,6,8,8,10,11,15
Amazonas,2020-10-17,,estimate,9,10,3,6,8,8,10,11,14
Amazonas,2020-10-18,,estimate,9,10,3,6,8,8,10,11,15
Amazonas,2020-10-19,,estimate,9,10,3,6,8,9,10,11,15
Amazonas,2020-10-20,,estimate,9,10,3,6,8,9,10,11,15
Amazonas,2020-10-21,,estimate,9,10,3,6,8,9,10,11,15
Amazonas,2020-10-22,,estimate,9,10,3,6,8,9,10,11,15
Amazonas,2020-10-23,,estimate,9,10,3,6,8,9,10,11,15
Amazonas,2020-10-24,,estimate,9,10,3,6,8,9,10,11,15
Amazonas,2020-10-25,,estimate,9,10,3,6,8,9,10,11,15
Amazonas,2020-10-26,,estimate,9,10,3,6,8,9,10,11,16
Amazonas,2020-10-27,,estimate,9,10,3,6,8,9,10,11,16
Amazonas,2020-10-28,,estimate,9,10,3,6,8,9,10,11,16
Amazonas,2020-10-29,,estimate,9,10,3,6,8,9,10,11,16
Amazonas,2020-10-30,,estimate,9,10,3,6,8,9,10,11,16
Amazonas,2020-10-31,,estimate,9,10,3,6,8,8,10,11,16
Amazonas,2020-11-01,,estimate,9,10,3,6,8,8,10,11,16
Amazonas,2020-11-02,,estimate,9,10,3,6,8,8,10,11,16
Amazonas,2020-11-03,,estimate,9,10,3,6,8,8,10,11,16
Amazonas,2020-11-04,,estimate,9,10,3,6,7,8,10,11,16
Amazonas,2020-11-05,,estimate,9,10,3,6,7,8,10,11,16
Amazonas,2020-11-06,,estimate,9,9,3,6,7,8,9,11,15
Amazonas,2020-11-07,,estimate,9,9,3,6,7,8,9,11,15
Amazonas,2020-11-08,,estimate,8,9,3,6,7,8,9,10,15
Amazonas,2020-11-09,,estimate,8,9,3,6,7,8,9,10,15
Amazonas,2020-11-10,,estimate,8,9,3,6,7,8,9,10,14
Amazonas,2020-11-11,,estimate,8,9,3,5,7,7,8,10,14
Amazonas,2020-11-12,,estimate,8,8,3,5,6,7,8,9,13
Amazonas,2020-11-13,,estimate,7,8,3,5,6,7,8,9,12
Amazonas,2020-11-14,,estimate,7,8,2,5,6,7,8,9,12
