region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Amazonas,2020-09-03,estimate,-0.024,-0.029,0.035,-0.03,-0.016,-0.039,0.001,-0.089,0.023
Amazonas,2020-09-04,estimate,-0.025,-0.03,0.036,-0.029,-0.014,-0.041,0.001,-0.092,0.024
Amazonas,2020-09-05,estimate,-0.026,-0.031,0.037,-0.025,-0.009,-0.037,0.007,-0.093,0.025
Amazonas,2020-09-06,estimate,-0.026,-0.031,0.038,-0.026,-0.01,-0.041,0.004,-0.093,0.025
Amazonas,2020-09-07,estimate,-0.026,-0.032,0.039,-0.024,-0.008,-0.044,0.003,-0.096,0.026
Amazonas,2020-09-08,estimate,-0.026,-0.032,0.04,-0.019,-0.002,-0.043,0.005,-0.097,0.027
Amazonas,2020-09-09,estimate,-0.025,-0.032,0.04,-0.018,-0.001,-0.041,0.007,-0.099,0.027
Amazonas,2020-09-10,estimate,-0.025,-0.031,0.041,-0.016,0.002,-0.038,0.011,-0.1,0.028
Amazonas,2020-09-11,estimate,-0.024,-0.031,0.042,-0.016,0.002,-0.037,0.013,-0.099,0.031
Amazonas,2020-09-12,estimate,-0.023,-0.03,0.043,-0.014,0.004,-0.038,0.012,-0.1,0.033
Amazonas,2020-09-13,estimate,-0.021,-0.029,0.044,-0.016,0.002,-0.034,0.017,-0.1,0.036
Amazonas,2020-09-14,estimate,-0.02,-0.027,0.044,-0.014,0.003,-0.037,0.014,-0.102,0.036
Amazonas,2020-09-15,estimate,-0.018,-0.025,0.045,-0.01,0.008,-0.03,0.021,-0.102,0.036
Amazonas,2020-09-16,estimate,-0.015,-0.023,0.045,-0.006,0.012,-0.028,0.022,-0.102,0.037
Amazonas,2020-09-17,estimate,-0.012,-0.02,0.045,-0.005,0.012,-0.025,0.025,-0.097,0.045
Amazonas,2020-09-18,estimate,-0.009,-0.017,0.045,-0.002,0.015,-0.028,0.021,-0.091,0.051
Amazonas,2020-09-19,estimate,-0.005,-0.013,0.044,0,0.016,-0.024,0.025,-0.095,0.049
Amazonas,2020-09-20,estimate,-0.001,-0.009,0.044,0.004,0.02,-0.018,0.029,-0.082,0.061
Amazonas,2020-09-21,estimate,0.003,-0.004,0.043,0.011,0.026,-0.017,0.028,-0.082,0.06
Amazonas,2020-09-22,estimate,0.008,0.001,0.043,0.011,0.026,-0.009,0.035,-0.074,0.064
Amazonas,2020-09-23,estimate,0.013,0.007,0.042,0.016,0.031,-0.003,0.04,-0.061,0.076
Amazonas,2020-09-24,estimate,0.018,0.014,0.041,0.014,0.028,0.004,0.048,-0.052,0.083
Amazonas,2020-09-25,estimate,0.023,0.022,0.041,0.014,0.028,0.004,0.047,-0.051,0.084
Amazonas,2020-09-26,estimate,0.03,0.029,0.041,0.021,0.036,0.01,0.053,-0.04,0.095
Amazonas,2020-09-27,estimate,0.036,0.038,0.041,0.028,0.043,0.014,0.056,-0.021,0.116
Amazonas,2020-09-28,estimate,0.043,0.047,0.041,0.03,0.045,0.016,0.061,-0.009,0.127
Amazonas,2020-09-29,estimate,0.05,0.056,0.043,0.033,0.05,0.023,0.072,-0.009,0.126
Amazonas,2020-09-30,estimate,0.058,0.065,0.044,0.034,0.052,0.025,0.077,0,0.136
Amazonas,2020-10-01,estimate,0.066,0.074,0.047,0.034,0.053,0.024,0.08,0.006,0.149
Amazonas,2020-10-02,estimate,0.075,0.082,0.049,0.046,0.068,0.03,0.09,0.008,0.158
Amazonas,2020-10-03,estimate,0.083,0.09,0.053,0.049,0.073,0.033,0.098,0.013,0.173
Amazonas,2020-10-04,estimate,0.089,0.098,0.056,0.064,0.09,0.036,0.105,0.015,0.187
Amazonas,2020-10-05,estimate,0.094,0.104,0.06,0.065,0.093,0.04,0.114,0.017,0.199
Amazonas,2020-10-06,estimate,0.099,0.109,0.063,0.06,0.089,0.045,0.122,0.017,0.209
Amazonas,2020-10-07,estimate,0.101,0.113,0.066,0.063,0.093,0.043,0.123,0.016,0.216
Amazonas,2020-10-08,estimate,0.102,0.115,0.068,0.064,0.094,0.041,0.121,0.01,0.214
Amazonas,2020-10-09,estimate,0.102,0.115,0.069,0.059,0.088,0.04,0.119,0.018,0.223
Amazonas,2020-10-10,estimate,0.1,0.114,0.068,0.059,0.088,0.04,0.116,0.012,0.216
Amazonas,2020-10-11,estimate,0.098,0.111,0.067,0.048,0.074,0.044,0.118,0.012,0.211
Amazonas,2020-10-12,estimate,0.094,0.107,0.064,0.048,0.073,0.042,0.112,0.012,0.204
Amazonas,2020-10-13,estimate,0.088,0.101,0.061,0.043,0.067,0.043,0.11,0.015,0.196
Amazonas,2020-10-14,estimate,0.083,0.094,0.056,0.044,0.067,0.037,0.1,0.01,0.179
Amazonas,2020-10-15,estimate,0.077,0.086,0.052,0.044,0.065,0.036,0.094,0.01,0.168
Amazonas,2020-10-16,estimate,0.071,0.078,0.047,0.045,0.065,0.037,0.09,0.009,0.156
Amazonas,2020-10-17,estimate,0.064,0.069,0.044,0.046,0.065,0.028,0.078,-0.001,0.137
Amazonas,2020-10-18,estimate,0.057,0.06,0.041,0.049,0.067,0.03,0.078,-0.005,0.125
Amazonas,2020-10-19,estimate,0.05,0.052,0.04,0.042,0.058,0.024,0.07,-0.012,0.115
Amazonas,2020-10-20,estimate,0.043,0.044,0.039,0.029,0.046,0.019,0.066,-0.019,0.109
Amazonas,2020-10-21,estimate,0.037,0.036,0.04,0.028,0.045,0.016,0.064,-0.031,0.098
Amazonas,2020-10-22,estimate,0.032,0.029,0.041,0.024,0.041,0.013,0.063,-0.041,0.093
Amazonas,2020-10-23,estimate,0.027,0.023,0.043,0.023,0.041,0.005,0.057,-0.048,0.092
