region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Antioquia,2096,1182,3460,1595,2415,1755,2044,New confirmed cases by infection date,Unsure
Bogota,1104,487,1857,758,1289,928,1113,New confirmed cases by infection date,Unsure
Valle del cauca,639,250,1080,400,711,537,648,New confirmed cases by infection date,Unsure
Huila,437,170,762,280,500,333,412,New confirmed cases by infection date,Unsure
Santander,327,141,542,224,370,252,306,New confirmed cases by infection date,Unsure
Quindio,288,180,409,240,319,266,294,New confirmed cases by infection date,Increasing
Boyaca,277,113,459,195,321,241,287,New confirmed cases by infection date,Unsure
Risaralda,259,120,473,175,295,204,246,New confirmed cases by infection date,Unsure
Caldas,249,168,359,210,273,232,253,New confirmed cases by infection date,Likely increasing
Cundinamarca,237,105,399,164,270,197,235,New confirmed cases by infection date,Unsure
Tolima,211,100,368,149,238,173,204,New confirmed cases by infection date,Unsure
Meta,182,66,338,114,207,147,181,New confirmed cases by infection date,Unsure
Cesar,130,31,249,71,151,87,115,New confirmed cases by infection date,Unsure
Casanare,126,67,201,95,138,111,126,New confirmed cases by infection date,Likely increasing
Cauca,121,50,202,87,141,105,125,New confirmed cases by infection date,Unsure
Atlantico,102,24,186,60,121,79,101,New confirmed cases by infection date,Unsure
Bolivar,100,54,178,73,111,89,101,New confirmed cases by infection date,Unsure
Norte de santander,100,14,222,38,114,56,83,New confirmed cases by infection date,Unsure
Narino,99,46,169,70,110,79,94,New confirmed cases by infection date,Unsure
Arauca,87,10,260,26,97,38,62,New confirmed cases by infection date,Unsure
Caqueta,77,4,215,19,86,42,67,New confirmed cases by infection date,Unsure
Sucre,73,15,169,33,85,44,63,New confirmed cases by infection date,Unsure
Cordoba,58,7,140,19,64,40,56,New confirmed cases by infection date,Unsure
Magdalena,47,17,84,32,54,41,49,New confirmed cases by infection date,Unsure
La guajira,45,14,83,28,52,37,46,New confirmed cases by infection date,Unsure
Guaviare,21,2,54,5,23,10,17,New confirmed cases by infection date,Unsure
Putumayo,19,5,43,9,21,13,17,New confirmed cases by infection date,Unsure
Archipielago de san andres providencia y santa catalina,18,0,69,1,18,4,9,New confirmed cases by infection date,Unsure
Vichada,16,0,76,1,17,3,8,New confirmed cases by infection date,Unsure
Guainia,15,0,82,0,15,3,8,New confirmed cases by infection date,Unsure
Vaupes,12,0,47,1,12,2,5,New confirmed cases by infection date,Unsure
Amazonas,8,0,68,0,9,0,3,New confirmed cases by infection date,Likely increasing
Choco,3,0,6,2,4,2,3,New confirmed cases by infection date,Likely decreasing
Amazonas,1.7,0.5,3.6,0.9,2,1.2,1.5,Effective reproduction no.,Likely increasing
Antioquia,1.1,0.9,1.2,1,1.1,1,1.1,Effective reproduction no.,Unsure
Arauca,1.1,0.7,1.7,0.9,1.3,1,1.2,Effective reproduction no.,Unsure
Boyaca,1.1,0.9,1.3,1,1.1,1.1,1.1,Effective reproduction no.,Unsure
Caldas,1.1,1,1.2,1.1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing
Casanare,1.1,1,1.3,1.1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing
Huila,1.1,0.8,1.3,1,1.2,1,1.1,Effective reproduction no.,Unsure
Quindio,1.1,1,1.2,1.1,1.1,1.1,1.1,Effective reproduction no.,Increasing
Risaralda,1.1,0.9,1.3,1,1.1,1,1.1,Effective reproduction no.,Unsure
Sucre,1.1,0.7,1.5,0.9,1.2,1,1.1,Effective reproduction no.,Unsure
Atlantico,1,0.6,1.2,0.8,1.1,0.9,1,Effective reproduction no.,Unsure
Bolivar,1,0.8,1.1,0.9,1,0.9,1,Effective reproduction no.,Unsure
Cauca,1,0.8,1.2,0.9,1,1,1,Effective reproduction no.,Unsure
Cundinamarca,1,0.8,1.2,0.9,1,0.9,1,Effective reproduction no.,Unsure
Guainia,1,0.4,1.8,0.7,1.1,0.8,0.9,Effective reproduction no.,Unsure
Guaviare,1,0.5,1.3,0.8,1.1,1,1.1,Effective reproduction no.,Unsure
Meta,1,0.7,1.2,0.9,1,0.9,1,Effective reproduction no.,Unsure
Narino,1,0.8,1.2,0.9,1,1,1,Effective reproduction no.,Unsure
Putumayo,1,0.7,1.3,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Santander,1,0.8,1.2,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Tolima,1,0.8,1.3,1,1.1,1,1,Effective reproduction no.,Unsure
Valle del cauca,1,0.8,1.3,0.9,1.1,0.9,1,Effective reproduction no.,Unsure
Vaupes,1,0.4,1.5,0.8,1.1,0.8,1,Effective reproduction no.,Unsure
Vichada,1,0.4,1.6,0.7,1.1,0.8,1,Effective reproduction no.,Unsure
Archipielago de san andres providencia y santa catalina,0.9,0.4,1.4,0.7,1,0.8,0.9,Effective reproduction no.,Unsure
Bogota,0.9,0.7,1.1,0.9,1,0.9,0.9,Effective reproduction no.,Unsure
Caqueta,0.9,0.5,1.4,0.8,1.1,0.9,1,Effective reproduction no.,Unsure
Cesar,0.9,0.6,1.1,0.8,1,0.9,0.9,Effective reproduction no.,Unsure
Choco,0.9,0.7,1.2,0.8,0.9,0.9,0.9,Effective reproduction no.,Likely decreasing
Cordoba,0.9,0.5,1.3,0.8,1.1,0.9,1,Effective reproduction no.,Unsure
La guajira,0.9,0.7,1.1,0.8,1,0.9,1,Effective reproduction no.,Unsure
Magdalena,0.9,0.7,1.1,0.9,1,0.9,0.9,Effective reproduction no.,Unsure
Norte de santander,0.9,0.4,1.2,0.7,1,0.8,0.9,Effective reproduction no.,Unsure
