Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Amazonas,4 (0 -- 36),Unsure,1 (0.6 -- 1.8),-0.00079 (-0.12 -- 0.21),-880 (3.3 -- -5.9)
Antioquia,1715 (650 -- 2831),Unsure,0.99 (0.64 -- 1.2),-0.0041 (-0.11 -- 0.045),-170 (15 -- -6.6)
Arauca,9 (4 -- 21),Likely decreasing,0.92 (0.76 -- 1.1),-0.022 (-0.068 -- 0.037),-31 (19 -- -10)
Atlantico,874 (421 -- 1352),Likely increasing,1.1 (0.82 -- 1.2),0.021 (-0.051 -- 0.056),34 (12 -- -14)
Bogota,5486 (3870 -- 7808),Likely increasing,1.1 (0.99 -- 1.2),0.029 (-0.0015 -- 0.062),24 (11 -- -450)
Bolivar,333 (97 -- 775),Unsure,0.88 (0.53 -- 1.1),-0.034 (-0.14 -- 0.033),-20 (21 -- -5)
Boyaca,265 (183 -- 435),Unsure,1 (0.91 -- 1.2),0.0074 (-0.027 -- 0.052),94 (13 -- -26)
Caldas,240 (125 -- 444),Unsure,1 (0.78 -- 1.2),-0.00085 (-0.064 -- 0.061),-820 (11 -- -11)
Caqueta,53 (31 -- 100),Unsure,0.99 (0.85 -- 1.2),-0.0033 (-0.043 -- 0.042),-210 (17 -- -16)
Casanare,54 (28 -- 106),Unsure,0.98 (0.8 -- 1.2),-0.005 (-0.055 -- 0.056),-140 (12 -- -13)
Cauca,148 (85 -- 283),Unsure,1.1 (0.93 -- 1.3),0.024 (-0.02 -- 0.081),29 (8.6 -- -35)
Cesar,125 (59 -- 249),Unsure,0.99 (0.79 -- 1.2),-0.0014 (-0.06 -- 0.049),-490 (14 -- -11)
Choco,19 (8 -- 60),Likely increasing,1.1 (0.83 -- 1.4),0.015 (-0.049 -- 0.11),48 (6.4 -- -14)
Cordoba,44 (23 -- 133),Unsure,1 (0.83 -- 1.5),-0.0014 (-0.047 -- 0.12),-510 (5.7 -- -15)
Cundinamarca,693 (525 -- 998),Likely increasing,1.1 (0.98 -- 1.2),0.017 (-0.0044 -- 0.046),40 (15 -- -160)
Guainia,0 (0 -- 3),Likely decreasing,0.91 (0.69 -- 1.4),-0.024 (-0.091 -- 0.1),-29 (6.8 -- -7.6)
Guaviare,4 (1 -- 20),Unsure,0.99 (0.79 -- 1.6),-0.002 (-0.06 -- 0.14),-340 (4.8 -- -12)
Huila,234 (109 -- 471),Unsure,1.1 (0.77 -- 1.4),0.019 (-0.065 -- 0.092),37 (7.5 -- -11)
La guajira,70 (29 -- 110),Unsure,0.99 (0.76 -- 1.1),-0.0021 (-0.069 -- 0.025),-340 (28 -- -10)
Magdalena,171 (76 -- 269),Unsure,1 (0.78 -- 1.1),0.0033 (-0.062 -- 0.034),210 (20 -- -11)
Meta,233 (151 -- 422),Unsure,1 (0.91 -- 1.2),0.01 (-0.025 -- 0.057),69 (12 -- -28)
Narino,393 (224 -- 653),Unsure,1.1 (0.93 -- 1.3),0.035 (-0.019 -- 0.084),20 (8.3 -- -37)
Norte de santander,427 (225 -- 564),Likely increasing,1 (0.84 -- 1.1),0.0052 (-0.046 -- 0.022),130 (32 -- -15)
Putumayo,35 (15 -- 59),Unsure,1 (0.76 -- 1.1),0.0069 (-0.068 -- 0.038),100 (18 -- -10)
Quindio,215 (117 -- 362),Unsure,0.99 (0.78 -- 1.2),-0.0019 (-0.062 -- 0.041),-370 (17 -- -11)
Risaralda,576 (276 -- 994),Unsure,1.1 (0.82 -- 1.2),0.019 (-0.051 -- 0.064),36 (11 -- -14)
San andres y providencia,3 (0 -- 39),Unsure,0.88 (0.4 -- 2.3),-0.035 (-0.18 -- 0.32),-20 (2.2 -- -3.8)
Santander,539 (365 -- 737),Unsure,1 (0.89 -- 1.1),0.0067 (-0.031 -- 0.03),100 (23 -- -23)
Sucre,27 (13 -- 52),Unsure,0.97 (0.77 -- 1.1),-0.0071 (-0.065 -- 0.036),-98 (19 -- -11)
Tolima,635 (243 -- 1133),Unsure,1 (0.69 -- 1.2),0.0099 (-0.088 -- 0.052),70 (13 -- -7.8)
Valle del cauca,1145 (938 -- 1590),Likely increasing,1 (0.98 -- 1.1),0.0078 (-0.0057 -- 0.035),89 (20 -- -120)
Vaupes,2 (0 -- 33),Unsure,1.3 (0.68 -- 2.6),0.069 (-0.093 -- 0.38),10 (1.8 -- -7.5)
Vichada,1 (0 -- 8),Unsure,0.67 (0.16 -- 1.2),-0.095 (-0.28 -- 0.058),-7.3 (12 -- -2.4)
