region,date,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Baden-Württemberg,2020-09-06,estimate,204,205,14,200,207,193,212,181,227
Baden-Württemberg,2020-09-07,estimate,203,204,14,197,204,193,212,179,225
Baden-Württemberg,2020-09-08,estimate,202,202,14,193,200,193,211,179,225
Baden-Württemberg,2020-09-09,estimate,201,202,14,192,199,191,210,178,224
Baden-Württemberg,2020-09-10,estimate,200,201,14,194,201,190,209,178,224
Baden-Württemberg,2020-09-11,estimate,200,200,14,196,203,191,209,177,223
Baden-Württemberg,2020-09-12,estimate,200,200,14,193,200,191,209,176,222
Baden-Württemberg,2020-09-13,estimate,200,201,14,194,201,191,209,176,222
Baden-Württemberg,2020-09-14,estimate,201,202,14,196,203,191,209,178,225
Baden-Württemberg,2020-09-15,estimate,203,203,14,198,205,192,211,179,226
Baden-Württemberg,2020-09-16,estimate,205,205,14,200,207,195,214,180,228
Baden-Württemberg,2020-09-17,estimate,208,208,15,204,211,198,217,182,231
Baden-Württemberg,2020-09-18,estimate,212,212,15,209,216,201,221,188,238
Baden-Württemberg,2020-09-19,estimate,216,217,16,213,221,206,226,189,241
Baden-Württemberg,2020-09-20,estimate,222,222,16,218,226,210,231,197,250
Baden-Württemberg,2020-09-21,estimate,228,228,16,225,233,217,238,201,255
Baden-Württemberg,2020-09-22,estimate,235,236,17,231,239,223,246,208,263
Baden-Württemberg,2020-09-23,estimate,244,244,17,241,250,229,252,215,272
Baden-Württemberg,2020-09-24,estimate,254,254,18,249,258,240,264,224,283
Baden-Württemberg,2020-09-25,estimate,264,265,19,263,272,250,275,235,296
Baden-Württemberg,2020-09-26,estimate,277,277,19,273,282,262,287,246,309
Baden-Württemberg,2020-09-27,estimate,290,291,20,289,299,276,302,258,322
Baden-Württemberg,2020-09-28,estimate,305,306,21,301,310,291,318,272,339
Baden-Württemberg,2020-09-29,estimate,322,322,22,315,325,305,334,288,359
Baden-Württemberg,2020-09-30,estimate,340,341,23,337,348,325,355,304,379
Baden-Württemberg,2020-10-01,estimate,360,361,24,356,367,342,374,320,399
Baden-Württemberg,2020-10-02,estimate,382,383,25,378,391,367,400,340,423
Baden-Württemberg,2020-10-03,estimate,406,406,27,404,417,388,424,363,450
Baden-Württemberg,2020-10-04,estimate,432,432,29,430,444,411,450,382,476
Baden-Württemberg,2020-10-05,estimate,459,460,30,457,472,439,480,407,506
Baden-Württemberg,2020-10-06,estimate,488,490,32,473,489,467,510,437,543
Baden-Württemberg,2020-10-07,estimate,520,521,34,512,529,493,539,466,579
Baden-Württemberg,2020-10-08,estimate,554,555,36,547,566,523,573,497,615
Baden-Württemberg,2020-10-09,estimate,590,591,38,578,597,563,615,529,654
Baden-Württemberg,2020-10-10,estimate,628,629,40,610,630,594,649,562,694
Baden-Württemberg,2020-10-11,estimate,668,669,43,651,673,637,695,599,739
Baden-Württemberg,2020-10-12,estimate,709,710,45,698,721,673,734,639,787
Baden-Württemberg,2020-10-13,estimate,751,752,48,744,767,710,775,673,829
Baden-Württemberg,2020-10-14,estimate,794,796,51,786,811,764,832,714,880
Baden-Württemberg,2020-10-15,estimate,839,839,54,834,860,789,861,746,923
Baden-Württemberg,2020-10-16,estimate,881,883,57,869,896,837,912,789,977
Baden-Württemberg,2020-10-17,estimate,924,926,60,913,941,881,959,827,1023
Baden-Württemberg,2020-10-18,estimate,966,968,63,952,982,925,1007,865,1069
Baden-Württemberg,2020-10-19,estimate,1005,1007,66,994,1025,962,1049,902,1116
Baden-Württemberg,2020-10-20,estimate,1041,1043,69,1030,1062,989,1079,935,1158
Baden-Württemberg,2020-10-21,estimate,1074,1076,71,1047,1082,1012,1106,958,1191
Baden-Württemberg,2020-10-22,estimate,1101,1104,74,1074,1111,1049,1146,988,1229
Baden-Württemberg,2020-10-23,estimate,1125,1128,76,1080,1118,1076,1177,1005,1254
Baden-Württemberg,2020-10-24,estimate,1142,1146,79,1101,1141,1083,1187,1021,1277
Baden-Württemberg,2020-10-25,estimate,1153,1158,81,1122,1161,1097,1203,1028,1291
Baden-Württemberg,2020-10-26,estimate,1159,1163,82,1137,1176,1099,1207,1033,1303
Baden-Württemberg,2020-10-27,estimate,1158,1163,83,1138,1177,1099,1207,1025,1296
Baden-Württemberg,2020-10-28,estimate,1152,1156,83,1125,1164,1088,1197,1019,1288
Baden-Württemberg,2020-10-29,estimate,1139,1144,82,1100,1140,1089,1198,1007,1272
Baden-Württemberg,2020-10-30,estimate,1122,1127,81,1084,1124,1063,1170,999,1259
Baden-Württemberg,2020-10-31,estimate,1101,1105,79,1059,1098,1036,1142,976,1232
Baden-Württemberg,2020-11-01,estimate,1075,1079,78,1056,1095,1015,1118,956,1210
Baden-Württemberg,2020-11-02,estimate,1045,1049,78,998,1036,986,1087,922,1177
Baden-Württemberg,2020-11-03,estimate,1013,1018,79,979,1017,950,1052,892,1151
Baden-Württemberg,2020-11-04,estimate,980,985,83,952,990,910,1018,853,1122
Baden-Württemberg,2020-11-05,estimate based on partial data,946,951,88,929,969,880,993,811,1100
Baden-Württemberg,2020-11-06,estimate based on partial data,912,918,97,893,936,839,962,754,1070
Baden-Württemberg,2020-11-07,estimate based on partial data,878,884,108,839,887,795,932,705,1055
Baden-Württemberg,2020-11-08,estimate based on partial data,847,852,120,825,879,745,900,665,1057
Baden-Württemberg,2020-11-09,estimate based on partial data,816,822,134,786,846,695,869,597,1037
Baden-Württemberg,2020-11-10,estimate based on partial data,787,793,150,738,808,696,892,522,1011
Baden-Württemberg,2020-11-11,estimate based on partial data,756,766,167,737,817,618,833,490,1026
Baden-Württemberg,2020-11-12,estimate based on partial data,728,742,185,707,795,581,818,430,1017
Baden-Württemberg,2020-11-13,estimate based on partial data,702,720,204,601,698,534,790,390,1035
Baden-Württemberg,2020-11-14,estimate based on partial data,677,701,226,590,693,505,783,363,1065
Baden-Württemberg,2020-11-15,estimate based on partial data,654,684,249,567,678,474,770,315,1075
Baden-Württemberg,2020-11-16,forecast,631,668,269,526,643,436,746,252,1054
Baden-Württemberg,2020-11-17,forecast,607,653,289,464,585,369,690,210,1049
Baden-Württemberg,2020-11-18,forecast,585,639,310,438,563,339,669,186,1060
Baden-Württemberg,2020-11-19,forecast,563,626,331,339,466,303,640,165,1067
Baden-Württemberg,2020-11-20,forecast,543,615,354,314,442,280,622,144,1076
Baden-Württemberg,2020-11-21,forecast,525,604,378,288,417,255,602,129,1088
Baden-Württemberg,2020-11-22,forecast,507,595,403,272,401,242,592,93,1076
Baden-Württemberg,2020-11-23,forecast,489,587,430,254,382,208,562,90,1091
Baden-Württemberg,2020-11-24,forecast,471,579,459,237,365,193,547,72,1091
Baden-Württemberg,2020-11-25,forecast,455,573,490,197,322,180,534,57,1092
Baden-Württemberg,2020-11-26,forecast,438,568,525,183,306,160,513,45,1093
Baden-Württemberg,2020-11-27,forecast,422,563,562,169,291,146,497,34,1098
Baden-Württemberg,2020-11-28,forecast,407,560,604,138,256,135,484,15,1092
Baden-Württemberg,2020-11-29,forecast,392,557,650,142,257,118,463,12,1099
Bayern,2020-09-03,estimate,284,285,21,270,281,265,293,249,318
Bayern,2020-09-04,estimate,285,286,22,282,293,268,298,251,322
Bayern,2020-09-05,estimate,286,287,22,277,289,270,300,253,324
Bayern,2020-09-06,estimate,285,286,22,277,288,268,298,249,321
Bayern,2020-09-07,estimate,284,285,22,274,285,267,297,249,321
Bayern,2020-09-08,estimate,282,283,22,271,282,264,294,249,321
Bayern,2020-09-09,estimate,279,280,22,277,287,264,292,246,316
Bayern,2020-09-10,estimate,275,276,21,270,280,259,287,241,309
Bayern,2020-09-11,estimate,270,272,21,260,270,257,284,238,304
Bayern,2020-09-12,estimate,266,267,20,262,272,250,276,233,298
Bayern,2020-09-13,estimate,261,262,20,257,266,244,270,231,294
Bayern,2020-09-14,estimate,256,257,19,252,261,241,266,226,289
