region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Baden-Württemberg,2020-10-01,,estimate,289,291,39,230,264,280,299,316,358
Baden-Württemberg,2020-10-02,,estimate,303,306,40,243,278,293,314,333,372
Baden-Württemberg,2020-10-03,,estimate,255,257,34,205,234,246,264,278,315
Baden-Württemberg,2020-10-04,,estimate,181,182,25,143,164,175,187,198,225
Baden-Württemberg,2020-10-05,,estimate,237,238,31,189,216,228,245,259,292
Baden-Württemberg,2020-10-06,,estimate,348,350,44,281,320,337,360,378,425
Baden-Württemberg,2020-10-07,,estimate,420,421,51,340,385,407,433,453,510
Baden-Württemberg,2020-10-08,,estimate,420,421,51,340,386,406,434,455,507
Baden-Württemberg,2020-10-09,,estimate,440,443,54,358,405,427,454,477,536
Baden-Württemberg,2020-10-10,,estimate,370,372,47,301,339,357,382,402,455
Baden-Württemberg,2020-10-11,,estimate,265,266,33,213,244,256,273,287,324
Baden-Württemberg,2020-10-12,,estimate,349,350,43,282,321,338,359,378,423
Baden-Württemberg,2020-10-13,,estimate,510,513,62,417,470,496,525,553,618
Baden-Württemberg,2020-10-14,,estimate,615,618,73,506,568,597,635,667,744
Baden-Württemberg,2020-10-15,,estimate,620,622,72,506,573,602,638,669,745
Baden-Württemberg,2020-10-16,,estimate,647,652,77,533,599,628,668,700,783
Baden-Württemberg,2020-10-17,,estimate,544,547,65,444,502,529,561,589,658
Baden-Württemberg,2020-10-18,,estimate,389,391,47,317,358,377,402,421,471
Baden-Württemberg,2020-10-19,,estimate,504,507,60,413,466,490,520,546,607
Baden-Württemberg,2020-10-20,,estimate,741,745,88,614,684,719,763,801,897
Baden-Württemberg,2020-10-21,,estimate,891,895,104,733,822,864,918,962,1068
Baden-Württemberg,2020-10-22,,estimate,886,891,103,731,819,861,911,957,1063
Baden-Württemberg,2020-10-23,,estimate,922,925,106,759,851,896,950,993,1099
Baden-Württemberg,2020-10-24,,estimate,767,770,89,627,709,745,788,830,923
Baden-Württemberg,2020-10-25,,estimate,539,542,65,440,497,523,556,585,653
Baden-Württemberg,2020-10-26,,estimate,694,699,80,574,643,676,715,751,838
Baden-Württemberg,2020-10-27,,estimate,1003,1005,115,826,927,973,1029,1077,1202
Baden-Württemberg,2020-10-28,,estimate,1180,1184,132,975,1093,1145,1215,1270,1406
Baden-Württemberg,2020-10-29,,estimate,1153,1158,131,953,1069,1125,1184,1237,1383
Baden-Württemberg,2020-10-30,,estimate,1174,1181,134,975,1088,1140,1208,1268,1412
Baden-Württemberg,2020-10-31,,estimate,959,962,112,785,884,930,988,1035,1153
Baden-Württemberg,2020-11-01,,estimate,659,664,76,543,611,642,681,713,793
Baden-Württemberg,2020-11-02,,estimate,834,837,95,690,769,809,858,897,999
Baden-Württemberg,2020-11-03,,estimate,1175,1181,134,969,1088,1141,1210,1269,1405
Baden-Württemberg,2020-11-04,,estimate,1352,1361,155,1122,1255,1314,1389,1460,1633
Baden-Württemberg,2020-11-05,,estimate,1292,1299,148,1067,1196,1257,1332,1392,1551
Baden-Württemberg,2020-11-06,,estimate,1288,1295,148,1064,1191,1251,1325,1391,1550
Baden-Württemberg,2020-11-07,,estimate,1035,1036,117,854,954,1003,1062,1113,1236
Baden-Württemberg,2020-11-08,,estimate,697,701,81,576,645,677,717,754,840
Baden-Württemberg,2020-11-09,,estimate,861,866,100,710,798,839,886,930,1033
Baden-Württemberg,2020-11-10,,estimate,1197,1202,135,992,1112,1162,1230,1286,1431
Baden-Württemberg,2020-11-11,,estimate,1358,1361,152,1121,1257,1319,1397,1459,1613
Baden-Württemberg,2020-11-12,,estimate,1278,1282,146,1048,1184,1242,1313,1373,1531
Baden-Württemberg,2020-11-13,,estimate,1256,1262,143,1038,1165,1222,1293,1353,1509
Baden-Württemberg,2020-11-14,,estimate,994,997,112,823,920,964,1021,1069,1186
Baden-Württemberg,2020-11-15,,estimate,666,669,80,542,615,646,687,720,806
Baden-Württemberg,2020-11-16,,estimate,821,823,95,671,760,797,844,883,983
Baden-Württemberg,2020-11-17,,estimate,1133,1138,129,938,1048,1103,1162,1221,1360
Baden-Württemberg,2020-11-18,,estimate,1283,1288,144,1059,1192,1248,1320,1381,1532
Baden-Württemberg,2020-11-19,,estimate,1211,1216,138,998,1121,1177,1246,1308,1448
Baden-Württemberg,2020-11-20,,estimate,1196,1205,138,990,1111,1163,1232,1294,1444
Baden-Württemberg,2020-11-21,,estimate,954,956,110,780,880,925,980,1027,1142
Baden-Württemberg,2020-11-22,,estimate,644,647,76,528,594,626,662,697,776
Baden-Württemberg,2020-11-23,,estimate,803,807,92,665,744,781,826,867,959
Baden-Württemberg,2020-11-24,,estimate,1122,1126,128,923,1037,1092,1155,1209,1344
Baden-Württemberg,2020-11-25,,estimate,1289,1293,146,1061,1194,1253,1324,1385,1543
Baden-Württemberg,2020-11-26,,estimate,1233,1239,142,1021,1139,1197,1269,1330,1472
Baden-Württemberg,2020-11-27,,estimate,1242,1249,144,1030,1152,1207,1278,1339,1498
Baden-Württemberg,2020-11-28,,estimate,1003,1008,115,827,928,973,1033,1085,1205
Baden-Württemberg,2020-11-29,,estimate,692,695,81,568,639,672,713,747,831
