region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
Bayern,1046 (638 -- 1674),1046,1085,317,638,872,975,1118,1257,1674,New confirmed cases by infection date,Unsure
Baden-Württemberg,744 (508 -- 1030),744,752,159,508,643,707,780,847,1030,New confirmed cases by infection date,Unsure
Nordrhein-Westfalen,716 (471 -- 1000),716,722,163,471,612,674,753,824,1000,New confirmed cases by infection date,Unsure
Thüringen,345 (183 -- 628),345,370,151,183,269,315,379,442,628,New confirmed cases by infection date,Unsure
Niedersachsen,325 (212 -- 463),325,330,77,212,280,308,342,374,463,New confirmed cases by infection date,Unsure
Rheinland-Pfalz,312 (205 -- 453),312,319,77,205,266,295,331,364,453,New confirmed cases by infection date,Unsure
Hessen,224 (124 -- 348),224,229,69,124,180,205,241,274,348,New confirmed cases by infection date,Unsure
Sachsen-Anhalt,208 (96 -- 424),208,230,116,96,155,185,232,277,424,New confirmed cases by infection date,Unsure
Sachsen,176 (67 -- 367),176,191,94,67,124,155,199,243,367,New confirmed cases by infection date,Unsure
Mecklenburg-Vorpommern,163 (111 -- 267),163,172,49,111,138,153,174,195,267,New confirmed cases by infection date,Likely increasing
Schleswig-Holstein,131 (69 -- 253),131,143,61,69,102,120,146,171,253,New confirmed cases by infection date,Unsure
Berlin,91 (48 -- 162),91,96,35,48,71,83,101,116,162,New confirmed cases by infection date,Unsure
Saarland,87 (48 -- 170),87,95,40,48,69,80,96,111,170,New confirmed cases by infection date,Unsure
Brandenburg,62 (17 -- 166),62,74,48,17,39,52,74,97,166,New confirmed cases by infection date,Unsure
Hamburg,26 (16 -- 42),26,27,9,16,21,24,28,32,42,New confirmed cases by infection date,Unsure
Bremen,25 (15 -- 40),25,26,8,15,21,23,27,30,40,New confirmed cases by infection date,Unsure
Mecklenburg-Vorpommern,1.2 (1 -- 1.5),1.2,1.2,0.1,1,1.1,1.2,1.2,1.3,1.5,Effective reproduction no.,Likely increasing
Saarland,1.1 (0.8 -- 1.4),1.1,1.1,0.2,0.8,1,1,1.1,1.2,1.4,Effective reproduction no.,Unsure
Sachsen-Anhalt,1 (0.7 -- 1.3),1,1,0.2,0.7,0.8,0.9,1,1.1,1.3,Effective reproduction no.,Unsure
Schleswig-Holstein,1 (0.7 -- 1.3),1,1,0.2,0.7,0.9,0.9,1,1.1,1.3,Effective reproduction no.,Unsure
Thüringen,1 (0.7 -- 1.3),1,1,0.2,0.7,0.9,0.9,1,1.1,1.3,Effective reproduction no.,Unsure
Baden-Württemberg,0.9 (0.8 -- 1),0.9,0.9,0.1,0.8,0.8,0.9,0.9,1,1,Effective reproduction no.,Unsure
Bayern,0.9 (0.7 -- 1.1),0.9,0.9,0.1,0.7,0.8,0.9,0.9,1,1.1,Effective reproduction no.,Unsure
Bremen,0.9 (0.7 -- 1),0.9,0.9,0.1,0.7,0.8,0.8,0.9,0.9,1,Effective reproduction no.,Unsure
Niedersachsen,0.9 (0.7 -- 1),0.9,0.9,0.1,0.7,0.8,0.8,0.9,0.9,1,Effective reproduction no.,Unsure
Rheinland-Pfalz,0.9 (0.8 -- 1.1),0.9,0.9,0.1,0.8,0.9,0.9,1,1,1.1,Effective reproduction no.,Unsure
Hamburg,0.8 (0.7 -- 1),0.8,0.9,0.1,0.7,0.8,0.8,0.9,0.9,1,Effective reproduction no.,Unsure
Hessen,0.8 (0.6 -- 0.9),0.8,0.8,0.1,0.6,0.7,0.7,0.8,0.8,0.9,Effective reproduction no.,Unsure
Nordrhein-Westfalen,0.8 (0.7 -- 1),0.8,0.8,0.1,0.7,0.8,0.8,0.8,0.9,1,Effective reproduction no.,Unsure
Sachsen,0.7 (0.4 -- 0.9),0.7,0.7,0.2,0.4,0.6,0.6,0.7,0.8,0.9,Effective reproduction no.,Unsure
Berlin,0.6 (0.5 -- 0.8),0.6,0.6,0.1,0.5,0.6,0.6,0.7,0.7,0.8,Effective reproduction no.,Unsure
Brandenburg,0.6 (0.3 -- 0.9),0.6,0.6,0.2,0.3,0.5,0.5,0.6,0.7,0.9,Effective reproduction no.,Unsure
