region,time
Andaman and Nicobar,4.5
Andhra Pradesh,12.6
Arunachal Pradesh,7.1
Assam,8.4
Bihar,6.8
Chandigarh,12.7
Chhattisgarh,7.7
Dadra and Nagar Haveli,3.9
Goa,11.1
Gujarat,26.5
Haryana,15.7
Himachal Pradesh,8.3
Jammu and Kashmir,22
Jharkhand,7.5
Karnataka,18.4
Kerala,6.9
Ladakh,6.2
Madhya Pradesh,10.5
Maharashtra,27.9
Manipur,7.7
Meghalaya,6
Mizoram,10.9
Nagaland,7.7
NCT of Delhi,12.4
Odisha,18.9
Puducherry,4.1
Punjab,10.8
Rajasthan,27.2
Sikkim,5.2
Tamil Nadu,29.3
Telangana,15.4
Tripura,6.3
Uttar Pradesh,10.1
Uttarakhand,6.1
West Bengal,12.3
