region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Andaman and Nicobar,2020-09-19,,estimate,-0.011,-0.013,0.018,-0.045,-0.022,-0.015,-0.0079,-0.0026,0.011
Andaman and Nicobar,2020-09-20,,estimate,-0.011,-0.013,0.017,-0.043,-0.021,-0.014,-0.0078,-0.0027,0.01
Andaman and Nicobar,2020-09-21,,estimate,-0.011,-0.013,0.015,-0.04,-0.02,-0.014,-0.0077,-0.0028,0.0092
Andaman and Nicobar,2020-09-22,,estimate,-0.01,-0.012,0.014,-0.038,-0.02,-0.013,-0.0074,-0.0027,0.0084
Andaman and Nicobar,2020-09-23,,estimate,-0.01,-0.011,0.013,-0.036,-0.019,-0.013,-0.0072,-0.0027,0.0075
Andaman and Nicobar,2020-09-24,,estimate,-0.0096,-0.011,0.012,-0.033,-0.017,-0.012,-0.007,-0.0027,0.0071
Andaman and Nicobar,2020-09-25,,estimate,-0.0092,-0.01,0.011,-0.031,-0.016,-0.012,-0.0067,-0.0027,0.0066
Andaman and Nicobar,2020-09-26,,estimate,-0.0087,-0.0094,0.011,-0.028,-0.015,-0.011,-0.0063,-0.0026,0.0063
Andaman and Nicobar,2020-09-27,,estimate,-0.0082,-0.0086,0.0097,-0.026,-0.014,-0.01,-0.0062,-0.0024,0.0061
Andaman and Nicobar,2020-09-28,,estimate,-0.0076,-0.0079,0.009,-0.024,-0.013,-0.0095,-0.0056,-0.0022,0.0062
Andaman and Nicobar,2020-09-29,,estimate,-0.0069,-0.0071,0.0083,-0.021,-0.012,-0.0087,-0.0051,-0.0018,0.0062
Andaman and Nicobar,2020-09-30,,estimate,-0.0063,-0.0063,0.0078,-0.019,-0.011,-0.0081,-0.0045,-0.0014,0.0063
Andaman and Nicobar,2020-10-01,,estimate,-0.0056,-0.0055,0.0074,-0.018,-0.01,-0.0073,-0.0038,-0.00092,0.0066
Andaman and Nicobar,2020-10-02,,estimate,-0.0049,-0.0048,0.0072,-0.016,-0.0094,-0.0066,-0.0032,-0.00038,0.0072
