region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Valle d'Aosta,2020-08-24,,estimate,1,1,0,1,1,1,1,1,1
Valle d'Aosta,2020-08-25,,estimate,1,1,0,1,1,1,1,1,1
Valle d'Aosta,2020-08-26,,estimate,1,1,0,1,1,1,1,1,1
Valle d'Aosta,2020-08-27,,estimate,1,1,0,1,1,1,1,1,2
Valle d'Aosta,2020-08-28,,estimate,1,1,0,1,1,1,1,1,2
Valle d'Aosta,2020-08-29,,estimate,1,1,0,1,1,1,1,2,2
Valle d'Aosta,2020-08-30,,estimate,1,2,0,1,1,1,2,2,2
Valle d'Aosta,2020-08-31,,estimate,2,2,0,1,1,1,2,2,2
Valle d'Aosta,2020-09-04,,estimate,2,2,0,1,1,2,2,2,3
Valle d'Aosta,2020-09-05,,estimate,2,2,0,1,1,2,2,2,3
Valle d'Aosta,2020-09-06,,estimate,2,2,0,1,2,2,2,2,3
Valle d'Aosta,2020-09-07,,estimate,2,2,0,1,2,2,2,2,3
Valle d'Aosta,2020-09-08,,estimate,2,2,0,1,2,2,2,2,3
Valle d'Aosta,2020-09-09,,estimate,2,2,0,1,2,2,2,2,3
Valle d'Aosta,2020-09-10,,estimate,2,2,0,1,2,2,2,2,3
Valle d'Aosta,2020-09-11,,estimate,2,2,0,2,2,2,2,2,3
Valle d'Aosta,2020-09-12,,estimate,2,2,0,2,2,2,2,3,3
Valle d'Aosta,2020-09-13,,estimate,2,2,0,2,2,2,2,3,3
Valle d'Aosta,2020-09-14,,estimate,2,2,0,2,2,2,3,3,3
Valle d'Aosta,2020-09-01,,estimate,2,2,1,1,1,2,2,2,3
Valle d'Aosta,2020-09-02,,estimate,2,2,1,1,1,2,2,2,3
Valle d'Aosta,2020-09-03,,estimate,2,2,1,1,1,2,2,3,4
Valle d'Aosta,2020-09-15,,estimate,3,3,1,2,2,2,3,3,4
Valle d'Aosta,2020-09-16,,estimate,3,3,1,2,2,3,3,3,4
Valle d'Aosta,2020-09-17,,estimate,3,3,1,2,3,3,3,3,4
