region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Abruzzo,2020-09-22,,estimate,18,19,7,9,14,17,20,23,31
Abruzzo,2020-09-23,,estimate,20,20,7,10,15,18,21,25,34
Abruzzo,2020-09-24,,estimate,21,22,8,11,16,19,23,27,36
Abruzzo,2020-09-25,,estimate,24,25,9,13,18,22,26,30,40
Abruzzo,2020-09-26,,estimate,23,24,8,12,18,21,25,29,39
Abruzzo,2020-09-27,,estimate,25,26,9,13,20,23,27,31,41
Abruzzo,2020-09-28,,estimate,22,23,8,12,18,21,24,28,38
Abruzzo,2020-09-29,,estimate,26,27,9,14,20,24,28,33,43
Abruzzo,2020-09-30,,estimate,29,30,10,16,23,27,31,36,47
Abruzzo,2020-10-01,,estimate,33,34,11,18,26,31,36,41,54
Abruzzo,2020-10-02,,estimate,39,41,13,22,31,36,42,48,63
Abruzzo,2020-10-03,,estimate,40,41,13,22,32,37,43,49,64
Abruzzo,2020-10-04,,estimate,45,46,14,26,36,41,48,55,72
Abruzzo,2020-10-05,,estimate,42,43,13,24,34,39,45,52,67
Abruzzo,2020-10-06,,estimate,50,52,16,29,40,46,54,61,80
Abruzzo,2020-10-07,,estimate,57,59,18,33,46,53,61,69,90
Abruzzo,2020-10-08,,estimate,68,70,21,40,55,63,73,82,108
Abruzzo,2020-10-09,,estimate,82,84,25,49,67,76,88,99,128
Abruzzo,2020-10-10,,estimate,85,88,26,51,70,79,92,103,133
Abruzzo,2020-10-11,,estimate,97,100,28,59,80,90,104,117,150
Abruzzo,2020-10-12,,estimate,91,94,27,55,75,85,97,111,143
Abruzzo,2020-10-13,,estimate,110,113,32,67,90,102,119,132,170
Abruzzo,2020-10-14,,estimate,126,129,37,75,103,117,136,152,195
Abruzzo,2020-10-15,,estimate,147,151,43,90,121,137,157,175,228
Abruzzo,2020-10-16,,estimate,177,181,50,105,145,164,190,211,270
Abruzzo,2020-10-17,,estimate,180,185,51,110,150,168,193,216,275
Abruzzo,2020-10-18,,estimate,201,206,58,122,165,186,215,241,310
Abruzzo,2020-10-19,,estimate,183,189,53,110,151,171,196,219,285
Abruzzo,2020-10-20,,estimate,217,223,63,134,179,202,232,260,334
Abruzzo,2020-10-21,,estimate,242,249,70,148,199,225,259,291,373
Abruzzo,2020-10-22,,estimate,274,282,77,171,226,256,293,327,417
Abruzzo,2020-10-23,,estimate,321,330,89,199,268,299,344,383,487
Abruzzo,2020-10-24,,estimate,320,327,89,196,265,299,341,379,487
Abruzzo,2020-10-25,,estimate,344,355,98,213,285,321,368,415,530
Abruzzo,2020-10-26,,estimate,309,316,84,191,256,290,329,367,464
Abruzzo,2020-10-27,,estimate,352,361,97,220,291,328,378,418,533
Abruzzo,2020-10-28,,estimate,378,390,104,238,317,355,405,454,573
Abruzzo,2020-10-29,,estimate,420,433,118,262,351,393,450,501,644
Abruzzo,2020-10-30,,estimate,478,492,136,296,395,446,512,571,728
