region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Abruzzo,2020-09-28,,estimate,0.135,0.133,0.032,0.083,0.111,0.127,0.142,0.155,0.186
Abruzzo,2020-09-29,,estimate,0.134,0.134,0.027,0.097,0.113,0.127,0.141,0.153,0.18
Abruzzo,2020-09-30,,estimate,0.134,0.135,0.023,0.101,0.115,0.127,0.14,0.15,0.175
Abruzzo,2020-10-01,,estimate,0.133,0.135,0.02,0.104,0.123,0.127,0.138,0.148,0.169
Abruzzo,2020-10-02,,estimate,0.134,0.135,0.017,0.106,0.124,0.131,0.137,0.145,0.164
Abruzzo,2020-10-03,,estimate,0.135,0.134,0.016,0.108,0.123,0.13,0.139,0.144,0.16
Abruzzo,2020-10-04,,estimate,0.132,0.133,0.015,0.108,0.122,0.128,0.137,0.145,0.155
Abruzzo,2020-10-05,,estimate,0.13,0.131,0.015,0.108,0.12,0.126,0.134,0.142,0.155
Abruzzo,2020-10-06,,estimate,0.127,0.129,0.015,0.107,0.118,0.123,0.13,0.138,0.156
Abruzzo,2020-10-07,,estimate,0.124,0.126,0.015,0.105,0.116,0.12,0.127,0.134,0.156
Abruzzo,2020-10-08,,estimate,0.12,0.123,0.015,0.103,0.113,0.117,0.123,0.13,0.153
Abruzzo,2020-10-09,,estimate,0.116,0.119,0.014,0.1,0.109,0.113,0.119,0.125,0.15
Abruzzo,2020-10-10,,estimate,0.112,0.115,0.014,0.097,0.106,0.11,0.115,0.121,0.145
Abruzzo,2020-10-11,,estimate,0.108,0.111,0.013,0.093,0.102,0.106,0.111,0.117,0.138
Abruzzo,2020-10-12,,estimate,0.104,0.106,0.012,0.089,0.098,0.102,0.107,0.112,0.131
Abruzzo,2020-10-13,,estimate,0.1,0.101,0.011,0.085,0.094,0.098,0.103,0.108,0.123
Abruzzo,2020-10-14,,estimate,0.096,0.097,0.01,0.081,0.09,0.094,0.098,0.103,0.114
Abruzzo,2020-10-15,,estimate,0.092,0.092,0.01,0.076,0.086,0.09,0.094,0.098,0.107
Abruzzo,2020-10-16,,estimate,0.087,0.087,0.009,0.072,0.081,0.085,0.09,0.093,0.1
Abruzzo,2020-10-17,,estimate,0.083,0.082,0.009,0.067,0.077,0.081,0.085,0.088,0.096
Abruzzo,2020-10-18,,estimate,0.078,0.078,0.009,0.063,0.073,0.076,0.08,0.083,0.091
Abruzzo,2020-10-19,,estimate,0.073,0.073,0.009,0.058,0.068,0.071,0.075,0.079,0.087
Abruzzo,2020-10-20,,estimate,0.069,0.069,0.009,0.055,0.062,0.067,0.071,0.075,0.083
Abruzzo,2020-10-21,,estimate,0.065,0.065,0.009,0.05,0.058,0.063,0.068,0.071,0.079
Abruzzo,2020-10-22,,estimate,0.062,0.061,0.01,0.045,0.054,0.059,0.064,0.067,0.075
