region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Lombardia,6772,1895,13265,3631,7768,4803,6249,New confirmed cases by infection date,Increasing
Piemonte,2099,1036,3569,1433,2378,1660,1999,New confirmed cases by infection date,Increasing
Campania,1935,390,4574,777,2113,1067,1547,New confirmed cases by infection date,Likely increasing
Toscana,1639,568,2925,1027,1931,1283,1604,New confirmed cases by infection date,Increasing
Lazio,1517,449,2919,804,1678,1088,1403,New confirmed cases by infection date,Likely increasing
Emilia-Romagna,1095,342,2056,671,1304,833,1055,New confirmed cases by infection date,Likely increasing
Veneto,1076,481,1762,766,1248,872,1044,New confirmed cases by infection date,Likely increasing
Liguria,978,289,2295,433,1064,499,732,New confirmed cases by infection date,Increasing
Sicilia,674,334,1207,430,737,491,598,New confirmed cases by infection date,Increasing
Umbria,596,167,1247,326,700,366,502,New confirmed cases by infection date,Increasing
Puglia,486,182,889,283,549,354,450,New confirmed cases by infection date,Likely increasing
Abruzzo,411,74,1111,147,454,176,282,New confirmed cases by infection date,Increasing
Friuli Venezia Giulia,259,95,489,162,298,199,246,New confirmed cases by infection date,Likely increasing
Sardegna,249,10,651,101,299,123,195,New confirmed cases by infection date,Unsure
Marche,194,76,379,119,221,139,176,New confirmed cases by infection date,Increasing
Valle d'Aosta,152,17,503,41,167,64,107,New confirmed cases by infection date,Increasing
Calabria,134,42,321,64,151,83,115,New confirmed cases by infection date,Increasing
Trentino-Alto Adige,99,21,215,50,115,61,85,New confirmed cases by infection date,Likely increasing
Basilicata,43,5,91,16,51,26,39,New confirmed cases by infection date,Unsure
Molise,42,8,154,15,45,21,30,New confirmed cases by infection date,Increasing
Lombardia,1.6,1.1,2.2,1.4,1.9,1.5,1.6,Effective reproduction no.,Increasing
Valle d'Aosta,1.6,1,2.3,1.3,1.8,1.4,1.6,Effective reproduction no.,Increasing
Abruzzo,1.5,1,2.1,1.2,1.6,1.3,1.5,Effective reproduction no.,Increasing
Piemonte,1.5,1.2,1.8,1.4,1.6,1.4,1.5,Effective reproduction no.,Increasing
Umbria,1.5,1,2,1.3,1.6,1.4,1.5,Effective reproduction no.,Increasing
Calabria,1.4,1,1.9,1.2,1.5,1.2,1.3,Effective reproduction no.,Increasing
Emilia-Romagna,1.4,0.9,1.9,1.2,1.5,1.3,1.4,Effective reproduction no.,Likely increasing
Lazio,1.4,1,2,1.2,1.5,1.3,1.4,Effective reproduction no.,Likely increasing
Liguria,1.4,1.1,2,1.2,1.5,1.2,1.3,Effective reproduction no.,Increasing
Toscana,1.4,1,1.8,1.2,1.5,1.3,1.4,Effective reproduction no.,Increasing
Campania,1.3,0.8,2,1.1,1.5,1.2,1.4,Effective reproduction no.,Likely increasing
Friuli Venezia Giulia,1.3,1,1.6,1.2,1.4,1.2,1.3,Effective reproduction no.,Likely increasing
Marche,1.3,1,1.6,1.1,1.3,1.2,1.3,Effective reproduction no.,Increasing
Molise,1.3,1,1.9,1.1,1.3,1.1,1.2,Effective reproduction no.,Increasing
Puglia,1.3,0.9,1.6,1.1,1.4,1.2,1.3,Effective reproduction no.,Likely increasing
Sicilia,1.3,1.1,1.6,1.1,1.3,1.1,1.2,Effective reproduction no.,Increasing
Sardegna,1.2,0.7,1.8,0.9,1.4,1.1,1.2,Effective reproduction no.,Unsure
Veneto,1.2,1,1.5,1.1,1.3,1.2,1.3,Effective reproduction no.,Likely increasing
Basilicata,1.1,0.8,1.4,1,1.2,1.2,1.2,Effective reproduction no.,Unsure
Trentino-Alto Adige,1.1,0.9,1.2,1,1.1,1.1,1.1,Effective reproduction no.,Likely increasing
