region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,bottom,top,lower,upper,central_lower,central_upper
Nenets Autonomous Okrug,2020-09-07,,estimate,0,0,0,0,0,0,0,0,1,,,,,,
Nenets Autonomous Okrug,2020-09-14,,estimate,0,0,0,0,0,0,0,0,1,,,,,,
Nenets Autonomous Okrug,2020-09-21,,estimate,0,0,0,0,0,0,0,0,1,,,,,,
Chukotka Autonomous Okrug,2020-07-28,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Chukotka Autonomous Okrug,2020-08-04,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Chukotka Autonomous Okrug,2020-08-11,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Chukotka Autonomous Okrug,2020-08-18,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Chukotka Autonomous Okrug,2020-08-25,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Chukotka Autonomous Okrug,2020-09-01,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Chukotka Autonomous Okrug,2020-09-08,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Nenets Autonomous Okrug,2020-08-31,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Nenets Autonomous Okrug,2020-09-28,,estimate,0,0,1,0,0,0,0,0,1,,,,,,
Nenets Autonomous Okrug,2020-08-10,,estimate,0,0,1,0,0,0,0,0,2,,,,,,
Nenets Autonomous Okrug,2020-08-17,,estimate,0,0,1,0,0,0,0,0,2,,,,,,
Nenets Autonomous Okrug,2020-08-24,,estimate,0,0,1,0,0,0,0,0,2,,,,,,
Nenets Autonomous Okrug,2020-09-15,,estimate,0,0,1,0,0,0,0,0,2,,,,,,
Nenets Autonomous Okrug,2020-09-22,,estimate,0,0,1,0,0,0,0,0,2,,,,,,
Chukotka Autonomous Okrug,2020-07-27,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-07-29,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-08-03,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-08-05,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-08-10,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-08-12,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-08-17,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-08-19,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
Chukotka Autonomous Okrug,2020-08-24,,estimate,0,0,1,0,0,0,0,1,2,,,,,,
