Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Adygea Republic,57 (19 -- 110),Unsure,1.1 (0.8 -- 1.5),0.04 (-0.07 -- 0.14),18.5 (5 -- -9.8)
Altai Krai,151 (90 -- 218),Likely increasing,1.1 (1 -- 1.3),0.03 (-0.01 -- 0.08),20.9 (8.7 -- -62.5)
Altai Republic,120 (38 -- 207),Unsure,1.1 (0.8 -- 1.4),0.03 (-0.04 -- 0.12),21.7 (5.7 -- -17)
Amur Oblast,53 (20 -- 97),Unsure,1.1 (0.8 -- 1.5),0.03 (-0.04 -- 0.13),21.5 (5.2 -- -15.8)
Arkhangelsk Oblast,268 (159 -- 407),Increasing,1.2 (1 -- 1.4),0.05 (0.01 -- 0.1),14.2 (7 -- 98.2)
Astrakhan Oblast,55 (41 -- 69),Unsure,1 (0.9 -- 1.1),0.01 (-0.01 -- 0.02),115.5 (30.3 -- -48)
Bashkortostan Republic,52 (33 -- 72),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.05),40.2 (13.7 -- -53.7)
Belgorod Oblast,81 (52 -- 113),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.05),43.1 (13.4 -- -36.6)
Bryansk Oblast,95 (58 -- 143),Increasing,1.1 (1 -- 1.3),0.04 (0 -- 0.08),19.2 (8.2 -- -946.9)
Buryatia Republic,115 (74 -- 170),Likely increasing,1.1 (1 -- 1.3),0.03 (-0.01 -- 0.08),24.1 (8.9 -- -83.4)
Chechen Republic,6 (2 -- 11),Unsure,1 (0.8 -- 1.3),0 (-0.07 -- 0.08),213.1 (8.9 -- -10.4)
Chelyabinsk Oblast,98 (56 -- 143),Likely increasing,1.1 (0.9 -- 1.2),0.02 (-0.02 -- 0.07),36.2 (9.6 -- -30.3)
Chukotka Autonomous Okrug,1 (0 -- 4),Unsure,1.1 (0.8 -- 1.4),0.02 (-0.05 -- 0.1),39.8 (6.9 -- -13.8)
Chuvashia Republic,26 (19 -- 36),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.03),-249.2 (25 -- -33.9)
Dagestan Republic,91 (65 -- 117),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),171 (29.5 -- -31.2)
Ingushetia Republic,63 (40 -- 85),Unsure,1.1 (0.9 -- 1.2),0.01 (-0.02 -- 0.04),48.8 (16.9 -- -30.6)
Irkutsk Oblast,144 (87 -- 216),Likely increasing,1.1 (1 -- 1.3),0.03 (-0.01 -- 0.08),20.4 (8.2 -- -72.6)
Ivanovo Oblast,92 (40 -- 156),Likely increasing,1.1 (0.9 -- 1.4),0.04 (-0.03 -- 0.12),18.8 (5.9 -- -20.1)
Jewish Autonomous Okrug,39 (21 -- 63),Increasing,1.2 (1 -- 1.4),0.05 (0 -- 0.11),13 (6.5 -- 270)
Kabardino-Balkarian Republic,71 (38 -- 110),Likely increasing,1.1 (0.9 -- 1.3),0.03 (-0.03 -- 0.08),27.4 (8.6 -- -26.8)
Kaliningrad Oblast,94 (61 -- 141),Increasing,1.2 (1 -- 1.3),0.04 (0.01 -- 0.08),16.6 (8.3 -- 83.1)
Kalmykia Republic,88 (42 -- 147),Unsure,1 (0.8 -- 1.2),0.01 (-0.04 -- 0.07),121.5 (10.4 -- -16)
Kaluga Oblast,110 (69 -- 162),Increasing,1.2 (1 -- 1.3),0.04 (0 -- 0.09),15.5 (7.9 -- 658)
Kamchatka Krai,34 (12 -- 61),Unsure,1.1 (0.8 -- 1.4),0.02 (-0.06 -- 0.11),41 (6.4 -- -12.5)
Karachay-Cherkess Republic,97 (31 -- 189),Unsure,1.1 (0.7 -- 1.5),0.02 (-0.08 -- 0.13),38.1 (5.3 -- -9)
Karelia Republic,83 (36 -- 158),Likely increasing,1.2 (0.8 -- 1.5),0.05 (-0.04 -- 0.13),15 (5.2 -- -18.4)
Kemerovo Oblast,213 (125 -- 305),Unsure,1.1 (0.9 -- 1.2),0.02 (-0.03 -- 0.07),31.9 (10.2 -- -25.9)
Khabarovsk Krai,91 (55 -- 140),Unsure,1.1 (0.9 -- 1.2),0.01 (-0.03 -- 0.06),46.7 (10.8 -- -23.9)
Khakassia Republic,63 (36 -- 94),Likely increasing,1.1 (0.9 -- 1.3),0.03 (-0.02 -- 0.08),27.2 (8.9 -- -38.9)
Khanty-Mansi Autonomous Okrug,195 (99 -- 313),Unsure,1.1 (0.8 -- 1.3),0.01 (-0.05 -- 0.08),46.3 (9.1 -- -13.6)
Kirov Oblast,75 (60 -- 90),Likely increasing,1 (1 -- 1.1),0 (-0.01 -- 0.02),141.3 (38.7 -- -82.2)
Komi Republic,147 (56 -- 262),Unsure,1.1 (0.8 -- 1.5),0.04 (-0.04 -- 0.13),17.8 (5.2 -- -17.5)
Kostroma Oblast,61 (28 -- 104),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.04 -- 0.09),31.7 (7.8 -- -19.6)
Krasnodar Krai,106 (61 -- 155),Unsure,1 (0.8 -- 1.2),0.01 (-0.04 -- 0.05),115 (12.8 -- -15.8)
Krasnoyarsk Krai,154 (97 -- 240),Likely increasing,1.1 (0.9 -- 1.3),0.02 (-0.02 -- 0.08),31.1 (8.8 -- -43.5)
Kurgan Oblast,72 (37 -- 130),Increasing,1.2 (1 -- 1.5),0.05 (-0.01 -- 0.13),13.9 (5.4 -- -108.7)
Kursk Oblast,102 (59 -- 163),Increasing,1.2 (1 -- 1.4),0.05 (0.01 -- 0.11),13 (6.1 -- 130.2)
Leningrad Oblast,122 (65 -- 180),Likely increasing,1.1 (1 -- 1.3),0.04 (-0.01 -- 0.09),18.1 (7.6 -- -53)
Lipetsk Oblast,55 (28 -- 87),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.03 -- 0.08),34.9 (8.2 -- -24.5)
Magadan Oblast,48 (25 -- 70),Unsure,1.1 (0.9 -- 1.2),0.01 (-0.04 -- 0.06),49.2 (12.5 -- -16.7)
Mari El Republic,30 (17 -- 46),Unsure,1.1 (0.9 -- 1.2),0.02 (-0.03 -- 0.06),45.5 (11.3 -- -21.3)
Mordovia Republic,45 (32 -- 61),Likely increasing,1 (1 -- 1.1),0.01 (-0.01 -- 0.04),60.6 (17.1 -- -94.2)
Moscow,7173 (3403 -- 11375),Likely increasing,1.3 (0.9 -- 1.6),0.07 (-0.01 -- 0.15),9.6 (4.7 -- -59.7)
Moscow Oblast,460 (301 -- 675),Increasing,1.2 (1 -- 1.3),0.05 (0.01 -- 0.09),15.2 (7.4 -- 54.4)
Murmansk Oblast,181 (80 -- 327),Likely increasing,1.2 (0.9 -- 1.6),0.06 (-0.02 -- 0.16),12.1 (4.3 -- -36.8)
Nenets Autonomous Okrug,1 (0 -- 2),Unsure,1 (0.6 -- 1.4),0 (-0.1 -- 0.1),-9345.5 (6.8 -- -6.9)
Nizhny Novgorod Oblast,249 (151 -- 390),Likely increasing,1.1 (0.9 -- 1.3),0.02 (-0.02 -- 0.08),30.8 (8.8 -- -30.7)
North Ossetia - Alania Republic,38 (9 -- 78),Unsure,1 (0.6 -- 1.4),0.01 (-0.11 -- 0.12),110.1 (5.7 -- -6.4)
Novgorod Oblast,83 (54 -- 120),Increasing,1.1 (1 -- 1.3),0.04 (0 -- 0.08),17.5 (8.8 -- 141.2)
Novosibirsk Oblast,95 (42 -- 149),Unsure,1.1 (0.8 -- 1.3),0.01 (-0.05 -- 0.08),48.9 (8.6 -- -13.2)
Omsk Oblast,136 (43 -- 239),Unsure,1.1 (0.7 -- 1.4),0.02 (-0.08 -- 0.11),32.4 (6.1 -- -9.1)
Orel Oblast,110 (60 -- 195),Likely increasing,1.1 (1 -- 1.4),0.04 (-0.01 -- 0.12),19.7 (5.9 -- -97)
Orenburg Oblast,123 (89 -- 164),Unsure,1 (1 -- 1.1),0.01 (-0.02 -- 0.04),77.4 (19.7 -- -44.4)
Penza Oblast,98 (55 -- 147),Unsure,1 (0.8 -- 1.2),0 (-0.05 -- 0.05),351.4 (13.1 -- -14.2)
Perm Krai,103 (71 -- 139),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.05),38.7 (13.9 -- -76.1)
Primorsky Krai,83 (49 -- 128),Unsure,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.06),72.1 (10.8 -- -19.8)
Pskov Oblast,79 (31 -- 162),Likely increasing,1.2 (1 -- 1.6),0.05 (-0.01 -- 0.15),13.3 (4.6 -- -58.3)
Republic of Crimea,125 (86 -- 172),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.05),34.2 (14.6 -- -71.4)
Rostov Oblast,287 (202 -- 408),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.06),30.7 (10.7 -- -102.2)
Ryazan Oblast,65 (43 -- 91),Likely increasing,1.1 (1 -- 1.2),0.03 (0 -- 0.06),26.4 (11.4 -- -151.7)
Saint Petersburg,649 (385 -- 1031),Increasing,1.2 (1 -- 1.5),0.06 (0.01 -- 0.12),11.3 (5.7 -- 54.7)
