region,time
Hartlepool,3.8
Middlesbrough,8.4
Redcar and Cleveland,5.3
Stockton-on-Tees,6.7
Darlington,3.5
Halton,5.4
Warrington,7.3
Blackburn with Darwen,7.8
Blackpool,7.5
"Kingston upon Hull, City of",8.7
East Riding of Yorkshire,9.5
North East Lincolnshire,4.8
North Lincolnshire,6
York,5.7
Derby,7
Leicester,8.5
Nottingham,7.3
"Herefordshire, County of",3.8
Telford and Wrekin,8.6
Stoke-on-Trent,4.8
Bath and North East Somerset,4.3
"Bristol, City of",5.3
North Somerset,3.5
South Gloucestershire,6.3
Plymouth,6.3
Torbay,5.1
Swindon,5
Peterborough,4.8
Luton,4.8
Southend-on-Sea,5.6
Thurrock,4.6
Medway,5.1
Bracknell Forest,4.4
West Berkshire,4.1
Reading,5.7
Slough,4.1
Windsor and Maidenhead,3.6
Wokingham,4.3
Milton Keynes,4.7
Brighton and Hove,11.3
Portsmouth,4.2
Southampton,12.1
Isle of Wight,5.8
County Durham,6.8
Cheshire East,6.5
Cheshire West and Chester,8.7
Shropshire,6.3
Cornwall,10.2
Wiltshire,10.2
Bedford,5.4
Central Bedfordshire,6
Northumberland,7
"Bournemouth, Christchurch and Poole",8.4
Dorset,6.2
Buckinghamshire,9.6
Bolton,5.2
Bury,6.1
Manchester,14.3
Oldham,6.6
Rochdale,5.3
Salford,7.5
Stockport,6.3
Tameside,8.3
Trafford,4.4
Wigan,5.6
Knowsley,6.6
Liverpool,14.8
St. Helens,6.4
Sefton,7.7
Wirral,4.2
Barnsley,6.2
Doncaster,6.9
Rotherham,5.2
Sheffield,6.8
Newcastle upon Tyne,3.6
North Tyneside,6
South Tyneside,4.1
Sunderland,4.5
Birmingham,15.1
Coventry,6.3
Dudley,9.2
Sandwell,9.8
Solihull,8
Walsall,8.5
Wolverhampton,8.2
Bradford,12.2
Calderdale,8.7
Kirklees,8.2
Leeds,6.9
Wakefield,8.4
Gateshead,4.2
Barking and Dagenham,4.7
Barnet,4.9
Bexley,4.4
Brent,5.2
Bromley,7.2
Camden,3.8
Croydon,5.6
Ealing,4.6
Enfield,5
Greenwich,4.8
Hackney,4.5
Hammersmith and Fulham,4.8
Haringey,5.1
Harrow,5.2
Havering,4.3
Hillingdon,4.3
Hounslow,4.4
Islington,3.8
Kensington and Chelsea,3
Kingston upon Thames,5.1
Lambeth,6
Lewisham,5.5
Merton,4.8
Newham,5
Redbridge,4.5
Richmond upon Thames,4.8
Southwark,5.9
Sutton,4.8
Tower Hamlets,4.8
Waltham Forest,4
Wandsworth,4.3
Westminster,4.3
Cambridgeshire,7.8
Cumbria,8.5
Derbyshire,9.4
Devon,7.1
East Sussex,10.8
Essex,11.4
Gloucestershire,6.2
Hampshire,10.5
Hertfordshire,9.2
Kent,9.7
Lancashire,11.2
Leicestershire,9.1
Lincolnshire,7.9
Norfolk,9.9
Northamptonshire,7.2
North Yorkshire,12
Nottinghamshire,9
Oxfordshire,5.3
Somerset,5.8
Staffordshire,6.8
Suffolk,7.3
Surrey,6.5
Warwickshire,4.9
West Sussex,4.1
Worcestershire,4.6
