region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Barking and Dagenham,2020-09-20,,estimate,2,2,0,1,1,2,2,2,2
Barking and Dagenham,2020-09-21,,estimate,2,2,0,1,1,2,2,2,2
Barking and Dagenham,2020-09-22,,estimate,2,2,0,1,2,2,2,2,2
Barking and Dagenham,2020-09-23,,estimate,2,2,0,1,2,2,2,2,2
Barking and Dagenham,2020-09-24,,estimate,2,2,0,1,2,2,2,2,2
Barking and Dagenham,2020-09-25,,estimate,2,2,0,1,2,2,2,2,2
Barking and Dagenham,2020-09-26,,estimate,2,2,0,1,2,2,2,2,2
Barking and Dagenham,2020-09-27,,estimate,2,2,0,2,2,2,2,2,2
Barking and Dagenham,2020-09-28,,estimate,2,2,0,2,2,2,2,2,2
Barking and Dagenham,2020-09-29,,estimate,2,2,0,2,2,2,2,2,2
Barking and Dagenham,2020-09-30,,estimate,2,2,0,2,2,2,2,2,2
Barking and Dagenham,2020-10-01,,estimate,2,2,0,2,2,2,2,2,3
Barking and Dagenham,2020-10-02,,estimate,2,2,0,2,2,2,2,2,3
Barking and Dagenham,2020-10-03,,estimate,2,2,0,2,2,2,2,2,3
Barking and Dagenham,2020-10-04,,estimate,2,2,0,2,2,2,2,2,3
Barking and Dagenham,2020-10-05,,estimate,2,2,0,2,2,2,2,2,3
Barking and Dagenham,2020-10-06,,estimate,2,2,0,2,2,2,2,3,3
Barking and Dagenham,2020-10-07,,estimate,2,2,0,2,2,2,2,3,3
Barking and Dagenham,2020-10-08,,estimate,2,3,0,2,2,2,3,3,3
Barking and Dagenham,2020-10-09,,estimate,3,3,0,2,2,2,3,3,3
Barking and Dagenham,2020-10-10,,estimate,3,3,0,2,2,3,3,3,3
Barking and Dagenham,2020-10-11,,estimate,3,3,0,2,3,3,3,3,3
Barking and Dagenham,2020-10-12,,estimate,3,3,0,2,3,3,3,3,3
Barking and Dagenham,2020-10-13,,estimate,3,3,0,2,3,3,3,3,3
Barking and Dagenham,2020-10-14,,estimate,3,3,0,2,3,3,3,3,3
Barking and Dagenham,2020-10-15,,estimate,3,3,0,3,3,3,3,3,3
Barking and Dagenham,2020-10-16,,estimate,3,3,0,3,3,3,3,3,4
Barking and Dagenham,2020-10-17,,estimate,3,3,0,3,3,3,3,3,4
Barking and Dagenham,2020-10-18,,estimate,3,3,0,3,3,3,3,3,4
Barking and Dagenham,2020-10-19,,estimate,3,3,0,3,3,3,3,3,4
Barking and Dagenham,2020-10-20,,estimate,3,3,0,3,3,3,3,3,4
Barking and Dagenham,2020-10-21,,estimate,3,3,0,3,3,3,3,4,4
Barking and Dagenham,2020-10-22,,estimate,3,3,0,3,3,3,3,4,4
Barking and Dagenham,2020-10-23,,estimate,3,4,0,3,3,3,4,4,4
Barking and Dagenham,2020-10-24,,estimate,4,4,0,3,3,3,4,4,4
Barking and Dagenham,2020-10-25,,estimate,4,4,0,3,3,4,4,4,4
Barking and Dagenham,2020-10-26,,estimate,4,4,0,3,3,4,4,4,4
Barking and Dagenham,2020-10-27,,estimate,4,4,0,3,4,4,4,4,4
Barking and Dagenham,2020-10-28,,estimate,4,4,0,3,4,4,4,4,4
Barking and Dagenham,2020-10-29,,estimate,4,4,0,3,4,4,4,4,5
Barking and Dagenham,2020-10-30,,estimate,4,4,0,3,4,4,4,4,5
Barking and Dagenham,2020-10-31,,estimate,4,4,0,4,4,4,4,4,5
Barking and Dagenham,2020-11-01,,estimate,4,4,0,4,4,4,4,4,5
Barking and Dagenham,2020-11-02,,estimate,4,4,0,4,4,4,4,4,5
Barking and Dagenham,2020-11-03,,estimate,4,4,0,4,4,4,4,5,5
Barking and Dagenham,2020-11-04,,estimate,4,4,0,4,4,4,4,5,5
Barking and Dagenham,2020-11-05,,estimate,4,4,0,4,4,4,5,5,5
Barking and Dagenham,2020-11-06,,estimate,5,5,0,4,4,4,5,5,5
Barking and Dagenham,2020-11-07,,estimate,5,5,0,4,4,5,5,5,5
Barking and Dagenham,2020-11-08,,estimate,5,5,0,4,4,5,5,5,5
Barking and Dagenham,2020-11-09,,estimate,5,5,0,4,5,5,5,5,5
Barking and Dagenham,2020-11-10,,estimate,5,5,0,4,5,5,5,5,6
Barking and Dagenham,2020-11-11,,estimate,5,5,0,4,5,5,5,5,6
Barking and Dagenham,2020-11-12,,estimate,5,5,0,4,5,5,5,5,6
Barking and Dagenham,2020-11-13,,estimate,5,5,0,5,5,5,5,5,6
Barking and Dagenham,2020-11-14,,estimate,5,5,0,5,5,5,5,6,6
Barking and Dagenham,2020-11-15,,estimate,5,5,0,5,5,5,5,6,6
Barking and Dagenham,2020-11-16,,estimate,6,5,0,5,5,5,6,6,6
Barking and Dagenham,2020-11-17,,estimate,6,6,0,5,5,5,6,6,6
Barking and Dagenham,2020-11-18,,estimate,6,6,0,5,5,6,6,6,6
Barking and Dagenham,2020-11-19,,estimate,6,6,0,5,6,6,6,6,7
Barking and Dagenham,2020-11-20,,estimate,6,6,0,5,6,6,6,6,7
Barking and Dagenham,2020-11-21,,estimate,6,6,1,5,6,6,6,6,7
Barking and Dagenham,2020-11-22,,estimate,6,6,1,5,6,6,6,7,7
Barking and Dagenham,2020-11-23,,estimate,6,6,1,5,6,6,7,7,7
Barking and Dagenham,2020-11-24,,estimate,7,7,1,6,6,6,7,7,7
Barking and Dagenham,2020-11-25,,estimate,7,7,1,6,6,7,7,7,8
Barking and Dagenham,2020-11-26,,estimate,7,7,1,6,6,7,7,7,8
Barking and Dagenham,2020-11-27,,estimate,7,7,1,6,7,7,7,7,8
Barking and Dagenham,2020-11-28,,estimate,7,7,1,6,7,7,7,8,8
Barking and Dagenham,2020-11-29,,estimate,7,7,1,6,7,7,8,8,8
Barking and Dagenham,2020-11-30,,estimate,8,8,1,7,7,7,8,8,8
Barking and Dagenham,2020-12-01,,estimate,8,8,1,7,7,8,8,8,9
Barking and Dagenham,2020-12-02,,estimate,8,8,1,7,7,8,8,8,9
Barking and Dagenham,2020-12-03,,estimate,8,8,1,7,8,8,8,9,9
Barking and Dagenham,2020-12-04,,estimate,8,8,1,7,8,8,9,9,9
Barking and Dagenham,2020-12-05,,estimate,9,9,1,8,8,8,9,9,10
Barking and Dagenham,2020-12-06,,estimate,9,9,1,8,8,9,9,9,10
Barking and Dagenham,2020-12-07,,estimate,9,9,1,8,9,9,9,10,10
Barking and Dagenham,2020-12-08,,estimate,9,9,1,8,9,9,9,10,10
Barking and Dagenham,2020-12-09,,estimate,10,10,1,8,9,9,10,10,11
Barking and Dagenham,2020-12-10,,estimate,10,10,1,9,9,10,10,10,11
Barking and Dagenham,2020-12-11,,estimate,10,10,1,9,10,10,10,11,11
Barking and Dagenham,2020-12-12,,estimate,10,10,1,9,10,10,11,11,12
Barking and Dagenham,2020-12-13,,estimate,11,11,1,10,10,11,11,11,12
Barking and Dagenham,2020-12-14,,estimate,11,11,1,10,11,11,11,12,12
Barking and Dagenham,2020-12-15,,estimate,11,11,1,10,11,11,12,12,13
Barking and Dagenham,2020-12-16,,estimate,12,12,1,11,11,12,12,12,13
Barking and Dagenham,2020-12-17,,estimate,12,12,1,11,12,12,12,13,13
Barking and Dagenham,2020-12-18,,estimate,12,12,1,11,12,12,13,13,14
Barking and Dagenham,2020-12-19,,estimate,13,13,1,11,12,13,13,13,14
Barking and Dagenham,2020-12-20,,estimate,13,13,1,12,13,13,13,14,15
Barking and Dagenham,2020-12-21,,estimate,14,14,1,12,13,13,14,14,15
Barking and Dagenham,2020-12-22,,estimate,14,14,1,13,13,14,14,15,15
Barking and Dagenham,2020-12-23,,estimate,14,14,1,13,14,14,15,15,16
Barking and Dagenham,2020-12-24,,estimate,15,15,1,13,14,15,15,15,16
Barking and Dagenham,2020-12-25,,estimate,15,15,1,14,14,15,15,16,17
Barking and Dagenham,2020-12-26,,estimate,16,16,1,14,15,15,16,16,18
Barking and Dagenham,2020-12-27,,estimate,16,16,1,14,15,16,16,17,18
Barking and Dagenham,2020-12-28,,estimate,17,17,1,15,16,16,17,17,19
Barking and Dagenham,2020-12-29,,estimate,17,17,1,15,16,17,17,18,19
Barking and Dagenham,2020-12-30,,estimate,18,18,1,15,17,17,18,19,20
Barking and Dagenham,2020-12-31,,estimate based on partial data,18,18,2,16,17,18,18,19,21
Barking and Dagenham,2021-01-01,,estimate based on partial data,19,19,2,16,17,18,19,20,22
Barking and Dagenham,2021-01-02,,estimate based on partial data,19,19,2,16,18,19,20,20,23
Barking and Dagenham,2021-01-03,,estimate based on partial data,20,20,2,17,18,19,20,21,24
Barking and Dagenham,2021-01-04,,estimate based on partial data,20,20,2,17,19,20,21,22,25
Barking and Dagenham,2021-01-05,,estimate based on partial data,21,21,3,17,19,20,21,23,26
Barking and Dagenham,2021-01-06,,estimate based on partial data,21,22,3,17,19,21,22,23,27
Barking and Dagenham,2021-01-07,,estimate based on partial data,22,22,3,18,20,21,23,24,28
Barking and Dagenham,2021-01-08,,estimate based on partial data,22,23,4,18,20,22,23,25,30
Barking and Dagenham,2021-01-09,,estimate based on partial data,23,24,4,18,21,22,24,26,31
Barking and Dagenham,2021-01-10,,estimate based on partial data,24,24,5,18,21,23,25,27,33
Barking and Dagenham,2021-01-11,,forecast,24,25,5,18,22,23,26,28,34
Barking and Dagenham,2021-01-12,,forecast,25,26,6,19,22,24,26,29,36
Barking and Dagenham,2021-01-13,,forecast,26,27,6,19,23,24,27,30,38
Barking and Dagenham,2021-01-14,,forecast,26,28,7,19,23,25,28,31,40
Barking and Dagenham,2021-01-15,,forecast,27,28,8,19,24,26,29,32,42
Barking and Dagenham,2021-01-16,,forecast,28,29,8,19,24,26,30,33,44
Barking and Dagenham,2021-01-17,,forecast,29,30,9,20,25,27,31,34,46
Barking and Dagenham,2021-01-18,,forecast,29,31,10,20,25,28,31,35,49
Barking and Dagenham,2021-01-19,,forecast,30,32,11,20,26,28,32,37,51
Barking and Dagenham,2021-01-20,,forecast,31,33,12,20,26,29,33,38,54
Barking and Dagenham,2021-01-21,,forecast,32,35,13,20,27,30,34,39,57
Barking and Dagenham,2021-01-22,,forecast,33,36,15,20,28,31,35,41,60
Barking and Dagenham,2021-01-23,,forecast,34,37,16,21,28,31,37,42,63
Barking and Dagenham,2021-01-24,,forecast,35,38,17,21,29,32,38,44,66
Barnet,2020-09-21,,estimate,1,1,0,1,1,1,1,1,2
Barnet,2020-09-22,,estimate,1,1,0,1,1,1,1,1,2
Barnet,2020-09-23,,estimate,1,1,0,1,1,1,1,2,2
