region,time
Derby,17.1
Derbyshire,12.8
Leicester,10.3
Leicestershire,17
Lincolnshire,11.2
Northamptonshire,12.3
Nottingham,11.3
Nottinghamshire,11.5
Rutland,4.6
Bedford,12.2
Cambridgeshire,11.9
Central Bedfordshire,11.4
Essex,16
Hertfordshire,11.4
Luton,8.4
Norfolk,10
Peterborough,7.8
Southend-on-Sea,11.3
Suffolk,8.2
Thurrock,16.7
Barking and Dagenham,12
Barnet,13.3
Bexley,11.8
Brent,16.1
Bromley,13.5
Camden,11.7
Croydon,12.1
Ealing,13.9
Enfield,12.7
Greenwich,10.8
Hackney and City of London,12.3
Hammersmith and Fulham,17.2
Haringey,9.2
Harrow,10.5
Havering,10.4
Hillingdon,12.2
Hounslow,9.7
Islington,17
Kensington and Chelsea,11.8
Kingston upon Thames,9.3
Lambeth,11.1
Lewisham,12.4
Merton,8.1
Newham,11.5
Redbridge,11.7
Richmond upon Thames,13.2
Southwark,12.8
Sutton,8.7
Tower Hamlets,10.5
Waltham Forest,10.2
Wandsworth,14.6
Westminster,11.8
County Durham,19.5
Darlington,6.5
Gateshead,11.2
Hartlepool,11.8
Middlesbrough,16.6
Newcastle upon Tyne,17.9
North Tyneside,11.2
Northumberland,11.3
Redcar and Cleveland,15.6
South Tyneside,18.7
Stockton-on-Tees,12.4
Sunderland,18.3
Blackburn with Darwen,8.5
Blackpool,10.3
Bolton,9
Bury,10.6
Cheshire East,7.6
Cheshire West and Chester,15.3
Cumbria,16.1
Halton,8.5
Knowsley,11.3
Lancashire,10.7
Liverpool,18.3
Manchester,11.5
Oldham,19.1
Rochdale,8.8
Salford,12.2
Sefton,13.9
St. Helens,7.8
Stockport,10.4
Tameside,11.4
Trafford,14.1
Warrington,9.6
Wigan,10.7
Wirral,8.3
Antrim and Newtownabbey,3.6
Ards and North Down,3.5
"Armagh City, Banbridge and Craigavon",3.6
Belfast,4.8
Causeway Coast and Glens,3.2
Derry City and Strabane,3
Fermanagh and Omagh,2.8
Lisburn and Castlereagh,2.8
Mid and East Antrim,4.9
Mid Ulster,4.7
"Newry, Mourne and Down",3.3
Aberdeen City,4.2
Aberdeenshire,3.5
Angus,3.4
Argyll and Bute,4.3
City of Edinburgh,5.1
Clackmannanshire,5
Dumfries and Galloway,3.8
Dundee City,2.7
East Ayrshire,3.4
East Dunbartonshire,3.6
East Lothian,4.1
East Renfrewshire,3.2
Falkirk,3.3
Fife,4.9
Glasgow City,4.7
Highland,3.8
Inverclyde,3.4
Midlothian,3.2
Moray,3.8
Na h-Eileanan Siar,2.3
North Ayrshire,4.9
North Lanarkshire,5.3
Orkney Islands,2.4
Perth and Kinross,3.2
Renfrewshire,4.3
Scottish Borders,7.3
Shetland Islands,3
South Ayrshire,4.3
South Lanarkshire,5.1
Stirling,5.1
West Dunbartonshire,3.8
West Lothian,3
Bracknell Forest,10.5
Brighton and Hove,19.8
Buckinghamshire,9.2
East Sussex,17.7
Hampshire,11.9
Isle of Wight,9.3
Kent,12.7
Medway,8.2
Milton Keynes,13.4
Oxfordshire,13
Portsmouth,13.3
Reading,7.4
Slough,9.3
Southampton,11.4
Surrey,11.5
West Berkshire,12.7
West Sussex,14.6
Windsor and Maidenhead,10.5
Wokingham,8.4
Bath and North East Somerset,6.2
"Bournemouth, Christchurch and Poole",12.4
"Bristol, City of",10.8
Cornwall and Isles of Scilly,12.2
Devon,11.2
Dorset,10.2
Gloucestershire,11.7
North Somerset,10.8
Plymouth,9.9
Somerset,11.8
South Gloucestershire,18.6
Swindon,6.9
Torbay,7
Wiltshire,8.2
Blaenau Gwent,6.8
Bridgend,7.4
Caerphilly,6.5
Cardiff,4.8
Carmarthenshire,8.2
Ceredigion,4.1
Conwy,4.7
Denbighshire,3.9
Flintshire,4.5
Gwynedd,4.3
Isle of Anglesey,7.2
Merthyr Tydfil,12.2
Monmouthshire,5
Neath Port Talbot,6.9
Newport,6.4
Pembrokeshire,5.3
Powys,4.7
Rhondda Cynon Taf,7.6
Swansea,6.8
Torfaen,8.4
Vale of Glamorgan,5.6
Wrexham,7.8
Birmingham,13.3
Coventry,15.7
Dudley,13.8
"Herefordshire, County of",14.8
Sandwell,13.1
Shropshire,18.3
Solihull,9.6
Staffordshire,15.5
Stoke-on-Trent,11.1
Telford and Wrekin,12.6
Walsall,13.6
Warwickshire,15.1
Wolverhampton,8.5
Worcestershire,12.6
Barnsley,8.6
Bradford,9.9
Calderdale,11
Doncaster,8.6
East Riding of Yorkshire,10.3
"Kingston upon Hull, City of",14.3
Kirklees,11.5
Leeds,12.8
North East Lincolnshire,9.5
North Lincolnshire,10.9
North Yorkshire,11
Rotherham,8.2
Sheffield,7.9
Wakefield,7.8
York,9.3
