region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Aberdeen City,2020-09-28,,estimate,-0.016,-0.013,0.031,-0.056,-0.033,-0.022,-0.01,0.004,0.044
Aberdeen City,2020-09-29,,estimate,-0.017,-0.014,0.028,-0.055,-0.033,-0.023,-0.011,0.002,0.039
Aberdeen City,2020-09-30,,estimate,-0.018,-0.015,0.026,-0.054,-0.033,-0.024,-0.012,0,0.033
Aberdeen City,2020-10-01,,estimate,-0.019,-0.016,0.024,-0.052,-0.033,-0.024,-0.014,-0.003,0.028
Aberdeen City,2020-10-02,,estimate,-0.02,-0.018,0.023,-0.051,-0.033,-0.025,-0.015,-0.005,0.022
Aberdeen City,2020-10-03,,estimate,-0.021,-0.019,0.021,-0.051,-0.033,-0.026,-0.016,-0.007,0.017
Aberdeen City,2020-10-04,,estimate,-0.022,-0.021,0.019,-0.051,-0.034,-0.026,-0.018,-0.009,0.013
Aberdeen City,2020-10-05,,estimate,-0.023,-0.022,0.018,-0.05,-0.034,-0.027,-0.019,-0.011,0.009
Aberdeen City,2020-10-06,,estimate,-0.024,-0.024,0.017,-0.05,-0.034,-0.028,-0.02,-0.013,0.004
Aberdeen City,2020-10-07,,estimate,-0.025,-0.025,0.015,-0.05,-0.035,-0.029,-0.022,-0.015,0
Aberdeen City,2020-10-08,,estimate,-0.027,-0.026,0.015,-0.051,-0.036,-0.03,-0.023,-0.017,-0.003
Aberdeen City,2020-10-09,,estimate,-0.027,-0.028,0.014,-0.051,-0.037,-0.031,-0.024,-0.018,-0.005
Aberdeen City,2020-10-10,,estimate,-0.028,-0.029,0.014,-0.052,-0.038,-0.031,-0.025,-0.02,-0.007
Aberdeen City,2020-10-11,,estimate,-0.029,-0.03,0.014,-0.053,-0.038,-0.032,-0.026,-0.02,-0.008
Aberdeen City,2020-10-12,,estimate,-0.029,-0.03,0.014,-0.055,-0.039,-0.033,-0.026,-0.021,-0.01
Aberdeen City,2020-10-13,,estimate,-0.029,-0.031,0.014,-0.056,-0.039,-0.033,-0.026,-0.021,-0.01
Aberdeen City,2020-10-14,,estimate,-0.03,-0.031,0.014,-0.057,-0.039,-0.033,-0.026,-0.021,-0.011
Aberdeen City,2020-10-15,,estimate,-0.029,-0.031,0.015,-0.058,-0.039,-0.033,-0.026,-0.021,-0.011
Aberdeen City,2020-10-16,,estimate,-0.029,-0.031,0.015,-0.058,-0.039,-0.032,-0.025,-0.02,-0.01
Aberdeen City,2020-10-17,,estimate,-0.028,-0.03,0.015,-0.057,-0.038,-0.032,-0.025,-0.02,-0.01
Aberdeen City,2020-10-18,,estimate,-0.027,-0.029,0.015,-0.057,-0.037,-0.031,-0.024,-0.019,-0.009
Aberdeen City,2020-10-19,,estimate,-0.026,-0.028,0.015,-0.056,-0.036,-0.03,-0.022,-0.018,-0.008
Aberdeen City,2020-10-20,,estimate,-0.024,-0.026,0.015,-0.054,-0.034,-0.028,-0.021,-0.016,-0.006
Aberdeen City,2020-10-21,,estimate,-0.023,-0.025,0.014,-0.051,-0.032,-0.026,-0.02,-0.015,-0.005
Aberdeen City,2020-10-22,,estimate,-0.021,-0.023,0.014,-0.048,-0.03,-0.025,-0.018,-0.013,-0.003
Aberdeen City,2020-10-23,,estimate,-0.019,-0.021,0.014,-0.046,-0.028,-0.023,-0.016,-0.012,-0.001
Aberdeen City,2020-10-24,,estimate,-0.017,-0.018,0.013,-0.043,-0.025,-0.02,-0.014,-0.01,0.001
Aberdeen City,2020-10-25,,estimate,-0.015,-0.016,0.013,-0.039,-0.023,-0.018,-0.012,-0.008,0.003
Aberdeen City,2020-10-26,,estimate,-0.012,-0.013,0.013,-0.036,-0.02,-0.015,-0.01,-0.005,0.006
Aberdeen City,2020-10-27,,estimate,-0.01,-0.01,0.012,-0.032,-0.017,-0.012,-0.007,-0.003,0.009
Aberdeen City,2020-10-28,,estimate,-0.007,-0.007,0.012,-0.028,-0.015,-0.01,-0.005,0,0.012
Aberdeen City,2020-10-29,,estimate,-0.004,-0.005,0.012,-0.024,-0.012,-0.007,-0.002,0.002,0.015
Aberdeen City,2020-10-30,,estimate,-0.002,-0.002,0.012,-0.021,-0.009,-0.004,0.001,0.005,0.019
Aberdeen City,2020-10-31,,estimate,0.001,0.002,0.013,-0.018,-0.006,-0.002,0.003,0.008,0.023
Aberdeen City,2020-11-01,,estimate,0.003,0.004,0.013,-0.014,-0.003,0.001,0.006,0.011,0.027
Aberdeen City,2020-11-02,,estimate,0.006,0.007,0.013,-0.011,-0.001,0.004,0.009,0.014,0.031
Aberdeen City,2020-11-03,,estimate,0.008,0.01,0.014,-0.009,0.002,0.006,0.011,0.017,0.035
Aberdeen City,2020-11-04,,estimate,0.011,0.013,0.014,-0.006,0.004,0.008,0.014,0.02,0.039
Aberdeen City,2020-11-05,,estimate,0.014,0.016,0.014,-0.004,0.006,0.011,0.017,0.023,0.042
Aberdeen City,2020-11-06,,estimate,0.016,0.018,0.015,-0.002,0.009,0.013,0.019,0.025,0.045
Aberdeen City,2020-11-07,,estimate,0.018,0.02,0.015,0,0.011,0.015,0.021,0.028,0.048
Aberdeen City,2020-11-08,,estimate,0.02,0.022,0.015,0.002,0.012,0.017,0.024,0.03,0.05
Aberdeen City,2020-11-09,,estimate,0.022,0.024,0.015,0.004,0.014,0.019,0.026,0.032,0.051
Aberdeen City,2020-11-10,,estimate,0.024,0.026,0.015,0.005,0.016,0.02,0.027,0.034,0.053
Aberdeen City,2020-11-11,,estimate,0.025,0.027,0.015,0.006,0.018,0.022,0.029,0.035,0.054
Aberdeen City,2020-11-12,,estimate,0.027,0.028,0.014,0.007,0.019,0.024,0.03,0.037,0.055
