region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
Birmingham,772 (377 -- 1443),772,827,358,377,587,698,850,992,1443,New confirmed cases by infection date,Likely decreasing,0.87
Kent,593 (291 -- 1096),593,631,260,291,455,543,650,756,1096,New confirmed cases by infection date,Likely decreasing,0.94
Lancashire,564 (276 -- 991),564,592,227,276,429,509,620,725,991,New confirmed cases by infection date,Likely decreasing,0.93
Antrim and Newtownabbey,563 (51 -- 5797),563,1665,6005,51,225,403,779,1401,5797,New confirmed cases by infection date,Likely increasing,0.39
Essex,465 (200 -- 1053),465,523,282,200,338,414,525,641,1053,New confirmed cases by infection date,Decreasing,0.95
Hertfordshire,463 (229 -- 972),463,514,248,229,356,418,515,615,972,New confirmed cases by infection date,Likely decreasing,0.9
Hampshire,411 (182 -- 904),411,466,257,182,295,365,462,566,904,New confirmed cases by infection date,Likely decreasing,0.9
Norfolk,408 (197 -- 807),408,442,198,197,307,369,451,536,807,New confirmed cases by infection date,Likely decreasing,0.85
Staffordshire,399 (206 -- 778),399,435,203,206,304,363,440,514,778,New confirmed cases by infection date,Likely decreasing,0.8
Surrey,392 (192 -- 772),392,426,187,192,295,355,435,513,772,New confirmed cases by infection date,Likely decreasing,0.94
County Durham,357 (131 -- 884),357,415,256,131,243,311,415,521,884,New confirmed cases by infection date,Likely decreasing,0.67
Glasgow City,355 (125 -- 763),355,385,206,125,235,304,402,493,763,New confirmed cases by infection date,Likely decreasing,0.67
Newcastle upon Tyne,336 (96 -- 1099),336,442,395,96,200,280,407,551,1099,New confirmed cases by infection date,Stable,0.41
Derry City and Strabane,332 (38 -- 1989),332,613,1012,38,145,248,433,694,1989,New confirmed cases by infection date,Stable,0.41
Derbyshire,330 (156 -- 669),330,363,177,156,246,297,366,439,669,New confirmed cases by infection date,Likely decreasing,0.76
Sandwell,323 (162 -- 687),323,361,188,162,245,291,358,428,687,New confirmed cases by infection date,Likely decreasing,0.76
Causeway Coast and Glens,322 (44 -- 2121),322,629,1136,44,153,243,419,686,2121,New confirmed cases by infection date,Likely increasing,0.34
