Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Aberdeen City,89 (34 -- 199),Unsure,1.1 (0.76 -- 1.4),0.024 (-0.069 -- 0.1),29 (6.7 -- -10)
Aberdeenshire,33 (8 -- 78),Unsure,0.98 (0.63 -- 1.2),-0.0069 (-0.11 -- 0.043),-100 (16 -- -6.4)
Angus,6 (2 -- 13),Unsure,0.91 (0.68 -- 1.1),-0.024 (-0.094 -- 0.033),-29 (21 -- -7.4)
Antrim and Newtownabbey,7 (0 -- 65),Unsure,0.72 (0.12 -- 1.4),-0.08 (-0.3 -- 0.1),-8.6 (6.6 -- -2.3)
Ards and North Down,12 (5 -- 30),Likely decreasing,0.94 (0.75 -- 1.2),-0.016 (-0.072 -- 0.061),-43 (11 -- -9.6)
Argyll and Bute,0 (0 -- 4),Unsure,0.51 (0.12 -- 1.1),-0.15 (-0.3 -- 0.024),-4.7 (28 -- -2.3)
"Armagh City, Banbridge and Craigavon",139 (13 -- 751),Unsure,1.1 (0.4 -- 1.8),0.016 (-0.18 -- 0.2),42 (3.5 -- -3.8)
Barking and Dagenham,476 (216 -- 908),Likely increasing,1 (0.73 -- 1.4),0.011 (-0.078 -- 0.096),62 (7.2 -- -8.9)
Barnet,754 (338 -- 1557),Unsure,1.1 (0.74 -- 1.5),0.024 (-0.075 -- 0.14),28 (5.1 -- -9.2)
Barnsley,137 (75 -- 253),Unsure,1.2 (0.92 -- 1.6),0.05 (-0.022 -- 0.15),14 (4.8 -- -31)
Bath and North East Somerset,87 (37 -- 198),Unsure,1.2 (0.83 -- 1.7),0.056 (-0.048 -- 0.18),12 (3.9 -- -15)
Bedford,186 (77 -- 428),Unsure,0.97 (0.62 -- 1.4),-0.0074 (-0.11 -- 0.11),-94 (6 -- -6.2)
Belfast,128 (45 -- 369),Unsure,1.1 (0.74 -- 1.5),0.027 (-0.074 -- 0.13),26 (5.2 -- -9.4)
Bexley,442 (179 -- 1067),Unsure,0.94 (0.59 -- 1.4),-0.016 (-0.12 -- 0.11),-42 (6.3 -- -5.8)
Birmingham,1088 (633 -- 2107),Unsure,1.2 (0.95 -- 1.7),0.061 (-0.014 -- 0.18),11 (3.8 -- -50)
Blackburn with Darwen,171 (101 -- 319),Unsure,1.3 (1 -- 1.7),0.076 (0.01 -- 0.17),9.1 (4.1 -- 66)
Blackpool,64 (34 -- 165),Unsure,1.2 (0.94 -- 1.8),0.054 (-0.018 -- 0.21),13 (3.3 -- -39)
Blaenau Gwent,126 (45 -- 309),Unsure,1.1 (0.71 -- 1.4),0.021 (-0.085 -- 0.12),32 (5.9 -- -8.2)
Bolton,121 (76 -- 193),Unsure,1.2 (0.98 -- 1.5),0.051 (-0.0064 -- 0.12),14 (5.8 -- -110)
"Bournemouth, Christchurch and Poole",500 (203 -- 1286),Unsure,1.5 (0.97 -- 2.4),0.14 (-0.0076 -- 0.34),4.9 (2 -- -91)
Bracknell Forest,146 (59 -- 324),Unsure,1.1 (0.71 -- 1.5),0.018 (-0.084 -- 0.12),37 (5.7 -- -8.2)
Bradford,173 (102 -- 313),Unsure,1.1 (0.85 -- 1.4),0.022 (-0.041 -- 0.11),32 (6.5 -- -17)
Brent,580 (273 -- 1286),Unsure,1.1 (0.77 -- 1.7),0.032 (-0.066 -- 0.17),22 (4.1 -- -10)
Bridgend,300 (99 -- 802),Unsure,0.97 (0.59 -- 1.4),-0.0076 (-0.12 -- 0.1),-91 (6.6 -- -5.7)
Brighton and Hove,385 (124 -- 1833),Unsure,1.3 (0.77 -- 3),0.091 (-0.067 -- 0.46),7.6 (1.5 -- -10)
"Bristol, City of",289 (123 -- 838),Unsure,1.3 (0.85 -- 2.2),0.075 (-0.04 -- 0.28),9.3 (2.5 -- -17)
Bromley,595 (261 -- 1229),Unsure,1 (0.7 -- 1.4),0.0091 (-0.086 -- 0.11),76 (6.3 -- -8.1)
Buckinghamshire,689 (354 -- 1274),Unsure,1.1 (0.83 -- 1.5),0.033 (-0.048 -- 0.12),21 (5.6 -- -15)
Bury,141 (78 -- 289),Unsure,1.3 (1 -- 1.8),0.077 (5e-04 -- 0.2),9 (3.5 -- 1400)
Caerphilly,222 (64 -- 558),Unsure,0.99 (0.58 -- 1.4),-0.0033 (-0.12 -- 0.095),-210 (7.3 -- -5.6)
Calderdale,100 (52 -- 271),Unsure,1.3 (0.94 -- 2.1),0.067 (-0.017 -- 0.26),10 (2.6 -- -41)
Cambridgeshire,860 (328 -- 3822),Unsure,1.5 (0.96 -- 3.1),0.13 (-0.011 -- 0.48),5.5 (1.4 -- -64)
Camden,333 (142 -- 753),Unsure,1.1 (0.71 -- 1.6),0.02 (-0.083 -- 0.15),34 (4.7 -- -8.3)
Cardiff,460 (150 -- 1300),Unsure,1 (0.64 -- 1.5),0.0058 (-0.11 -- 0.13),120 (5.5 -- -6.5)
Carmarthenshire,303 (134 -- 610),Likely increasing,1.1 (0.83 -- 1.3),0.035 (-0.049 -- 0.092),20 (7.6 -- -14)
Causeway Coast and Glens,11 (1 -- 41),Likely decreasing,0.85 (0.41 -- 1.2),-0.041 (-0.18 -- 0.052),-17 (13 -- -3.8)
Central Bedfordshire,220 (89 -- 559),Unsure,0.95 (0.61 -- 1.5),-0.013 (-0.12 -- 0.13),-54 (5.2 -- -6)
Ceredigion,33 (12 -- 65),Likely increasing,1.1 (0.82 -- 1.3),0.021 (-0.05 -- 0.074),33 (9.4 -- -14)
Cheshire East,310 (173 -- 571),Unsure,1.3 (0.96 -- 1.6),0.068 (-0.012 -- 0.16),10 (4.4 -- -60)
Cheshire West and Chester,370 (144 -- 1260),Unsure,1.5 (0.9 -- 2.7),0.12 (-0.027 -- 0.4),5.9 (1.7 -- -26)
City of Edinburgh,147 (81 -- 250),Unsure,1.1 (0.85 -- 1.3),0.027 (-0.041 -- 0.08),25 (8.6 -- -17)
Clackmannanshire,0 (0 -- 5),Unsure,0.52 (0.17 -- 0.92),-0.15 (-0.28 -- -0.023),-4.8 (-31 -- -2.5)
Comhairle nan Eilean Siar,0 (0 -- 3),Unsure,0.95 (0.35 -- 1.5),-0.014 (-0.2 -- 0.14),-51 (5 -- -3.5)
Conwy,41 (13 -- 154),Unsure,1.2 (0.84 -- 2),0.067 (-0.045 -- 0.26),10 (2.7 -- -15)
Cornwall and Isles of Scilly,887 (213 -- 6933),Unsure,2.1 (1.1 -- 5.5),0.26 (0.023 -- 0.92),2.7 (0.75 -- 30)
County Durham,361 (167 -- 754),Unsure,1.2 (0.81 -- 1.7),0.058 (-0.054 -- 0.19),12 (3.7 -- -13)
