region,time
Derby,7.2
Derbyshire,11.1
Leicester,7.8
Leicestershire,7.9
Lincolnshire,13.9
Northamptonshire,6.9
Nottingham,6.7
Nottinghamshire,13.9
Bedford,5.5
Cambridgeshire,3.6
Central Bedfordshire,6.2
Essex,21.8
Hertfordshire,9.7
Luton,6.5
Norfolk,6.3
Peterborough,5.1
Southend-on-Sea,3.7
Suffolk,6.7
Thurrock,8.8
Barking and Dagenham,4.8
Barnet,6.7
Bexley,10.3
Brent,6.5
Bromley,9.3
Camden,5.4
Croydon,6.9
Ealing,7.5
Enfield,6.9
Greenwich,4.3
Hackney and City of London,3.2
Hammersmith and Fulham,3.7
Haringey,3.6
Harrow,4
Havering,6.8
Hillingdon,5.2
Hounslow,5.3
Islington,2.9
Kensington and Chelsea,3.5
Kingston upon Thames,6.3
Lambeth,6.4
Lewisham,8.1
Merton,3.5
Newham,4.6
Redbridge,5.6
Richmond upon Thames,2.5
Southwark,2.1
Sutton,4.9
Tower Hamlets,3.7
Waltham Forest,5.5
Wandsworth,4.3
Westminster,3.2
County Durham,10.8
Darlington,3.1
Gateshead,6.8
Hartlepool,3.8
Middlesbrough,3.9
Newcastle upon Tyne,6.6
North Tyneside,6.1
Northumberland,6.2
Redcar and Cleveland,3.6
South Tyneside,6.7
Stockton-on-Tees,5.6
Sunderland,6.4
Blackburn with Darwen,5.8
Blackpool,6.3
Bolton,5.6
Bury,6
Cheshire East,4.5
Cheshire West and Chester,5.5
Cumbria,6.3
Halton,2.6
Knowsley,4.2
Lancashire,11.7
Liverpool,6.2
Manchester,6.8
Oldham,7.1
Rochdale,6.7
Salford,7.3
Sefton,7.1
St. Helens,3.7
Stockport,7.5
Tameside,7.6
Trafford,6.6
Warrington,6.9
Wigan,8
Wirral,6.6
Antrim and Newtownabbey,3
Ards and North Down,2.5
"Armagh City, Banbridge and Craigavon",5.2
Belfast,4.3
Causeway Coast and Glens,2.5
Derry City and Strabane,3.6
Fermanagh and Omagh,2.4
Lisburn and Castlereagh,1.7
Mid and East Antrim,2.4
Mid Ulster,3.6
"Newry, Mourne and Down",5.6
Aberdeen City,3.7
Aberdeenshire,4.9
Angus,2.1
Argyll and Bute,2.5
City of Edinburgh,4.4
Dumfries and Galloway,2.7
Dundee City,2.4
East Ayrshire,3.6
East Dunbartonshire,4.3
East Renfrewshire,5.2
Falkirk,4.7
Fife,2.8
Glasgow City,5.7
Midlothian,4.6
North Ayrshire,3.3
North Lanarkshire,5.3
Perth and Kinross,3.4
Renfrewshire,5.7
Scottish Borders,3.2
South Ayrshire,4.7
South Lanarkshire,7.4
Stirling,2.4
West Dunbartonshire,2.9
West Lothian,3.7
Bracknell Forest,3.9
Brighton and Hove,2.6
Buckinghamshire,5.3
East Sussex,13.4
Hampshire,13.6
Isle of Wight,2.7
Kent,12.6
Medway,4.5
Milton Keynes,3.2
Oxfordshire,5.3
Portsmouth,8.2
Reading,5.4
Slough,5.9
Southampton,3.1
Surrey,11.5
West Berkshire,4.9
West Sussex,7.4
Windsor and Maidenhead,6.9
Wokingham,3.4
Bath and North East Somerset,4.2
"Bournemouth, Christchurch and Poole",5.7
"Bristol, City of",7.4
Cornwall and Isles of Scilly,4.1
Devon,4.1
Dorset,3.2
Gloucestershire,9.5
North Somerset,5.5
Plymouth,4.1
Somerset,3.3
South Gloucestershire,4
Swindon,2.9
Torbay,3.1
Wiltshire,6.2
Birmingham,8.4
Coventry,5.5
Dudley,6.6
"Herefordshire, County of",4.1
Sandwell,6.5
Shropshire,4
Solihull,5.9
Staffordshire,12.7
Stoke-on-Trent,9.8
Telford and Wrekin,3.7
Walsall,6.2
Warwickshire,6.8
Wolverhampton,5.3
Worcestershire,8.6
Barnsley,7.9
Bradford,7.1
Calderdale,4.1
Doncaster,10.8
East Riding of Yorkshire,6.1
"Kingston upon Hull, City of",7.5
Kirklees,5.8
Leeds,7.2
North East Lincolnshire,6.9
North Lincolnshire,6.5
North Yorkshire,8.5
Rotherham,6.6
Sheffield,6.8
Wakefield,5.9
York,2.2
