region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
North Lanarkshire,233 (19 -- 11677),233,2459,10320,19,77,149,380,1045,11677,New confirmed cases by infection date,Increasing,0.023
Wolverhampton,149 (6 -- 4869),149,1088,3281,6,35,80,300,803,4869,New confirmed cases by infection date,Increasing,0.018
Essex,76 (12 -- 501),76,156,329,12,39,59,102,158,501,New confirmed cases by infection date,Likely increasing,0.35
Falkirk,69 (1 -- 4610),69,1144,6212,1,13,35,135,375,4610,New confirmed cases by infection date,Likely increasing,0.062
Hampshire,63 (16 -- 192),63,81,75,16,40,53,74,100,192,New confirmed cases by infection date,Likely increasing,0.21
Derby,44 (4 -- 317),44,103,502,4,18,32,58,97,317,New confirmed cases by infection date,Likely increasing,0.15
West Sussex,44 (16 -- 186),44,71,139,16,29,37,53,73,186,New confirmed cases by infection date,Increasing,0.036
Surrey,41 (11 -- 108),41,49,48,11,27,36,48,60,108,New confirmed cases by infection date,Likely increasing,0.21
Bromley,39 (5 -- 170),39,64,205,5,20,31,48,69,170,New confirmed cases by infection date,Likely increasing,0.14
Hertfordshire,39 (4 -- 102),39,44,40,4,20,32,46,58,102,New confirmed cases by infection date,Likely increasing,0.32
Cumbria,34 (7 -- 140),34,51,64,7,20,28,43,61,140,New confirmed cases by infection date,Likely increasing,0.12
Staffordshire,28 (9 -- 101),28,39,48,9,18,24,33,44,101,New confirmed cases by infection date,Likely increasing,0.19
"Bournemouth, Christchurch and Poole",27 (2 -- 203),27,66,407,2,12,20,35,56,203,New confirmed cases by infection date,Likely increasing,0.18
Islington,27 (2 -- 390),27,143,1202,2,11,20,37,65,390,New confirmed cases by infection date,Likely increasing,0.099
Kent,25 (5 -- 66),25,30,24,5,15,21,30,39,66,New confirmed cases by infection date,Likely decreasing,0.7
Lambeth,25 (0 -- 148),25,53,323,0,11,18,33,52,148,New confirmed cases by infection date,Likely increasing,0.22
Norfolk,25 (13 -- 41),25,26,11,13,20,23,27,30,41,New confirmed cases by infection date,Likely increasing,0.062
Birmingham,24 (8 -- 80),24,32,34,8,16,20,28,38,80,New confirmed cases by infection date,Likely increasing,0.2
Derbyshire,24 (4 -- 92),24,33,36,4,13,19,29,41,92,New confirmed cases by infection date,Likely increasing,0.28
Enfield,24 (1 -- 116),24,38,76,1,11,19,31,45,116,New confirmed cases by infection date,Likely increasing,0.25
Isle of Wight,24 (1 -- 415),24,141,1166,1,8,16,38,72,415,New confirmed cases by infection date,Likely increasing,0.14
Suffolk,24 (9 -- 77),24,34,64,9,17,21,28,36,77,New confirmed cases by infection date,Likely increasing,0.14
Renfrewshire,23 (1 -- 2181),23,655,3880,1,5,12,43,130,2181,New confirmed cases by infection date,Likely increasing,0.15
Southwark,22 (2 -- 393),22,147,912,2,9,15,31,61,393,New confirmed cases by infection date,Likely increasing,0.087
Lancashire,21 (8 -- 56),21,26,25,8,14,18,24,30,56,New confirmed cases by infection date,Likely increasing,0.31
Nottinghamshire,21 (3 -- 529),21,111,493,3,9,15,30,64,529,New confirmed cases by infection date,Likely increasing,0.23
Bexley,20 (2 -- 104),20,34,55,2,10,16,25,39,104,New confirmed cases by infection date,Likely increasing,0.26
Hackney and City of London,20 (4 -- 133),20,47,244,4,11,15,25,40,133,New confirmed cases by infection date,Likely increasing,0.074
Barnet,19 (2 -- 72),19,26,28,2,11,16,23,31,72,New confirmed cases by infection date,Likely increasing,0.21
Dorset,19 (3 -- 180),19,55,197,3,9,14,26,44,180,New confirmed cases by infection date,Likely increasing,0.074
Walsall,19 (3 -- 126),19,40,98,3,9,14,25,38,126,New confirmed cases by infection date,Likely increasing,0.14
Glasgow City,18 (2 -- 260),18,88,474,2,7,13,25,47,260,New confirmed cases by infection date,Likely increasing,0.17
Hounslow,17 (2 -- 78),17,28,57,2,10,14,21,30,78,New confirmed cases by infection date,Likely increasing,0.18
South Lanarkshire,17 (1 -- 702),17,204,1188,1,5,10,27,64,702,New confirmed cases by infection date,Likely increasing,0.18
Worcestershire,17 (6 -- 69),17,26,29,6,11,15,21,29,69,New confirmed cases by infection date,Likely increasing,0.16
Buckinghamshire,16 (8 -- 38),16,18,10,8,13,14,18,21,38,New confirmed cases by infection date,Likely increasing,0.051
Sefton,16 (2 -- 136),16,41,124,2,7,11,21,35,136,New confirmed cases by infection date,Likely increasing,0.092
"Bristol, City of",15 (2 -- 175),15,56,263,2,6,10,20,38,175,New confirmed cases by infection date,Likely increasing,0.13
Greenwich,15 (1 -- 117),15,71,994,1,8,12,20,32,117,New confirmed cases by infection date,Likely increasing,0.14
Newham,15 (7 -- 43),15,19,16,7,11,14,17,22,43,New confirmed cases by infection date,Likely increasing,0.064
Southend-on-Sea,14 (2 -- 34),14,16,18,2,7,11,16,20,34,New confirmed cases by infection date,Likely increasing,0.25
Croydon,13 (1 -- 54),13,20,34,1,8,11,16,22,54,New confirmed cases by infection date,Likely increasing,0.23
Redbridge,13 (3 -- 30),13,15,9,3,9,12,15,18,30,New confirmed cases by infection date,Likely increasing,0.21
Cambridgeshire,12 (4 -- 47),12,19,48,4,8,10,14,19,47,New confirmed cases by infection date,Likely increasing,0.077
City of Edinburgh,12 (3 -- 147),12,45,186,3,6,9,16,28,147,New confirmed cases by infection date,Likely increasing,0.06
Milton Keynes,12 (4 -- 51),12,20,35,4,8,11,15,20,51,New confirmed cases by infection date,Likely increasing,0.14
Oxfordshire,12 (2 -- 36),12,15,15,2,8,10,14,18,36,New confirmed cases by infection date,Likely increasing,0.19
Waltham Forest,12 (4 -- 28),12,14,16,4,9,11,13,16,28,New confirmed cases by infection date,Likely increasing,0.1
Central Bedfordshire,11 (5 -- 27),11,13,9,5,9,10,13,15,27,New confirmed cases by infection date,Likely increasing,0.074
Lewisham,11 (1 -- 48),11,21,130,1,5,9,14,20,48,New confirmed cases by infection date,Likely increasing,0.25
Liverpool,11 (2 -- 77),11,25,58,2,6,9,15,24,77,New confirmed cases by infection date,Likely increasing,0.18
Southampton,11 (0 -- 116),11,36,148,0,5,8,15,26,116,New confirmed cases by infection date,Likely increasing,0.18
Warwickshire,11 (4 -- 37),11,15,17,4,8,10,13,16,37,New confirmed cases by infection date,Likely increasing,0.2
Ealing,10 (0 -- 68),10,29,243,0,5,8,14,22,68,New confirmed cases by infection date,Likely increasing,0.27
Sutton,10 (2 -- 72),10,23,71,2,6,8,12,19,72,New confirmed cases by infection date,Likely increasing,0.12
Tower Hamlets,10 (3 -- 28),10,12,13,3,7,8,11,14,28,New confirmed cases by infection date,Likely increasing,0.09
Harrow,9 (3 -- 33),9,13,20,3,6,8,11,14,33,New confirmed cases by infection date,Likely increasing,0.093
Knowsley,9 (0 -- 161),9,42,150,0,3,6,14,28,161,New confirmed cases by infection date,Likely increasing,0.19
County Durham,8 (1 -- 49),8,25,184,1,4,6,10,15,49,New confirmed cases by infection date,Likely increasing,0.35
Dumfries and Galloway,8 (0 -- 2239),8,574,3043,0,1,3,21,95,2239,New confirmed cases by infection date,Likely increasing,0.19
East Ayrshire,8 (1 -- 417),8,135,1013,1,2,5,13,34,417,New confirmed cases by infection date,Likely increasing,0.084
East Sussex,8 (0 -- 65),8,23,116,0,3,5,11,19,65,New confirmed cases by infection date,Likely decreasing,0.71
"Kingston upon Hull, City of",8 (1 -- 46),8,14,26,1,4,6,10,15,46,New confirmed cases by infection date,Likely increasing,0.27
Wandsworth,8 (0 -- 26),8,12,94,0,4,6,9,12,26,New confirmed cases by infection date,Likely increasing,0.28
Westminster,8 (0 -- 64),8,18,47,0,3,6,11,18,64,New confirmed cases by infection date,Likely increasing,0.2
Wiltshire,8 (0 -- 111),8,36,216,0,2,5,12,23,111,New confirmed cases by infection date,Likely increasing,0.31
Aberdeenshire,7 (0 -- 1710),7,639,4607,0,3,5,9,24,1710,New confirmed cases by infection date,Likely increasing,0.19
Barking and Dagenham,7 (1 -- 16),7,8,7,1,5,6,8,9,16,New confirmed cases by infection date,Likely increasing,0.21
Blackburn with Darwen,7 (0 -- 48),7,14,24,0,3,5,9,15,48,New confirmed cases by infection date,Likely increasing,0.35
Brent,7 (1 -- 33),7,15,109,1,4,6,9,12,33,New confirmed cases by infection date,Likely increasing,0.24
Brighton and Hove,7 (1 -- 61),7,22,126,1,3,5,10,16,61,New confirmed cases by infection date,Likely increasing,0.14
Hillingdon,7 (1 -- 14),7,7,4,1,4,6,8,9,14,New confirmed cases by infection date,Likely increasing,0.23
Luton,7 (2 -- 17),7,8,6,2,5,6,8,9,17,New confirmed cases by infection date,Likely increasing,0.12
Northamptonshire,7 (2 -- 19),7,9,10,2,4,6,8,10,19,New confirmed cases by infection date,Stable,0.53
Sheffield,7 (1 -- 37),7,13,32,1,3,5,9,14,37,New confirmed cases by infection date,Stable,0.42
Bedford,6 (2 -- 24),6,10,14,2,5,6,7,10,24,New confirmed cases by infection date,Likely increasing,0.085
Camden,6 (0 -- 38),6,16,98,0,2,4,8,13,38,New confirmed cases by infection date,Likely increasing,0.33
Hammersmith and Fulham,6 (1 -- 96),6,37,309,1,3,4,9,17,96,New confirmed cases by infection date,Likely increasing,0.11
Haringey,6 (0 -- 29),6,10,14,0,3,5,8,12,29,New confirmed cases by infection date,Likely increasing,0.29
Havering,6 (1 -- 18),6,8,8,1,3,5,8,10,18,New confirmed cases by infection date,Stable,0.53
Oldham,6 (0 -- 85),6,26,144,0,2,4,8,15,85,New confirmed cases by infection date,Likely increasing,0.27
Portsmouth,6 (1 -- 18),6,8,22,1,4,5,7,9,18,New confirmed cases by infection date,Likely increasing,0.16
Shropshire,6 (1 -- 59),6,18,98,1,3,5,8,14,59,New confirmed cases by infection date,Likely increasing,0.16
