region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Northern Ireland,2020-11-29,,estimate based on partial data,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-11-30,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-01,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-02,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-03,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-04,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-05,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-06,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-07,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-08,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-09,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-10,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-11,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-12,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-12-13,,forecast,-0.08,-0.082,0.044,-0.156,-0.108,-0.091,-0.07,-0.054,-0.015
Northern Ireland,2020-11-28,,estimate based on partial data,-0.079,-0.081,0.041,-0.15,-0.105,-0.089,-0.07,-0.055,-0.019
Northern Ireland,2020-11-27,,estimate based on partial data,-0.078,-0.08,0.037,-0.144,-0.102,-0.086,-0.069,-0.055,-0.023
Northern Ireland,2020-11-26,,estimate based on partial data,-0.076,-0.078,0.034,-0.137,-0.098,-0.084,-0.069,-0.056,-0.027
Northern Ireland,2020-11-25,,estimate based on partial data,-0.074,-0.076,0.031,-0.132,-0.095,-0.082,-0.067,-0.055,-0.029
Northern Ireland,2020-11-24,,estimate based on partial data,-0.072,-0.074,0.029,-0.125,-0.091,-0.08,-0.066,-0.055,-0.031
Northern Ireland,2020-11-23,,estimate based on partial data,-0.07,-0.072,0.026,-0.118,-0.087,-0.077,-0.064,-0.054,-0.032
Northern Ireland,2020-11-22,,estimate based on partial data,-0.068,-0.069,0.023,-0.111,-0.083,-0.074,-0.063,-0.054,-0.034
Northern Ireland,2020-11-21,,estimate based on partial data,-0.066,-0.066,0.021,-0.103,-0.079,-0.07,-0.061,-0.052,-0.035
Northern Ireland,2020-11-20,,estimate based on partial data,-0.063,-0.063,0.019,-0.096,-0.075,-0.067,-0.058,-0.051,-0.035
Northern Ireland,2020-11-19,,estimate based on partial data,-0.06,-0.06,0.016,-0.089,-0.07,-0.064,-0.056,-0.049,-0.035
North East and Yorkshire,2020-11-28,,estimate based on partial data,-0.059,-0.059,0.021,-0.092,-0.072,-0.064,-0.055,-0.047,-0.023
North East and Yorkshire,2020-11-29,,estimate based on partial data,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-11-30,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-01,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-02,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-03,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-04,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-05,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-06,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-07,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-08,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-09,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-10,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-11,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-12,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-12-13,,forecast,-0.059,-0.059,0.024,-0.096,-0.074,-0.065,-0.055,-0.046,-0.02
North East and Yorkshire,2020-11-27,,estimate based on partial data,-0.059,-0.058,0.019,-0.089,-0.07,-0.063,-0.055,-0.047,-0.026
North East and Yorkshire,2020-11-26,,estimate based on partial data,-0.058,-0.058,0.017,-0.085,-0.068,-0.062,-0.054,-0.047,-0.029
North East and Yorkshire,2020-11-25,,estimate based on partial data,-0.057,-0.057,0.015,-0.081,-0.067,-0.061,-0.053,-0.047,-0.032
Northern Ireland,2020-11-18,,estimate,-0.056,-0.057,0.015,-0.082,-0.066,-0.06,-0.053,-0.047,-0.034
North East and Yorkshire,2020-11-24,,estimate based on partial data,-0.055,-0.056,0.014,-0.078,-0.065,-0.059,-0.052,-0.047,-0.034
North East and Yorkshire,2020-11-23,,estimate based on partial data,-0.054,-0.054,0.012,-0.074,-0.062,-0.057,-0.051,-0.046,-0.035
Northern Ireland,2020-11-17,,estimate,-0.053,-0.053,0.013,-0.075,-0.061,-0.056,-0.05,-0.045,-0.034
