Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,83 (52 -- 122),Unsure,0.9 (0.8 -- 1.1),-0.01 (-0.07 -- 0.03),-49.4 (27.6 -- -10.6)
England,813 (570 -- 1166),Unsure,0.8 (0.7 -- 1),-0.04 (-0.09 -- 0.01),-15.5 (109.9 -- -7.9)
London,134 (68 -- 259),Unsure,0.9 (0.7 -- 1.3),-0.02 (-0.1 -- 0.08),-41.7 (8.5 -- -7.1)
Midlands,183 (112 -- 286),Unsure,0.8 (0.6 -- 1),-0.05 (-0.1 -- 0.01),-13.8 (79.9 -- -6.6)
North East and Yorkshire,143 (89 -- 233),Unsure,0.8 (0.6 -- 1),-0.06 (-0.12 -- 0),-10.8 (449.5 -- -5.9)
North West,118 (76 -- 167),Unsure,0.8 (0.7 -- 1),-0.04 (-0.09 -- -0.01),-15.9 (-130.1 -- -7.7)
Northern Ireland,6 (1 -- 13),Unsure,0.6 (0.3 -- 0.8),-0.13 (-0.23 -- -0.06),-5.3 (-11.7 -- -3.1)
Scotland,52 (32 -- 80),Unsure,0.9 (0.7 -- 1.1),-0.02 (-0.08 -- 0.03),-27.9 (26.8 -- -8.9)
South East,135 (90 -- 192),Unsure,1 (0.8 -- 1.1),-0.01 (-0.06 -- 0.03),-56.7 (27.6 -- -12.4)
South West,76 (43 -- 132),Unsure,0.9 (0.7 -- 1.2),-0.03 (-0.09 -- 0.04),-22.2 (16.3 -- -7.8)
Wales,66 (45 -- 104),Unsure,1 (0.8 -- 1.2),-0.01 (-0.05 -- 0.04),-69.3 (16.7 -- -15.2)
