region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-10-05,,estimate,656,656,52,574,623,643,668,689,742
East of England,2020-10-06,,estimate,682,683,52,599,649,670,695,717,770
East of England,2020-10-07,,estimate,709,711,53,625,676,697,723,746,801
East of England,2020-10-08,,estimate,738,740,54,653,704,725,751,776,832
East of England,2020-10-09,,estimate,767,769,55,680,731,753,780,805,862
East of England,2020-10-10,,estimate,795,797,56,709,759,781,809,834,892
East of England,2020-10-11,,estimate,821,824,57,735,784,807,837,862,923
East of England,2020-10-12,,estimate,847,849,59,757,808,832,862,888,950
East of England,2020-10-13,,estimate,870,872,61,777,830,854,885,910,977
East of England,2020-10-14,,estimate,889,892,62,796,848,873,905,930,999
East of England,2020-10-15,,estimate,905,909,63,812,865,889,921,948,1018
East of England,2020-10-16,,estimate,919,922,63,827,879,903,934,962,1031
East of England,2020-10-17,,estimate,931,934,62,840,890,915,947,974,1040
East of England,2020-10-18,,estimate,941,944,62,848,900,927,958,984,1046
East of England,2020-10-19,,estimate,952,953,63,855,910,936,968,995,1057
East of England,2020-10-20,,estimate,962,964,64,860,919,946,979,1006,1070
East of England,2020-10-21,,estimate,975,975,67,867,929,958,991,1021,1088
East of England,2020-10-22,,estimate,990,990,71,873,942,970,1007,1038,1107
East of England,2020-10-23,,estimate,1008,1008,76,884,957,988,1026,1058,1133
East of England,2020-10-24,,estimate,1029,1030,79,899,976,1010,1049,1083,1161
East of England,2020-10-25,,estimate,1056,1056,82,922,1000,1036,1075,1110,1192
East of England,2020-10-26,,estimate,1086,1086,83,952,1031,1065,1107,1141,1223
East of England,2020-10-27,,estimate,1120,1121,83,987,1064,1099,1142,1177,1260
East of England,2020-10-28,,estimate,1158,1159,82,1024,1104,1138,1178,1213,1297
East of England,2020-10-29,,estimate,1196,1199,81,1068,1145,1179,1218,1252,1335
East of England,2020-10-30,,estimate,1239,1240,81,1109,1185,1217,1258,1291,1374
East of England,2020-10-31,,estimate,1276,1279,82,1147,1223,1256,1297,1329,1420
East of England,2020-11-01,,estimate,1310,1314,86,1179,1256,1290,1331,1366,1464
East of England,2020-11-02,,estimate,1339,1343,91,1201,1281,1315,1360,1398,1504
East of England,2020-11-03,,estimate,1359,1364,96,1218,1298,1333,1380,1420,1532
East of England,2020-11-04,,estimate,1367,1374,99,1226,1305,1343,1390,1434,1547
East of England,2020-11-05,,estimate,1365,1373,101,1223,1303,1341,1389,1434,1552
East of England,2020-11-06,,estimate,1352,1361,100,1211,1293,1330,1378,1421,1538
East of England,2020-11-07,,estimate,1330,1338,97,1193,1272,1307,1355,1399,1504
East of England,2020-11-08,,estimate,1300,1306,92,1167,1243,1277,1324,1364,1462
East of England,2020-11-09,,estimate,1262,1268,87,1135,1207,1240,1285,1323,1418
