region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
South West,2020-09-06,,estimate,55,56,12,38,48,53,59,64,78
South West,2020-09-05,,estimate,58,59,13,40,50,55,61,67,81
South West,2020-09-13,,estimate,61,62,13,43,53,58,65,71,85
South West,2020-09-12,,estimate,65,65,13,45,56,61,68,74,89
Northern Ireland,2020-09-06,,estimate,68,68,13,48,59,64,71,77,91
Northern Ireland,2020-09-05,,estimate,71,72,14,50,62,68,75,81,96
South West,2020-09-11,,estimate,83,84,16,60,73,80,87,95,113
East of England,2020-09-05,,estimate,84,85,15,62,75,80,88,94,110
South West,2020-09-08,,estimate,85,85,17,58,74,80,89,96,115
East of England,2020-09-06,,estimate,85,86,15,63,75,82,89,95,111
South West,2020-09-10,,estimate,85,86,17,61,74,80,89,96,115
Northern Ireland,2020-09-13,,estimate,86,87,15,63,76,82,90,97,113
South West,2020-09-09,,estimate,87,88,17,61,76,82,91,99,117
Northern Ireland,2020-09-07,,estimate,88,90,17,64,78,84,93,100,118
Northern Ireland,2020-09-08,,estimate,90,91,17,65,79,85,94,102,120
South West,2020-09-07,,estimate,90,91,18,64,79,86,95,103,122
Northern Ireland,2020-09-12,,estimate,91,92,16,67,80,87,95,102,120
South West,2020-09-20,,estimate,91,92,17,65,80,87,95,103,123
South West,2020-09-19,,estimate,91,93,17,66,80,87,96,104,123
Northern Ireland,2020-09-11,,estimate,93,94,17,68,82,89,97,105,122
East of England,2020-09-13,,estimate,95,96,16,72,85,91,99,106,124
East of England,2020-09-12,,estimate,96,97,16,73,86,92,100,107,124
South West,2020-09-15,,estimate,97,98,18,70,85,93,102,110,131
Northern Ireland,2020-09-10,,estimate,97,98,18,71,85,92,101,109,129
Northern Ireland,2020-09-09,,estimate,100,101,18,73,88,96,105,112,133
South West,2020-09-14,,estimate,101,102,20,72,88,96,106,114,137
South West,2020-09-16,,estimate,105,106,20,76,92,100,110,119,140
South West,2020-09-17,,estimate,108,109,20,79,95,103,113,122,144
Wales,2020-09-05,,estimate,109,110,17,84,98,105,114,121,138
South West,2020-09-18,,estimate,112,113,21,81,99,107,118,127,149
Wales,2020-09-06,,estimate,114,114,17,87,103,109,118,125,142
South East,2020-09-13,,estimate,114,115,20,83,101,109,119,128,149
Northern Ireland,2020-09-14,,estimate,114,115,20,84,101,109,119,128,150
Scotland,2020-09-05,,estimate,118,119,20,89,105,113,123,132,154
East of England,2020-09-19,,estimate,119,120,19,90,107,115,124,133,155
Northern Ireland,2020-09-15,,estimate,119,120,20,89,105,114,124,133,155
East of England,2020-09-20,,estimate,121,122,19,93,109,117,126,135,156
Scotland,2020-09-06,,estimate,122,123,21,92,109,117,127,136,160
South East,2020-09-06,,estimate,124,125,23,90,110,118,130,139,165
South East,2020-09-12,,estimate,125,127,22,92,111,120,131,141,165
East of England,2020-09-11,,estimate,132,133,21,101,119,127,137,146,170
South East,2020-09-05,,estimate,132,133,23,97,116,126,138,148,173
Northern Ireland,2020-09-18,,estimate,134,135,23,101,119,129,140,150,175
East of England,2020-09-09,,estimate,135,136,22,102,121,129,140,149,172
East of England,2020-09-10,,estimate,135,136,22,102,121,130,140,150,173
Northern Ireland,2020-09-20,,estimate,135,136,23,101,120,129,141,150,176
Northern Ireland,2020-09-19,,estimate,136,137,22,103,122,130,142,152,176
Northern Ireland,2020-09-17,,estimate,136,137,24,100,121,130,142,151,177
Northern Ireland,2020-09-16,,estimate,136,138,23,101,122,131,142,152,177
East of England,2020-09-08,,estimate,138,140,22,105,124,133,144,154,179
Wales,2020-09-12,,estimate,139,140,19,110,126,135,145,153,173
South East,2020-09-20,,estimate,139,140,24,103,124,133,145,155,181
South East,2020-09-19,,estimate,142,144,25,105,126,136,148,160,188
East of England,2020-09-07,,estimate,145,147,23,111,130,140,151,162,184
Wales,2020-09-13,,estimate,146,147,21,115,132,141,151,159,182
East of England,2020-09-16,,estimate,153,154,24,117,138,147,159,168,196
East of England,2020-09-15,,estimate,155,156,23,119,140,150,160,171,197
East of England,2020-09-17,,estimate,157,159,24,121,142,152,163,174,200
Wales,2020-09-07,,estimate,158,159,22,124,144,153,165,174,197
East of England,2020-09-18,,estimate,158,160,24,122,144,153,165,175,202
South West,2020-09-21,,estimate,159,160,28,116,141,152,165,177,208
South West,2020-09-22,,estimate,160,161,29,116,141,153,167,179,211
East of England,2020-09-14,,estimate,162,163,24,125,146,156,168,178,204
Wales,2020-09-08,,estimate,162,164,23,128,148,157,168,178,204
