region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-09-24,,estimate,0.066,0.066,0.029,0.018,0.046,0.058,0.073,0.085,0.115
East of England,2020-09-25,,estimate,0.066,0.066,0.025,0.026,0.048,0.059,0.071,0.082,0.107
East of England,2020-09-26,,estimate,0.064,0.065,0.021,0.031,0.05,0.059,0.07,0.079,0.098
East of England,2020-09-27,,estimate,0.063,0.063,0.018,0.035,0.051,0.059,0.067,0.076,0.092
East of England,2020-09-28,,estimate,0.062,0.062,0.015,0.037,0.052,0.058,0.065,0.072,0.086
East of England,2020-09-29,,estimate,0.06,0.06,0.013,0.039,0.051,0.057,0.063,0.069,0.082
East of England,2020-09-30,,estimate,0.058,0.058,0.012,0.039,0.05,0.056,0.061,0.066,0.078
East of England,2020-10-01,,estimate,0.056,0.056,0.011,0.038,0.049,0.053,0.059,0.064,0.074
East of England,2020-10-02,,estimate,0.054,0.054,0.011,0.036,0.047,0.052,0.057,0.062,0.073
East of England,2020-10-03,,estimate,0.052,0.052,0.011,0.034,0.045,0.049,0.055,0.059,0.071
East of England,2020-10-04,,estimate,0.05,0.05,0.011,0.032,0.043,0.047,0.053,0.057,0.069
East of England,2020-10-05,,estimate,0.048,0.048,0.011,0.03,0.041,0.045,0.051,0.055,0.066
East of England,2020-10-06,,estimate,0.046,0.046,0.011,0.029,0.039,0.043,0.048,0.053,0.064
East of England,2020-10-07,,estimate,0.044,0.044,0.011,0.027,0.037,0.041,0.046,0.051,0.062
East of England,2020-10-08,,estimate,0.042,0.042,0.01,0.026,0.035,0.039,0.044,0.048,0.06
East of England,2020-10-09,,estimate,0.039,0.04,0.01,0.023,0.033,0.037,0.042,0.046,0.058
East of England,2020-10-10,,estimate,0.037,0.037,0.01,0.022,0.031,0.034,0.039,0.044,0.055
East of England,2020-10-11,,estimate,0.035,0.035,0.01,0.019,0.028,0.032,0.037,0.041,0.053
East of England,2020-10-12,,estimate,0.032,0.033,0.01,0.017,0.026,0.03,0.035,0.039,0.051
East of England,2020-10-13,,estimate,0.03,0.03,0.01,0.014,0.023,0.027,0.032,0.036,0.048
East of England,2020-10-14,,estimate,0.027,0.028,0.01,0.011,0.021,0.025,0.03,0.034,0.045
East of England,2020-10-15,,estimate,0.025,0.025,0.01,0.009,0.018,0.022,0.028,0.032,0.042
East of England,2020-10-16,,estimate,0.023,0.023,0.01,0.006,0.016,0.02,0.025,0.03,0.039
East of England,2020-10-17,,estimate,0.021,0.021,0.01,0.003,0.014,0.018,0.024,0.028,0.037
East of England,2020-10-18,,estimate,0.02,0.019,0.011,0.001,0.012,0.017,0.022,0.026,0.035
East of England,2020-10-19,,estimate,0.018,0.018,0.011,-0.001,0.011,0.016,0.021,0.025,0.034
East of England,2020-10-20,,estimate,0.018,0.017,0.011,-0.002,0.01,0.015,0.021,0.025,0.034
East of England,2020-10-21,,estimate,0.018,0.017,0.012,-0.003,0.01,0.015,0.021,0.025,0.034
East of England,2020-10-22,,estimate,0.019,0.018,0.012,-0.003,0.011,0.016,0.021,0.026,0.034
East of England,2020-10-23,,estimate,0.02,0.019,0.011,-0.002,0.012,0.017,0.022,0.027,0.035
