region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
United Kingdom,28814 (16012 -- 51015),28814,30681,11383,16012,22716,26526,31478,36730,51015,New confirmed cases by infection date,Unsure
England,24197 (12602 -- 45430),24197,25967,10715,12602,18669,22048,26357,30912,45430,New confirmed cases by infection date,Unsure
London,6542 (3426 -- 12356),6542,7071,3062,3426,5058,5920,7230,8444,12356,New confirmed cases by infection date,Unsure
South East,4447 (2140 -- 9201),4447,4916,2396,2140,3316,3977,4932,5931,9201,New confirmed cases by infection date,Unsure
Wales,3790 (1945 -- 6707),3790,3989,1480,1945,2953,3456,4166,4808,6707,New confirmed cases by infection date,Unsure
East of England,3789 (1931 -- 7245),3789,4075,1711,1931,2867,3402,4150,4921,7245,New confirmed cases by infection date,Unsure
Midlands,3704 (1831 -- 7870),3704,4147,2060,1831,2753,3318,4178,5005,7870,New confirmed cases by infection date,Unsure
North East and Yorkshire,2338 (1063 -- 5039),2338,2615,1396,1063,1725,2086,2625,3145,5039,New confirmed cases by infection date,Unsure
North West,1722 (942 -- 2876),1722,1793,603,942,1386,1591,1855,2122,2876,New confirmed cases by infection date,Unsure
Scotland,1162 (786 -- 1801),1162,1210,324,786,979,1088,1234,1379,1801,New confirmed cases by infection date,Unsure
South West,1125 (428 -- 2911),1125,1324,885,428,764,977,1289,1616,2911,New confirmed cases by infection date,Unsure
Northern Ireland,356 (140 -- 789),356,398,214,140,249,313,407,502,789,New confirmed cases by infection date,Unsure
East of England,1.3 (0.9 -- 1.9),1.3,1.4,0.31,0.9,1.1,1.3,1.4,1.5,1.9,Effective reproduction no.,Unsure
London,1.3 (0.9 -- 1.8),1.3,1.3,0.3,0.9,1.1,1.2,1.4,1.5,1.8,Effective reproduction no.,Unsure
South West,1.3 (0.72 -- 2.1),1.3,1.3,0.45,0.72,1,1.2,1.4,1.5,2.1,Effective reproduction no.,Unsure
England,1.2 (0.84 -- 1.8),1.2,1.3,0.29,0.84,1.1,1.2,1.3,1.4,1.8,Effective reproduction no.,Unsure
Midlands,1.2 (0.81 -- 1.8),1.2,1.3,0.32,0.81,1,1.1,1.3,1.4,1.8,Effective reproduction no.,Unsure
North East and Yorkshire,1.2 (0.74 -- 1.8),1.2,1.2,0.34,0.74,1,1.1,1.3,1.4,1.8,Effective reproduction no.,Unsure
Scotland,1.2 (0.98 -- 1.4),1.2,1.2,0.14,0.98,1.1,1.1,1.2,1.3,1.4,Effective reproduction no.,Unsure
South East,1.2 (0.78 -- 1.8),1.2,1.2,0.32,0.78,1,1.1,1.3,1.4,1.8,Effective reproduction no.,Unsure
United Kingdom,1.2 (0.86 -- 1.7),1.2,1.2,0.26,0.86,1.1,1.2,1.3,1.4,1.7,Effective reproduction no.,Unsure
Wales,1.2 (0.8 -- 1.6),1.2,1.2,0.25,0.8,1,1.1,1.2,1.3,1.6,Effective reproduction no.,Unsure
North West,1.1 (0.79 -- 1.4),1.1,1.1,0.2,0.79,0.98,1.1,1.1,1.2,1.4,Effective reproduction no.,Unsure
Northern Ireland,0.83 (0.47 -- 1.3),0.83,0.85,0.26,0.47,0.67,0.77,0.89,1,1.3,Effective reproduction no.,Unsure
