Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,1110 (592 -- 2615),Unsure,1.1 (0.8 -- 1.7),0.02 (-0.06 -- 0.17),37.8 (4.2 -- -11.5)
England,9005 (4978 -- 20518),Unsure,1 (0.7 -- 1.5),-0.01 (-0.08 -- 0.12),-58.4 (5.7 -- -8.3)
London,3493 (1464 -- 9095),Unsure,1.3 (0.8 -- 2.2),0.09 (-0.04 -- 0.29),8 (2.4 -- -15.9)
Midlands,1272 (689 -- 2614),Unsure,0.8 (0.6 -- 1.1),-0.07 (-0.13 -- 0.03),-10.5 (20.3 -- -5.3)
North East and Yorkshire,967 (489 -- 2287),Unsure,0.8 (0.6 -- 1.3),-0.05 (-0.13 -- 0.08),-13.1 (8.8 -- -5.3)
North West,766 (493 -- 1342),Unsure,0.8 (0.7 -- 1.1),-0.05 (-0.1 -- 0.02),-13.4 (28.9 -- -6.9)
Northern Ireland,326 (169 -- 702),Unsure,1 (0.7 -- 1.5),0.01 (-0.08 -- 0.13),136.8 (5.4 -- -9.2)
Scotland,458 (285 -- 702),Unsure,0.8 (0.6 -- 1),-0.05 (-0.1 -- -0.01),-12.9 (-110.1 -- -6.7)
South East,2260 (1032 -- 5854),Unsure,1.2 (0.8 -- 1.9),0.04 (-0.07 -- 0.22),17.1 (3.2 -- -10.7)
South West,414 (166 -- 1424),Unsure,0.9 (0.5 -- 1.7),-0.03 (-0.13 -- 0.17),-21.3 (4.1 -- -5.2)
United Kingdom,10792 (6365 -- 22670),Unsure,1 (0.7 -- 1.4),-0.01 (-0.08 -- 0.1),-50.9 (6.8 -- -8.9)
Wales,1382 (733 -- 2519),Unsure,1.1 (0.8 -- 1.5),0.02 (-0.07 -- 0.13),31.5 (5.4 -- -9.9)
