source,region,date,strat,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
admissions,East of England,2020-09-15,,1.1,1.1,0.12,0.97,1.1,1.1,1.2,1.2,1.3
admissions,East of England,2020-09-16,,1.1,1.2,0.1,0.99,1.1,1.1,1.2,1.2,1.3
admissions,East of England,2020-09-17,,1.2,1.2,0.094,1,1.1,1.1,1.2,1.2,1.3
admissions,East of England,2020-09-18,,1.2,1.2,0.084,1,1.1,1.1,1.2,1.2,1.3
admissions,East of England,2020-09-19,,1.2,1.2,0.076,1,1.1,1.1,1.2,1.2,1.3
admissions,East of England,2020-09-20,,1.2,1.2,0.068,1.1,1.1,1.1,1.2,1.2,1.3
admissions,East of England,2020-09-21,,1.2,1.2,0.062,1.1,1.1,1.1,1.2,1.2,1.3
admissions,East of England,2020-09-22,,1.2,1.2,0.057,1.1,1.1,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-23,,1.2,1.2,0.054,1.1,1.1,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-24,,1.2,1.2,0.051,1.1,1.1,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-25,,1.2,1.2,0.049,1.1,1.1,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-26,,1.2,1.2,0.047,1.1,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-27,,1.2,1.2,0.046,1.1,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-28,,1.2,1.2,0.046,1.1,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-29,,1.2,1.2,0.045,1.1,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-09-30,,1.2,1.2,0.045,1.1,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-10-01,,1.2,1.2,0.044,1.1,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-10-02,,1.2,1.2,0.043,1.2,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-10-03,,1.2,1.2,0.042,1.2,1.2,1.2,1.2,1.3,1.3
admissions,East of England,2020-10-04,,1.2,1.2,0.041,1.2,1.2,1.2,1.2,1.3,1.3
admissions,East of England,2020-10-05,,1.2,1.2,0.041,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-06,,1.3,1.3,0.041,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-07,,1.3,1.3,0.042,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-08,,1.3,1.3,0.043,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-09,,1.3,1.3,0.044,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-10,,1.3,1.3,0.045,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-11,,1.3,1.3,0.044,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-12,,1.3,1.3,0.044,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-13,,1.2,1.3,0.042,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-14,,1.2,1.2,0.04,1.2,1.2,1.2,1.3,1.3,1.3
admissions,East of England,2020-10-15,,1.2,1.2,0.039,1.2,1.2,1.2,1.2,1.3,1.3
admissions,East of England,2020-10-16,,1.2,1.2,0.037,1.2,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-10-17,,1.2,1.2,0.036,1.2,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-10-18,,1.2,1.2,0.035,1.1,1.2,1.2,1.2,1.2,1.3
admissions,East of England,2020-10-19,,1.2,1.2,0.035,1.1,1.2,1.2,1.2,1.2,1.2
admissions,East of England,2020-10-20,,1.2,1.2,0.036,1.1,1.2,1.2,1.2,1.2,1.2
admissions,East of England,2020-10-21,,1.2,1.2,0.036,1.1,1.2,1.2,1.2,1.2,1.2
admissions,East of England,2020-10-22,,1.2,1.2,0.037,1.1,1.1,1.2,1.2,1.2,1.2
admissions,East of England,2020-10-23,,1.2,1.2,0.038,1.1,1.1,1.1,1.2,1.2,1.2
admissions,East of England,2020-10-24,,1.1,1.1,0.037,1.1,1.1,1.1,1.2,1.2,1.2
admissions,East of England,2020-10-25,,1.1,1.1,0.037,1.1,1.1,1.1,1.1,1.2,1.2
admissions,East of England,2020-10-26,,1.1,1.1,0.035,1.1,1.1,1.1,1.1,1.2,1.2
admissions,East of England,2020-10-27,,1.1,1.1,0.033,1.1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-10-28,,1.1,1.1,0.032,1.1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-10-29,,1.1,1.1,0.03,1.1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-10-30,,1.1,1.1,0.03,1.1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-10-31,,1.1,1.1,0.03,1.1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-11-01,,1.1,1.1,0.032,1.1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-11-02,,1.1,1.1,0.034,1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-11-03,,1.1,1.1,0.037,1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-11-04,,1.1,1.1,0.039,1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-11-05,,1.1,1.1,0.04,1,1,1.1,1.1,1.1,1.1
admissions,East of England,2020-11-06,,1.1,1.1,0.039,1,1,1.1,1.1,1.1,1.1
admissions,East of England,2020-11-07,,1.1,1.1,0.038,1,1,1,1.1,1.1,1.1
admissions,East of England,2020-11-08,,1,1,0.036,1,1,1,1,1.1,1.1
admissions,East of England,2020-11-09,,1,1,0.033,0.99,1,1,1,1.1,1.1
admissions,East of England,2020-11-10,,1,1,0.031,0.98,1,1,1,1,1.1
admissions,East of England,2020-11-11,,1,1,0.03,0.97,1,1,1,1,1.1
admissions,East of England,2020-11-12,,1,1,0.03,0.96,0.99,1,1,1,1.1
admissions,East of England,2020-11-13,,1,1,0.031,0.95,0.98,0.99,1,1,1
admissions,East of England,2020-11-14,,1,1,0.034,0.94,0.97,0.99,1,1,1
admissions,East of England,2020-11-15,,0.99,0.99,0.037,0.93,0.97,0.99,1,1,1
admissions,East of England,2020-11-16,,0.99,0.99,0.039,0.92,0.97,0.98,1,1,1
admissions,East of England,2020-11-17,,0.99,0.99,0.041,0.92,0.96,0.98,1,1,1
admissions,East of England,2020-11-18,,1,0.99,0.043,0.92,0.97,0.99,1,1,1.1
admissions,East of England,2020-11-19,,1,1,0.043,0.92,0.97,0.99,1,1,1.1
admissions,East of England,2020-11-20,,1,1,0.043,0.93,0.98,1,1,1,1.1
admissions,East of England,2020-11-21,,1,1,0.041,0.94,0.99,1,1,1,1.1
admissions,East of England,2020-11-22,,1,1,0.039,0.96,1,1,1,1.1,1.1
admissions,East of England,2020-11-23,,1.1,1.1,0.037,0.98,1,1,1.1,1.1,1.1
admissions,East of England,2020-11-24,,1.1,1.1,0.035,1,1,1.1,1.1,1.1,1.1
admissions,East of England,2020-11-25,,1.1,1.1,0.034,1,1.1,1.1,1.1,1.1,1.1
admissions,East of England,2020-11-26,,1.1,1.1,0.037,1.1,1.1,1.1,1.1,1.1,1.2
admissions,East of England,2020-11-27,,1.1,1.1,0.043,1.1,1.1,1.1,1.2,1.2,1.2
admissions,England,2020-09-15,,1.1,1.1,0.067,0.96,1,1.1,1.1,1.1,1.2
admissions,England,2020-09-16,,1.1,1.1,0.054,0.98,1,1.1,1.1,1.1,1.2
admissions,England,2020-09-17,,1.1,1.1,0.044,1,1,1.1,1.1,1.1,1.1
admissions,England,2020-09-18,,1.1,1.1,0.036,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-09-19,,1.1,1.1,0.032,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-09-20,,1.1,1.1,0.03,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-09-21,,1.1,1.1,0.028,1.1,1.1,1.1,1.1,1.1,1.2
admissions,England,2020-09-22,,1.1,1.1,0.028,1.1,1.1,1.1,1.1,1.1,1.2
admissions,England,2020-09-23,,1.1,1.1,0.027,1.1,1.1,1.1,1.1,1.2,1.2
admissions,England,2020-09-24,,1.2,1.2,0.025,1.1,1.1,1.1,1.2,1.2,1.2
admissions,England,2020-09-25,,1.2,1.2,0.024,1.1,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-09-26,,1.2,1.2,0.024,1.2,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-09-27,,1.2,1.2,0.024,1.2,1.2,1.2,1.2,1.2,1.3
admissions,England,2020-09-28,,1.2,1.2,0.025,1.2,1.2,1.2,1.2,1.2,1.3
admissions,England,2020-09-29,,1.2,1.2,0.025,1.2,1.2,1.2,1.2,1.2,1.3
admissions,England,2020-09-30,,1.2,1.2,0.026,1.2,1.2,1.2,1.3,1.3,1.3
admissions,England,2020-10-01,,1.3,1.2,0.026,1.2,1.2,1.2,1.3,1.3,1.3
admissions,England,2020-10-02,,1.2,1.2,0.025,1.2,1.2,1.2,1.3,1.3,1.3
admissions,England,2020-10-03,,1.2,1.2,0.023,1.2,1.2,1.2,1.3,1.3,1.3
admissions,England,2020-10-04,,1.2,1.2,0.022,1.2,1.2,1.2,1.2,1.3,1.3
admissions,England,2020-10-05,,1.2,1.2,0.022,1.2,1.2,1.2,1.2,1.2,1.3
admissions,England,2020-10-06,,1.2,1.2,0.022,1.2,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-07,,1.2,1.2,0.023,1.2,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-08,,1.2,1.2,0.024,1.2,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-09,,1.2,1.2,0.024,1.1,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-10,,1.2,1.2,0.023,1.1,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-11,,1.2,1.2,0.021,1.1,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-12,,1.2,1.2,0.02,1.2,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-13,,1.2,1.2,0.02,1.2,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-14,,1.2,1.2,0.02,1.1,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-15,,1.2,1.2,0.021,1.1,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-16,,1.2,1.2,0.022,1.1,1.2,1.2,1.2,1.2,1.2
admissions,England,2020-10-17,,1.2,1.2,0.023,1.1,1.1,1.2,1.2,1.2,1.2
admissions,England,2020-10-18,,1.2,1.2,0.023,1.1,1.1,1.1,1.2,1.2,1.2
admissions,England,2020-10-19,,1.1,1.1,0.022,1.1,1.1,1.1,1.1,1.2,1.2
admissions,England,2020-10-20,,1.1,1.1,0.021,1.1,1.1,1.1,1.1,1.1,1.2
admissions,England,2020-10-21,,1.1,1.1,0.019,1.1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-10-22,,1.1,1.1,0.018,1.1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-10-23,,1.1,1.1,0.018,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-10-24,,1.1,1.1,0.019,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-10-25,,1.1,1.1,0.021,1,1,1.1,1.1,1.1,1.1
admissions,England,2020-10-26,,1,1,0.023,1,1,1,1.1,1.1,1.1
admissions,England,2020-10-27,,1,1,0.023,1,1,1,1.1,1.1,1.1
admissions,England,2020-10-28,,1,1,0.023,1,1,1,1.1,1.1,1.1
admissions,England,2020-10-29,,1,1,0.021,1,1,1,1.1,1.1,1.1
admissions,England,2020-10-30,,1.1,1.1,0.019,1,1,1,1.1,1.1,1.1
admissions,England,2020-10-31,,1.1,1.1,0.016,1,1,1.1,1.1,1.1,1.1
admissions,England,2020-11-01,,1.1,1.1,0.016,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-11-02,,1.1,1.1,0.019,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-11-03,,1.1,1.1,0.023,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-11-04,,1.1,1.1,0.027,1,1.1,1.1,1.1,1.1,1.1
admissions,England,2020-11-05,,1.1,1.1,0.03,1,1,1.1,1.1,1.1,1.1
admissions,England,2020-11-06,,1.1,1.1,0.03,1,1,1,1.1,1.1,1.1
admissions,England,2020-11-07,,1,1,0.028,1,1,1,1,1.1,1.1
admissions,England,2020-11-08,,1,1,0.024,0.98,1,1,1,1,1.1
admissions,England,2020-11-09,,1,1,0.019,0.97,0.98,0.99,1,1,1
admissions,England,2020-11-10,,0.98,0.97,0.016,0.95,0.96,0.97,0.98,0.98,1
admissions,England,2020-11-11,,0.95,0.95,0.016,0.93,0.94,0.94,0.95,0.96,0.98
admissions,England,2020-11-12,,0.93,0.93,0.019,0.9,0.91,0.92,0.93,0.94,0.96
admissions,England,2020-11-13,,0.91,0.91,0.023,0.87,0.89,0.9,0.92,0.93,0.94
admissions,England,2020-11-14,,0.9,0.89,0.026,0.85,0.87,0.89,0.9,0.91,0.93
admissions,England,2020-11-15,,0.88,0.88,0.028,0.83,0.86,0.88,0.89,0.9,0.92
admissions,England,2020-11-16,,0.88,0.87,0.028,0.83,0.85,0.87,0.88,0.89,0.92
admissions,England,2020-11-17,,0.87,0.87,0.027,0.83,0.85,0.87,0.88,0.89,0.91
admissions,England,2020-11-18,,0.88,0.88,0.025,0.84,0.85,0.87,0.88,0.89,0.92
admissions,England,2020-11-19,,0.88,0.88,0.022,0.85,0.87,0.88,0.89,0.9,0.92
admissions,England,2020-11-20,,0.9,0.9,0.019,0.87,0.88,0.89,0.9,0.91,0.93
admissions,England,2020-11-21,,0.91,0.91,0.017,0.89,0.9,0.91,0.92,0.92,0.94
admissions,England,2020-11-22,,0.94,0.94,0.017,0.91,0.92,0.93,0.94,0.95,0.96
admissions,England,2020-11-23,,0.96,0.96,0.019,0.93,0.95,0.95,0.97,0.97,0.99
admissions,England,2020-11-24,,0.98,0.98,0.022,0.95,0.97,0.98,0.99,1,1
admissions,England,2020-11-25,,1,1,0.025,0.97,0.99,1,1,1,1.1
admissions,England,2020-11-26,,1,1,0.027,1,1,1,1,1.1,1.1
admissions,England,2020-11-27,,1.1,1.1,0.028,1,1,1.1,1.1,1.1,1.1
admissions,London,2020-09-15,,0.93,0.93,0.1,0.77,0.86,0.9,0.95,0.99,1.1
admissions,London,2020-09-16,,0.93,0.93,0.085,0.79,0.87,0.9,0.95,0.98,1.1
admissions,London,2020-09-17,,0.93,0.93,0.072,0.81,0.88,0.91,0.95,0.98,1.1
admissions,London,2020-09-18,,0.93,0.93,0.062,0.84,0.89,0.92,0.95,0.97,1
admissions,London,2020-09-19,,0.94,0.94,0.054,0.85,0.9,0.93,0.95,0.98,1
