region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
East of England,2020-09-26,,estimate,4,4,1,3,3,4,4,4,5
East of England,2020-09-27,,estimate,4,4,1,3,4,4,4,5,5
East of England,2020-09-28,,estimate,4,4,1,3,4,4,5,5,6
East of England,2020-09-29,,estimate,5,5,1,4,4,5,5,5,6
East of England,2020-09-30,,estimate,5,5,1,4,5,5,5,6,7
East of England,2020-10-01,,estimate,6,6,1,4,5,6,6,6,7
East of England,2020-10-02,,estimate,6,6,1,5,6,6,6,7,8
East of England,2020-10-03,,estimate,7,7,1,5,6,7,7,7,8
East of England,2020-10-04,,estimate,7,7,1,6,7,7,8,8,9
East of England,2020-10-05,,estimate,8,8,1,7,7,8,8,9,10
East of England,2020-10-06,,estimate,9,9,1,7,8,9,9,9,10
East of England,2020-10-07,,estimate,10,10,1,8,9,9,10,10,11
East of England,2020-10-08,,estimate,10,10,1,9,10,10,11,11,12
East of England,2020-10-09,,estimate,11,11,1,9,10,11,11,12,13
East of England,2020-10-10,,estimate,12,12,1,10,11,12,12,13,14
East of England,2020-10-11,,estimate,13,13,1,11,12,13,13,14,15
East of England,2020-10-12,,estimate,14,14,1,12,13,13,14,15,16
East of England,2020-10-13,,estimate,15,15,1,13,14,14,15,16,17
East of England,2020-10-14,,estimate,15,16,2,13,15,15,16,17,18
East of England,2020-10-15,,estimate,16,16,2,14,15,16,17,17,19
East of England,2020-10-16,,estimate,17,17,2,15,16,17,17,18,20
East of England,2020-10-17,,estimate,18,18,2,15,17,17,18,19,21
East of England,2020-10-18,,estimate,18,19,2,16,17,18,19,20,22
East of England,2020-10-19,,estimate,19,19,2,16,18,19,20,20,23
East of England,2020-10-20,,estimate,20,20,2,17,18,19,20,21,23
East of England,2020-10-21,,estimate,20,20,2,17,19,20,20,21,23
East of England,2020-10-22,,estimate,20,21,2,18,19,20,21,22,24
East of England,2020-10-23,,estimate,21,21,2,18,20,20,21,22,24
East of England,2020-10-24,,estimate,21,21,2,18,20,20,21,22,24
East of England,2020-10-25,,estimate,21,21,2,19,20,21,22,22,24
East of England,2020-10-26,,estimate,21,21,2,19,20,21,22,22,24
East of England,2020-10-27,,estimate,21,21,2,19,20,21,22,22,24
East of England,2020-10-28,,estimate,21,21,2,19,20,21,22,23,24
East of England,2020-10-29,,estimate,22,22,2,19,20,21,22,23,24
East of England,2020-10-30,,estimate,22,22,2,19,20,21,22,23,24
East of England,2020-10-31,,estimate,22,22,2,19,21,21,22,23,24
East of England,2020-11-01,,estimate,22,22,2,19,21,21,22,23,24
East of England,2020-11-02,,estimate,22,22,2,19,21,21,22,23,25
East of England,2020-11-03,,estimate,22,22,2,19,21,21,22,23,25
East of England,2020-11-04,,estimate,22,22,2,19,21,22,23,23,25
East of England,2020-11-05,,estimate,22,22,2,19,21,22,23,23,25
East of England,2020-11-06,,estimate,22,22,2,19,21,22,23,24,25
East of England,2020-11-07,,estimate,23,23,2,19,21,22,23,24,26
East of England,2020-11-08,,estimate,23,23,2,20,22,22,23,24,26
East of England,2020-11-09,,estimate,23,23,2,20,22,23,24,24,26
East of England,2020-11-10,,estimate,24,24,2,20,22,23,24,25,27
East of England,2020-11-11,,estimate,24,24,2,21,23,23,24,25,27
East of England,2020-11-12,,estimate,24,24,2,21,23,24,25,26,28
East of England,2020-11-13,,estimate,25,25,2,22,24,24,25,26,28
East of England,2020-11-14,,estimate,25,25,2,22,24,25,26,27,29
East of England,2020-11-15,,estimate,26,26,2,23,25,25,26,27,29
East of England,2020-11-16,,estimate,27,27,2,23,25,26,27,28,30
East of England,2020-11-17,,estimate,27,27,2,24,26,27,28,29,31
East of England,2020-11-18,,estimate,28,28,2,25,26,27,28,29,32
East of England,2020-11-19,,estimate,28,29,2,25,27,28,29,30,32
East of England,2020-11-20,,estimate,29,29,2,26,28,29,30,31,33
East of England,2020-11-21,,estimate,30,30,2,26,28,29,30,32,34
East of England,2020-11-22,,estimate,31,31,3,27,29,30,31,32,35
East of England,2020-11-23,,estimate,31,32,3,28,30,31,32,33,36
East of England,2020-11-24,,estimate,32,32,3,28,30,31,33,34,37
East of England,2020-11-25,,estimate,33,33,3,29,31,32,33,35,38
East of England,2020-11-26,,estimate,33,34,3,29,32,33,34,35,39
East of England,2020-11-27,,estimate,34,34,3,30,32,33,35,36,40
East of England,2020-11-28,,estimate,35,35,3,30,33,34,35,37,40
East of England,2020-11-29,,estimate,35,35,3,31,33,34,36,37,41
East of England,2020-11-30,,estimate based on partial data,36,36,3,31,34,35,36,38,41
East of England,2020-12-01,,estimate based on partial data,36,36,3,31,34,35,37,38,42
East of England,2020-12-02,,estimate based on partial data,36,37,3,31,34,36,37,39,42
East of England,2020-12-03,,estimate based on partial data,37,37,3,31,34,36,38,39,43
East of England,2020-12-04,,estimate based on partial data,37,37,4,31,34,36,38,39,43
East of England,2020-12-05,,estimate based on partial data,37,37,4,30,34,36,38,40,44
East of England,2020-12-06,,estimate based on partial data,37,37,5,29,34,36,38,40,45
East of England,2020-12-07,,estimate based on partial data,37,37,6,28,33,36,39,41,47
East of England,2020-12-08,,estimate based on partial data,37,37,7,26,33,35,39,42,48
East of England,2020-12-09,,estimate based on partial data,37,37,8,24,32,35,39,42,50
East of England,2020-12-10,,estimate based on partial data,37,37,9,23,31,35,39,43,52
East of England,2020-12-11,,estimate based on partial data,37,37,11,21,30,34,39,44,55
East of England,2020-12-12,,estimate based on partial data,37,37,12,19,29,34,40,45,57
East of England,2020-12-13,,estimate based on partial data,37,38,14,17,28,33,40,46,61
East of England,2020-12-14,,estimate based on partial data,36,38,16,15,27,33,40,47,65
East of England,2020-12-15,,estimate based on partial data,36,38,19,14,26,32,40,48,69
East of England,2020-12-16,,estimate based on partial data,36,39,22,12,25,32,41,49,74
East of England,2020-12-17,,estimate based on partial data,36,40,29,11,24,31,41,50,79
East of England,2020-12-18,,estimate based on partial data,36,41,42,9,23,31,41,52,85
East of England,2020-12-19,,estimate based on partial data,35,43,72,8,22,30,41,53,93
East of England,2020-12-20,,forecast,35,45,128,7,21,30,42,55,101
East of England,2020-12-21,,forecast,35,49,236,7,20,29,42,56,108
East of England,2020-12-22,,forecast,35,54,443,6,19,29,42,57,117
East of England,2020-12-23,,forecast,34,63,839,5,18,28,42,59,127
East of England,2020-12-24,,forecast,34,78,1595,5,17,28,43,60,138
East of England,2020-12-25,,forecast,34,104,3034,4,17,27,43,62,149
East of England,2020-12-26,,forecast,34,153,5776,4,16,27,44,64,161
East of England,2020-12-27,,forecast,34,241,10998,3,15,26,44,66,175
East of England,2020-12-28,,forecast,34,406,20946,3,14,25,44,68,190
East of England,2020-12-29,,forecast,33,715,39893,2,14,25,44,69,205
East of England,2020-12-30,,forecast,33,1299,75985,2,13,25,45,71,223
East of England,2020-12-31,,forecast,33,2402,144730,2,13,24,45,73,241
East of England,2021-01-01,,forecast,33,4495,275674,2,12,24,45,75,262
East of England,2021-01-02,,forecast,33,8468,525093,2,12,23,45,77,285
England,2020-09-26,,estimate,88,88,4,80,85,87,89,91,94
England,2020-09-27,,estimate,94,94,4,87,91,93,95,97,101
England,2020-09-28,,estimate,101,101,4,94,98,100,102,104,108
England,2020-09-29,,estimate,109,109,4,101,106,108,110,112,116
England,2020-09-30,,estimate,117,117,5,109,114,116,118,120,124
England,2020-10-01,,estimate,125,125,5,117,122,124,127,129,133
England,2020-10-02,,estimate,134,134,5,126,131,133,136,138,142
England,2020-10-03,,estimate,144,144,5,135,140,143,145,147,152
England,2020-10-04,,estimate,154,154,6,144,150,152,155,157,163
England,2020-10-05,,estimate,164,164,6,154,160,162,165,168,173
England,2020-10-06,,estimate,175,175,6,165,170,173,176,178,184
England,2020-10-07,,estimate,185,185,6,175,181,184,187,189,196
England,2020-10-08,,estimate,196,197,7,186,192,195,198,201,208
England,2020-10-09,,estimate,208,208,7,197,203,206,209,212,219
England,2020-10-10,,estimate,219,219,7,209,215,217,221,224,231
England,2020-10-11,,estimate,231,231,7,220,226,229,232,235,243
England,2020-10-12,,estimate,242,242,7,231,237,240,244,247,255
England,2020-10-13,,estimate,253,254,7,242,249,251,255,258,266
England,2020-10-14,,estimate,264,265,8,253,260,262,266,269,278
England,2020-10-15,,estimate,275,276,8,264,270,273,277,281,289
England,2020-10-16,,estimate,286,286,8,274,281,284,288,291,300
England,2020-10-17,,estimate,296,297,8,284,291,294,298,302,311
England,2020-10-18,,estimate,306,307,8,293,301,304,308,312,321
England,2020-10-19,,estimate,316,316,9,302,311,314,318,322,331
England,2020-10-20,,estimate,325,325,9,311,320,323,327,331,340
England,2020-10-21,,estimate,334,334,9,319,328,332,336,340,349
England,2020-10-22,,estimate,342,342,9,326,336,340,344,348,357
England,2020-10-23,,estimate,350,350,10,334,344,348,352,356,365
England,2020-10-24,,estimate,357,357,10,341,351,355,359,363,372
England,2020-10-25,,estimate,364,363,10,347,357,361,366,370,379
England,2020-10-26,,estimate,370,369,10,353,363,367,372,376,386
England,2020-10-27,,estimate,375,375,10,358,368,373,378,381,392
England,2020-10-28,,estimate,380,380,10,363,373,378,382,387,397
England,2020-10-29,,estimate,384,384,10,368,378,382,387,391,401
England,2020-10-30,,estimate,388,388,10,372,381,386,390,395,405
England,2020-10-31,,estimate,391,391,10,375,385,389,394,398,408
England,2020-11-01,,estimate,394,394,10,378,387,391,396,401,411
England,2020-11-02,,estimate,396,396,10,380,389,394,399,403,414
England,2020-11-03,,estimate,398,398,11,381,391,395,400,405,416
England,2020-11-04,,estimate,399,399,11,382,392,396,401,406,417
England,2020-11-05,,estimate,399,400,11,383,392,396,402,406,418
England,2020-11-06,,estimate,399,400,11,383,392,396,402,406,418
England,2020-11-07,,estimate,399,399,11,382,392,396,401,406,417
England,2020-11-08,,estimate,398,398,11,381,391,395,401,405,416
England,2020-11-09,,estimate,397,397,11,380,390,394,399,403,414
England,2020-11-10,,estimate,395,395,10,378,388,393,397,402,412
England,2020-11-11,,estimate,393,393,10,376,386,390,395,400,410
England,2020-11-12,,estimate,391,391,10,374,384,388,393,397,408
England,2020-11-13,,estimate,388,388,10,371,382,386,391,395,405
England,2020-11-14,,estimate,385,386,11,368,379,383,388,393,403
England,2020-11-15,,estimate,383,383,11,365,376,380,385,390,400
England,2020-11-16,,estimate,380,380,11,362,373,377,382,387,398
England,2020-11-17,,estimate,377,377,11,359,370,375,380,385,395
England,2020-11-18,,estimate,374,375,11,356,367,372,377,382,393
England,2020-11-19,,estimate,372,372,11,353,365,369,374,379,391
England,2020-11-20,,estimate,369,369,11,351,362,367,372,376,388
England,2020-11-21,,estimate,367,367,11,348,359,364,369,374,385
England,2020-11-22,,estimate,364,364,11,346,357,361,367,371,383
England,2020-11-23,,estimate,362,362,11,344,355,359,365,369,381
England,2020-11-24,,estimate,360,360,11,341,353,357,362,367,378
England,2020-11-25,,estimate,357,357,11,339,350,355,360,365,376
England,2020-11-26,,estimate,355,355,11,337,348,352,358,362,374
England,2020-11-27,,estimate,353,353,11,335,346,350,355,360,372
England,2020-11-28,,estimate,350,351,12,333,343,348,353,358,370
England,2020-11-29,,estimate,348,349,12,331,341,345,351,356,368
England,2020-11-30,,estimate based on partial data,346,346,12,328,338,343,349,354,367
England,2020-12-01,,estimate based on partial data,343,344,12,325,336,340,346,351,364
England,2020-12-02,,estimate based on partial data,341,341,13,321,333,338,344,349,362
England,2020-12-03,,estimate based on partial data,338,338,14,316,329,335,341,347,361
England,2020-12-04,,estimate based on partial data,335,336,15,311,326,332,339,345,360
England,2020-12-05,,estimate based on partial data,333,333,17,305,321,328,337,344,360
England,2020-12-06,,estimate based on partial data,330,329,19,298,317,325,334,342,360
England,2020-12-07,,estimate based on partial data,326,326,22,290,312,321,332,341,362
England,2020-12-08,,estimate based on partial data,323,323,25,281,306,317,329,340,364
England,2020-12-09,,estimate based on partial data,320,320,29,272,301,312,327,339,368
England,2020-12-10,,estimate based on partial data,316,317,34,263,295,308,324,338,373
England,2020-12-11,,estimate based on partial data,312,313,39,252,288,304,321,338,378
England,2020-12-12,,estimate based on partial data,309,310,44,241,281,299,319,338,385
England,2020-12-13,,estimate based on partial data,305,307,50,230,275,295,316,338,393
England,2020-12-14,,estimate based on partial data,302,305,57,219,269,290,314,338,402
England,2020-12-15,,estimate based on partial data,298,302,64,207,261,284,312,338,412
England,2020-12-16,,estimate based on partial data,295,300,71,195,254,280,310,339,425
England,2020-12-17,,estimate based on partial data,291,298,79,184,247,275,308,339,438
England,2020-12-18,,estimate based on partial data,288,296,88,172,240,269,306,340,451
England,2020-12-19,,estimate based on partial data,285,295,98,161,232,264,304,341,466
England,2020-12-20,,forecast,281,294,107,152,225,260,302,342,480
England,2020-12-21,,forecast,278,293,117,143,219,255,300,344,493
England,2020-12-22,,forecast,275,292,127,135,213,251,298,345,510
England,2020-12-23,,forecast,271,292,138,127,207,247,295,346,525
England,2020-12-24,,forecast,268,292,149,120,201,242,293,348,543
England,2020-12-25,,forecast,265,292,162,113,195,238,292,349,560
