region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
North East and Yorkshire,2020-11-30,,estimate based on partial data,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-01,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-02,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-03,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-04,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-05,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-06,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-07,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-08,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-09,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-10,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-11,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-12,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-13,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-12-14,,forecast,-0.093,-0.096,0.058,-0.197,-0.129,-0.106,-0.08,-0.059,-0.011
North East and Yorkshire,2020-11-29,,estimate based on partial data,-0.092,-0.096,0.055,-0.192,-0.127,-0.105,-0.08,-0.059,-0.014
North East and Yorkshire,2020-11-28,,estimate based on partial data,-0.09,-0.095,0.052,-0.188,-0.125,-0.103,-0.079,-0.06,-0.018
North East and Yorkshire,2020-11-27,,estimate based on partial data,-0.089,-0.094,0.05,-0.183,-0.123,-0.102,-0.078,-0.06,-0.021
North East and Yorkshire,2020-11-26,,estimate based on partial data,-0.088,-0.092,0.047,-0.177,-0.12,-0.1,-0.077,-0.061,-0.024
North East and Yorkshire,2020-11-25,,estimate based on partial data,-0.086,-0.091,0.045,-0.171,-0.117,-0.097,-0.077,-0.061,-0.026
North East and Yorkshire,2020-11-24,,estimate based on partial data,-0.084,-0.089,0.042,-0.165,-0.114,-0.095,-0.075,-0.06,-0.029
North East and Yorkshire,2020-11-23,,estimate based on partial data,-0.082,-0.087,0.039,-0.158,-0.11,-0.093,-0.074,-0.059,-0.03
Scotland,2020-11-29,,estimate based on partial data,-0.082,-0.081,0.078,-0.206,-0.123,-0.096,-0.067,-0.043,0.041
Scotland,2020-11-30,,estimate based on partial data,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-01,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-02,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-03,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-04,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-05,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-06,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-07,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-08,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-09,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-10,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-11,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-12,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-13,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-12-14,,forecast,-0.082,-0.081,0.082,-0.212,-0.125,-0.096,-0.067,-0.042,0.05
Scotland,2020-11-26,,estimate based on partial data,-0.081,-0.081,0.064,-0.19,-0.116,-0.093,-0.067,-0.046,0.018
Scotland,2020-11-27,,estimate based on partial data,-0.081,-0.081,0.069,-0.197,-0.119,-0.095,-0.066,-0.045,0.025
Scotland,2020-11-28,,estimate based on partial data,-0.081,-0.081,0.073,-0.202,-0.121,-0.095,-0.067,-0.044,0.032
North East and Yorkshire,2020-11-22,,estimate based on partial data,-0.08,-0.085,0.037,-0.152,-0.107,-0.09,-0.072,-0.059,-0.032
Scotland,2020-11-25,,estimate based on partial data,-0.079,-0.081,0.06,-0.184,-0.113,-0.092,-0.066,-0.047,0.012
North West,2020-11-30,,estimate based on partial data,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-01,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-02,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-03,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-04,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-05,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-06,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-07,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-08,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-09,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-10,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-11,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-12,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
North West,2020-12-13,,forecast,-0.079,-0.079,0.047,-0.156,-0.106,-0.089,-0.069,-0.052,-0.005
