region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
United Kingdom,165 (88 -- 290),165,176,73,88,131,153,181,207,290,New confirmed cases by infection date,Unsure
England,147 (72 -- 269),147,157,65,72,113,134,162,190,269,New confirmed cases by infection date,Unsure
North West,36 (15 -- 101),36,45,37,15,25,32,41,52,101,New confirmed cases by infection date,Unsure
Midlands,23 (5 -- 67),23,28,23,5,14,19,28,37,67,New confirmed cases by infection date,Unsure
London,22 (5 -- 51),22,25,20,5,13,18,25,32,51,New confirmed cases by infection date,Unsure
South East,22 (5 -- 59),22,27,28,5,13,19,26,33,59,New confirmed cases by infection date,Unsure
East of England,21 (5 -- 64),21,29,103,5,13,18,24,32,64,New confirmed cases by infection date,Unsure
North East and Yorkshire,16 (4 -- 48),16,22,72,4,11,14,19,25,48,New confirmed cases by infection date,Unsure
Northern Ireland,15 (2 -- 126),15,41,166,2,7,11,20,33,126,New confirmed cases by infection date,Unsure
Scotland,9 (2 -- 33),9,13,22,2,5,8,11,15,33,New confirmed cases by infection date,Unsure
South West,6 (0 -- 29),6,11,42,0,2,4,8,12,29,New confirmed cases by infection date,Unsure
Wales,4 (0 -- 16),4,6,13,0,2,3,5,7,16,New confirmed cases by infection date,Unsure
Northern Ireland,1.1 (0.65 -- 2.1),1.1,1.2,0.5,0.65,0.92,1,1.2,1.4,2.1,Effective reproduction no.,Unsure
East of England,0.97 (0.63 -- 1.4),0.97,0.99,0.26,0.63,0.86,0.93,1,1.1,1.4,Effective reproduction no.,Unsure
London,0.95 (0.6 -- 1.2),0.95,0.93,0.19,0.6,0.84,0.91,0.98,1,1.2,Effective reproduction no.,Unsure
North West,0.95 (0.73 -- 1.3),0.95,0.98,0.19,0.73,0.85,0.92,0.99,1.1,1.3,Effective reproduction no.,Unsure
South East,0.86 (0.51 -- 1.1),0.86,0.86,0.22,0.51,0.74,0.82,0.9,0.97,1.1,Effective reproduction no.,Unsure
England,0.83 (0.64 -- 1),0.83,0.83,0.12,0.64,0.76,0.8,0.86,0.9,1,Effective reproduction no.,Unsure
United Kingdom,0.83 (0.66 -- 1),0.83,0.83,0.12,0.66,0.76,0.8,0.85,0.89,1,Effective reproduction no.,Unsure
Scotland,0.82 (0.49 -- 1.2),0.82,0.84,0.24,0.49,0.7,0.78,0.87,0.95,1.2,Effective reproduction no.,Unsure
Wales,0.76 (0.43 -- 1.1),0.76,0.77,0.23,0.43,0.63,0.71,0.8,0.88,1.1,Effective reproduction no.,Unsure
North East and Yorkshire,0.74 (0.48 -- 1.1),0.74,0.76,0.21,0.48,0.64,0.71,0.78,0.84,1.1,Effective reproduction no.,Unsure
South West,0.72 (0.27 -- 1.2),0.72,0.72,0.31,0.27,0.53,0.65,0.78,0.88,1.2,Effective reproduction no.,Unsure
Midlands,0.71 (0.4 -- 1),0.71,0.71,0.2,0.4,0.59,0.67,0.75,0.83,1,Effective reproduction no.,Unsure
