Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
East of England,106 (40 -- 240),Likely decreasing,0.96 (0.68 -- 1.3),-0.012 (-0.092 -- 0.07),-60 (10 -- -7.5)
England,840 (480 -- 1339),Stable,1 (0.81 -- 1.2),-4e-04 (-0.054 -- 0.048),-1700 (14 -- -13)
London,133 (32 -- 406),Likely decreasing,0.91 (0.52 -- 1.3),-0.027 (-0.14 -- 0.075),-26 (9.2 -- -4.8)
Midlands,277 (149 -- 572),Increasing,1.2 (1 -- 1.5),0.056 (0.00038 -- 0.14),12 (5.1 -- 1800)
North East and Yorkshire,41 (14 -- 88),Likely decreasing,0.89 (0.63 -- 1.1),-0.03 (-0.11 -- 0.033),-23 (21 -- -6.4)
North West,106 (53 -- 205),Likely increasing,1.1 (0.86 -- 1.3),0.021 (-0.039 -- 0.085),33 (8.2 -- -18)
Northern Ireland,19 (5 -- 100),Likely increasing,1.1 (0.75 -- 1.8),0.025 (-0.071 -- 0.2),28 (3.5 -- -9.7)
Scotland,24 (7 -- 61),Likely decreasing,0.9 (0.6 -- 1.2),-0.028 (-0.12 -- 0.054),-24 (13 -- -5.8)
South East,167 (67 -- 319),Stable,1 (0.73 -- 1.2),-0.00044 (-0.08 -- 0.059),-1600 (12 -- -8.7)
South West,63 (23 -- 146),Likely increasing,1.1 (0.79 -- 1.4),0.029 (-0.059 -- 0.11),24 (6.5 -- -12)
United Kingdom,822 (482 -- 1295),Likely decreasing,0.97 (0.78 -- 1.1),-0.0093 (-0.061 -- 0.037),-75 (19 -- -11)
Wales,13 (3 -- 43),Likely decreasing,0.76 (0.45 -- 1.1),-0.069 (-0.17 -- 0.033),-10 (21 -- -4.1)
