region,time
Alabama,5.5
Alaska,6.5
Arizona,5.6
Arkansas,9.9
California,11.1
Colorado,13.3
Connecticut,6.1
Delaware,6.1
District of Columbia,5.8
Florida,6
Georgia,3.7
Guam,6.1
Hawaii,6.2
Idaho,5.2
Illinois,13.3
Indiana,12.3
Iowa,12.2
Kansas,5.5
Kentucky,4.3
Louisiana,4.4
Maine,6.7
Maryland,10.8
Massachusetts,5.4
Michigan,5.1
Minnesota,10.4
Mississippi,5
Missouri,6.7
Montana,5.3
Nebraska,4.8
Nevada,6.9
New Hampshire,6.4
New Jersey,9
New Mexico,14.3
New York,16
North Carolina,3.8
North Dakota,8.4
Northern Mariana Islands,2.3
Ohio,10.8
Oklahoma,7.8
Oregon,7.6
Pennsylvania,5.7
Puerto Rico,3.9
Rhode Island,3.9
South Carolina,3.9
South Dakota,6.3
Tennessee,5.8
Texas,4.3
Utah,5.7
Vermont,7.1
Virgin Islands,3.6
Virginia,6
Washington,4.9
West Virginia,5.6
Wisconsin,7.3
Wyoming,4.9
