state,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2020-10-09,,estimate,1282,1286,100,1129,1218,1257,1306,1349,1456
Alabama,2020-10-10,,estimate,1302,1306,98,1152,1239,1278,1327,1368,1473
Alabama,2020-10-11,,estimate,1320,1325,96,1171,1259,1298,1346,1386,1490
Alabama,2020-10-12,,estimate,1339,1343,94,1192,1278,1316,1364,1403,1504
Alabama,2020-10-13,,estimate,1358,1361,93,1211,1298,1336,1382,1420,1520
Alabama,2020-10-14,,estimate,1378,1379,93,1229,1316,1355,1400,1438,1539
Alabama,2020-10-15,,estimate,1397,1398,93,1248,1334,1374,1418,1457,1557
Alabama,2020-10-16,,estimate,1416,1416,93,1267,1352,1392,1437,1475,1573
Alabama,2020-10-17,,estimate,1435,1435,93,1286,1371,1412,1455,1496,1590
Alabama,2020-10-18,,estimate,1453,1454,93,1305,1390,1431,1474,1514,1609
Alabama,2020-10-19,,estimate,1472,1473,93,1325,1409,1450,1495,1534,1627
Alabama,2020-10-20,,estimate,1493,1493,94,1344,1427,1467,1514,1554,1648
Alabama,2020-10-21,,estimate,1512,1513,95,1361,1447,1487,1535,1575,1666
Alabama,2020-10-22,,estimate,1532,1533,96,1378,1467,1507,1555,1596,1688
Alabama,2020-10-23,,estimate,1554,1554,98,1396,1487,1528,1578,1620,1710
Alabama,2020-10-24,,estimate,1575,1576,100,1415,1508,1550,1600,1642,1737
Alabama,2020-10-25,,estimate,1597,1598,103,1431,1530,1572,1624,1666,1764
Alabama,2020-10-26,,estimate,1621,1622,105,1450,1551,1595,1648,1691,1790
Alabama,2020-10-27,,estimate,1646,1646,108,1470,1574,1620,1672,1718,1818
Alabama,2020-10-28,,estimate,1673,1672,111,1490,1598,1645,1699,1746,1849
Alabama,2020-10-29,,estimate,1699,1699,113,1511,1623,1671,1727,1775,1877
Alabama,2020-10-30,,estimate,1728,1727,116,1534,1650,1699,1757,1806,1909
Alabama,2020-10-31,,estimate,1757,1756,118,1558,1677,1729,1787,1838,1941
Alabama,2020-11-01,,estimate,1789,1788,121,1582,1706,1760,1821,1870,1976
Alabama,2020-11-02,,estimate,1821,1820,123,1613,1738,1791,1854,1903,2013
Alabama,2020-11-03,,estimate,1856,1854,125,1644,1772,1826,1887,1939,2052
Alabama,2020-11-04,,estimate,1892,1890,126,1676,1806,1862,1923,1976,2091
Alabama,2020-11-05,,estimate,1930,1928,128,1711,1844,1898,1960,2014,2130
Alabama,2020-11-06,,estimate,1969,1967,130,1750,1882,1937,2000,2054,2174
Alabama,2020-11-07,,estimate,2009,2008,132,1791,1923,1979,2041,2094,2222
Alabama,2020-11-08,,estimate,2052,2051,134,1831,1964,2021,2086,2138,2270
Alabama,2020-11-09,,estimate,2097,2096,136,1872,2007,2066,2131,2185,2318
Alabama,2020-11-10,,estimate,2142,2142,138,1918,2054,2109,2177,2231,2371
Alabama,2020-11-11,,estimate,2189,2191,140,1961,2100,2156,2224,2280,2423
Alabama,2020-11-12,,estimate,2239,2241,142,2009,2149,2204,2274,2331,2475
Alabama,2020-11-13,,estimate,2290,2293,145,2059,2199,2255,2326,2384,2531
Alabama,2020-11-14,,estimate,2344,2346,147,2112,2251,2307,2380,2436,2590
Alabama,2020-11-15,,estimate,2398,2402,150,2163,2305,2362,2435,2493,2654
Alabama,2020-11-16,,estimate,2454,2460,153,2218,2357,2418,2492,2556,2720
Alabama,2020-11-17,,estimate,2512,2519,157,2276,2413,2475,2550,2617,2789
Alabama,2020-11-18,,estimate,2573,2580,161,2331,2470,2534,2611,2681,2857
Alabama,2020-11-19,,estimate,2634,2642,165,2392,2529,2592,2675,2748,2933
