state,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alabama,2020-09-28,,estimate,508,527,157,302,413,473,550,622,810
Alabama,2020-09-29,,estimate,818,844,248,477,667,762,884,994,1273
Alabama,2020-09-30,,estimate,914,952,285,550,746,850,993,1119,1480
Alabama,2020-10-01,,estimate,938,972,291,549,765,874,1015,1151,1496
Alabama,2020-10-02,,estimate,1073,1114,335,634,879,1001,1161,1310,1714
Alabama,2020-10-03,,estimate,1004,1034,301,600,814,928,1084,1215,1572
Alabama,2020-10-04,,estimate,717,745,215,432,592,670,774,876,1130
Alabama,2020-10-05,,estimate,613,634,187,369,502,568,660,744,971
Alabama,2020-10-06,,estimate,967,992,293,571,780,896,1037,1166,1527
Alabama,2020-10-07,,estimate,1062,1097,325,622,870,988,1140,1284,1691
Alabama,2020-10-08,,estimate,1089,1125,326,659,888,1018,1167,1303,1734
Alabama,2020-10-09,,estimate,1238,1282,375,737,1015,1146,1344,1509,1949
Alabama,2020-10-10,,estimate,1139,1178,341,683,941,1061,1226,1379,1799
Alabama,2020-10-11,,estimate,815,840,246,484,662,756,879,996,1272
Alabama,2020-10-12,,estimate,696,718,212,409,567,646,748,839,1088
Alabama,2020-10-13,,estimate,1101,1129,334,652,888,1018,1183,1318,1724
Alabama,2020-10-14,,estimate,1204,1241,361,713,981,1121,1295,1457,1897
Alabama,2020-10-15,,estimate,1245,1282,373,752,1013,1156,1342,1508,1940
Alabama,2020-10-16,,estimate,1394,1441,421,839,1142,1298,1498,1685,2198
Alabama,2020-10-17,,estimate,1302,1339,386,785,1062,1201,1400,1567,2027
Alabama,2020-10-18,,estimate,923,952,277,553,759,857,993,1120,1456
Alabama,2020-10-19,,estimate,789,814,239,462,645,734,849,957,1237
Alabama,2020-10-20,,estimate,1230,1272,377,736,1001,1136,1323,1490,1962
Alabama,2020-10-21,,estimate,1381,1423,413,825,1124,1283,1489,1675,2163
Alabama,2020-10-22,,estimate,1398,1436,424,832,1137,1291,1494,1673,2221
Alabama,2020-10-23,,estimate,1581,1630,477,934,1287,1470,1697,1926,2478
Alabama,2020-10-24,,estimate,1467,1514,430,889,1210,1365,1580,1767,2282
Alabama,2020-10-25,,estimate,1040,1066,309,616,849,964,1115,1240,1622
Alabama,2020-10-26,,estimate,891,923,270,541,732,827,963,1080,1407
Alabama,2020-10-27,,estimate,1389,1432,411,830,1137,1289,1497,1695,2171
Alabama,2020-10-28,,estimate,1536,1581,455,923,1259,1431,1650,1859,2406
Alabama,2020-10-29,,estimate,1560,1610,478,916,1267,1450,1685,1892,2475
Alabama,2020-10-30,,estimate,1790,1841,526,1082,1460,1658,1928,2160,2773
Alabama,2020-10-31,,estimate,1639,1697,498,990,1344,1526,1764,1986,2591
Alabama,2020-11-01,,estimate,1165,1204,354,698,956,1084,1253,1418,1843
Alabama,2020-11-02,,estimate,998,1032,305,605,818,928,1080,1217,1569
Alabama,2020-11-03,,estimate,1560,1603,461,930,1276,1452,1674,1873,2434
Alabama,2020-11-04,,estimate,1724,1776,519,1030,1411,1602,1851,2085,2705
Alabama,2020-11-05,,estimate,1739,1803,518,1073,1443,1619,1875,2106,2728
Alabama,2020-11-06,,estimate,2011,2067,598,1197,1643,1875,2158,2411,3138
Alabama,2020-11-07,,estimate,1845,1895,546,1085,1517,1721,1978,2228,2823
Alabama,2020-11-08,,estimate,1316,1363,392,795,1086,1228,1413,1596,2074
Alabama,2020-11-09,,estimate,1134,1172,341,682,927,1056,1223,1374,1796
